evaluations raw_y
1 6.4123542961
17 4.4872925803
23 4.1784904594
58 1.3422631668
272 0.5504678228
632 0.4024384886
904 0.3979660898
1168 0.1548983287
1623 0.0536284393
2133 0.0499781871
2143 0.0444178666
2343 0.0336237362
2361 0.0244787886
2430 0.0229258449
2457 0.0182840813
2595 0.0143842341
2731 0.0138986155
2742 0.0134134994
2751 0.0077417781
2893 0.0058869194
3011 0.0052539789
3013 0.0049010221
3034 0.0045542453
3092 0.0033765840
3166 0.0025345334
3234 0.0023524344
3314 0.0015756991
3379 0.0014531386
3494 0.0011863808
3587 0.0011824383
3610 0.0009805203
3618 0.0004456717
3816 0.0004144710
3830 0.0003596201
4061 0.0003090841
4076 0.0001068836
4507 0.0000614388
4519 0.0000611458
4686 0.0000459195
4732 0.0000305848
4803 0.0000263154
4850 0.0000171213
5000 0.0000111935
5120 0.0000089792
5373 0.0000083970
5436 0.0000061733
5465 0.0000041323
5495 0.0000036170
5511 0.0000032938
5576 0.0000028065
5624 0.0000024354
5633 0.0000023900
5647 0.0000021846
5722 0.0000014039
5765 0.0000011483
5921 0.0000010376
6114 0.0000007161
6129 0.0000006068
6146 0.0000004495
6256 0.0000004266
6276 0.0000004013
6304 0.0000003669
6383 0.0000003286
6437 0.0000003177
6448 0.0000002894
6478 0.0000002714
6513 0.0000002567
6527 0.0000002250
6529 0.0000002078
6540 0.0000001504
6751 0.0000001237
6880 0.0000001130
7036 0.0000000490
7239 0.0000000403
7318 0.0000000378
7372 0.0000000277
7591 0.0000000202
7687 0.0000000146
7763 0.0000000135
7930 0.0000000097
7970 0.0000000077
8090 0.0000000076
8148 0.0000000073
8164 0.0000000071
8185 0.0000000063
8197 0.0000000059
8262 0.0000000036
8303 0.0000000031
8408 0.0000000025
8544 0.0000000021
8633 0.0000000015
8965 0.0000000013
9029 0.0000000011
9148 0.0000000010
9216 0.0000000009
9229 0.0000000008
9270 0.0000000007
9586 0.0000000006
9692 0.0000000004
9875 0.0000000003
10000 0.0000000004
