evaluations raw_y
1 44.0625536366
3 12.3650130567
5 2.4207325729
39 2.1322214267
61 1.0128646113
80 0.6487524530
107 0.5914277449
124 0.2749980547
140 0.2623584365
204 0.2285378263
209 0.2066807345
213 0.1844641034
226 0.1506500431
233 0.0908797541
335 0.0604961344
367 0.0432496086
389 0.0414759440
418 0.0399881279
464 0.0330522269
476 0.0298592099
520 0.0240717588
531 0.0176544175
587 0.0154419934
652 0.0150646937
654 0.0139608740
659 0.0111913928
661 0.0100708253
698 0.0097401953
733 0.0094182506
738 0.0087185561
752 0.0085741183
769 0.0061648741
772 0.0061384965
779 0.0053035861
793 0.0050516968
830 0.0048390753
860 0.0047876139
864 0.0046261978
883 0.0039527945
911 0.0033195663
989 0.0033146118
990 0.0031280952
1010 0.0031202508
1011 0.0029759848
1042 0.0029669678
1068 0.0028690690
1084 0.0028687080
1110 0.0028630843
1111 0.0028358148
1126 0.0028235517
1138 0.0028019082
1141 0.0027758118
1244 0.0027694218
1249 0.0027614484
1257 0.0027499401
1284 0.0027472540
1313 0.0027385786
1362 0.0027380814
1363 0.0027344001
1401 0.0027329414
1414 0.0027310187
1418 0.0027285309
1459 0.0027282442
1466 0.0027278745
1470 0.0027264199
1482 0.0027263652
1490 0.0027248215
1508 0.0027232752
1551 0.0027218110
1554 0.0027199745
1573 0.0027194929
1604 0.0027192767
1650 0.0027191360
1657 0.0027191086
1678 0.0027189152
1685 0.0027189071
1708 0.0027189057
1743 0.0027186974
1748 0.0027186062
1845 0.0027185762
1883 0.0027185536
1930 0.0027185525
2028 0.0027185513
2043 0.0027185505
2060 0.0027185488
2065 0.0027185478
2119 0.0027185471
2159 0.0027185470
2202 0.0027185468
2252 0.0027185467
2303 0.0027185465
10000 0.0027185465
