evaluations raw_y
1 7.5216411196
8 7.1060103721
55 6.0988314364
88 5.8863334434
127 5.6089364544
241 3.5309208793
261 2.8793272018
447 2.6251071350
507 2.4573264285
514 2.1657098386
760 2.0237333341
781 2.0034438525
788 1.1329425401
1032 1.1136963748
1210 0.9752887936
1237 0.8207814108
1277 0.7325982487
1561 0.6541433664
1600 0.5619475747
1810 0.5098927841
2050 0.3321552117
2060 0.3218935586
2301 0.1787257850
3295 0.1154033502
3555 0.1150780519
3695 0.1109682860
3913 0.0736396049
4213 0.0282681531
4373 0.0256743988
4478 0.0236669390
4573 0.0168402286
4595 0.0030232314
5269 0.0024716907
5428 0.0024373126
5506 0.0013977621
5512 0.0010337182
5548 0.0008299889
5703 0.0007236826
5708 0.0001970773
5875 0.0001836347
5998 0.0001317566
6148 0.0001298197
6258 0.0000923334
6473 0.0000888965
6502 0.0000747452
6508 0.0000452343
6528 0.0000448452
6548 0.0000441008
6778 0.0000359918
7048 0.0000235353
7088 0.0000175645
7328 0.0000167251
7537 0.0000140690
7737 0.0000138863
7837 0.0000087831
7877 0.0000045841
8154 0.0000035793
8394 0.0000021170
8754 0.0000019440
8894 0.0000014050
9046 0.0000013704
9154 0.0000010396
9419 0.0000008731
9459 0.0000007571
9557 0.0000007274
9630 0.0000004658
10000 0.0000013948
