evaluations raw_y
1 35.0032361375
2 28.0285355693
3 24.7867381342
8 10.3723599805
20 7.3140197647
66 6.1230962541
188 3.2821550457
267 2.4205583439
341 2.3018928529
444 1.9499583296
606 1.9329423566
607 1.8219466703
689 1.5482056141
703 1.3122287368
706 1.0703433048
864 0.9197923440
898 0.7698132398
1075 0.6052018032
1160 0.5433110636
1759 0.4301488632
1778 0.4149733278
1865 0.2269842693
2178 0.1597028592
2293 0.0792954525
2303 0.0399876403
2606 0.0303468680
2781 0.0296580059
2819 0.0258603223
2949 0.0127468995
2998 0.0123381519
3009 0.0089311327
3165 0.0057823847
3229 0.0034865621
3278 0.0034186641
3313 0.0024692688
3484 0.0015843846
3494 0.0010552161
3570 0.0006201877
3743 0.0004673361
3820 0.0003898192
3968 0.0003476673
4023 0.0002978045
4202 0.0002841934
4203 0.0002658641
4217 0.0002108829
4365 0.0002068891
4368 0.0001977069
4389 0.0001959022
4392 0.0001941354
4396 0.0001702524
4438 0.0001420631
4486 0.0001316414
4501 0.0001299345
4627 0.0001202209
4736 0.0001200886
5014 0.0001196914
5031 0.0001194052
5091 0.0001193044
5205 0.0001186818
5221 0.0001180377
5250 0.0001179009
5326 0.0001167244
5379 0.0001153128
5549 0.0001152890
5696 0.0001147769
5862 0.0001146516
5922 0.0001145617
6021 0.0001145580
6309 0.0001145064
6392 0.0001144943
6405 0.0001144913
6719 0.0001144862
6818 0.0001143835
6930 0.0001143784
6932 0.0001143564
7006 0.0001143473
7128 0.0001143295
7311 0.0001143057
7438 0.0001143047
7443 0.0001142928
7593 0.0001142916
7653 0.0001142893
7663 0.0001142880
7689 0.0001142690
7712 0.0001142531
8177 0.0001142523
8180 0.0001142521
8252 0.0001142490
8371 0.0001142483
8400 0.0001142481
8449 0.0001142473
8563 0.0001142466
8607 0.0001142461
8613 0.0001142457
8677 0.0001142455
8754 0.0001142452
8774 0.0001142449
8797 0.0001142444
8822 0.0001142427
8902 0.0001142421
9029 0.0001142411
9234 0.0001142410
9256 0.0001142407
9328 0.0001142404
9329 0.0001142402
9567 0.0001142401
9583 0.0001142400
9670 0.0001142397
9827 0.0001142395
10000 0.0001142395
