evaluations raw_y
1 42.8601282987
2 25.2560829798
4 19.5533921250
17 19.1017029930
19 16.5013671268
31 14.7725722886
42 11.8728275215
86 11.5586864565
90 9.9462047957
163 9.3964461633
379 7.5156563717
480 6.2137975533
507 4.4719857879
577 3.7606766179
632 2.1397753964
900 2.1300644811
922 0.8087741223
1886 0.6175900152
2728 0.5613573756
3002 0.3783094296
3008 0.3359793503
3308 0.2935596534
3314 0.1921691527
3567 0.1755996762
3634 0.0525825184
3689 0.0491792130
3756 0.0312258014
3923 0.0098033439
4073 0.0060571253
4407 0.0039654244
4425 0.0033028212
4532 0.0032105242
4598 0.0023553196
4624 0.0018937972
4653 0.0017219687
4685 0.0015702342
4696 0.0011013467
4753 0.0009972534
4764 0.0009321129
4801 0.0006214488
4905 0.0004859450
4954 0.0003492805
5064 0.0003113083
5115 0.0002351016
5150 0.0001620877
5317 0.0001416721
5401 0.0001372510
5404 0.0000800338
5456 0.0000487708
5517 0.0000316880
5607 0.0000297432
5673 0.0000278792
5687 0.0000259529
5701 0.0000221619
5709 0.0000201382
5710 0.0000177093
5722 0.0000067877
5997 0.0000058355
6038 0.0000055184
6063 0.0000006179
6507 0.0000004049
6582 0.0000002872
6737 0.0000002598
6813 0.0000002347
6854 0.0000002174
6876 0.0000001930
6878 0.0000001783
6928 0.0000001425
6938 0.0000001195
6964 0.0000000867
6982 0.0000000742
7179 0.0000000696
7184 0.0000000364
7279 0.0000000268
7373 0.0000000206
7466 0.0000000189
7602 0.0000000187
7663 0.0000000163
7687 0.0000000159
7706 0.0000000126
7827 0.0000000121
7848 0.0000000095
7870 0.0000000092
7906 0.0000000081
8018 0.0000000075
8143 0.0000000069
8152 0.0000000064
8163 0.0000000063
8206 0.0000000060
8228 0.0000000058
8263 0.0000000053
8329 0.0000000051
8341 0.0000000049
8391 0.0000000036
8477 0.0000000035
8700 0.0000000032
8824 0.0000000031
8865 0.0000000025
8938 0.0000000023
8960 0.0000000020
9169 0.0000000018
9208 0.0000000017
9272 0.0000000015
9494 0.0000000012
9605 0.0000000011
9800 0.0000000009
9889 0.0000000007
10000 0.0000000013
