evaluations raw_y
1 28.3855624419
9 25.3787684972
74 22.1423259148
105 21.6340915675
176 19.2113797185
193 12.4842337560
395 11.6550221831
447 10.6965392334
485 4.2971248682
745 4.2406439336
1015 4.2233731474
1057 4.0051384433
1080 3.8506780647
1120 3.5510624829
1234 3.4786584560
1239 3.1308012938
1242 1.9156191457
1347 1.6813816106
1365 1.5199866403
1370 1.5005833653
1404 1.3964801768
1458 0.7327320407
1478 0.6793326878
1483 0.4372222864
1528 0.3286816864
1565 0.3053933615
1628 0.2256884773
1640 0.1128087131
1652 0.1091246856
1690 0.0778101399
1841 0.0649131019
1895 0.0450999319
2004 0.0325805309
2005 0.0287201362
2027 0.0251551747
2055 0.0247846482
2102 0.0218438914
2105 0.0215592611
2151 0.0203358681
2155 0.0190669011
2178 0.0098897234
2198 0.0056949997
2225 0.0031223690
2239 0.0022684610
2275 0.0014188448
2339 0.0013881335
2411 0.0012652375
2416 0.0012205064
2440 0.0011102814
2445 0.0008005825
2502 0.0007949724
2518 0.0007478446
2561 0.0007217189
2563 0.0006743457
2565 0.0006695689
2567 0.0005438085
2574 0.0001895117
2660 0.0001599286
2670 0.0000963799
2763 0.0000685439
2822 0.0000647630
2827 0.0000234014
2846 0.0000199424
2949 0.0000169202
2978 0.0000159685
3020 0.0000152033
3028 0.0000127170
3050 0.0000097782
3069 0.0000096173
3075 0.0000065099
3108 0.0000059063
3141 0.0000057138
3158 0.0000056026
3198 0.0000044604
3269 0.0000039247
3309 0.0000039001
3320 0.0000038866
3416 0.0000033906
3495 0.0000032789
3522 0.0000030835
3548 0.0000030045
3583 0.0000029477
3621 0.0000028903
3633 0.0000028615
3659 0.0000027710
3733 0.0000027659
3791 0.0000026106
3795 0.0000025783
3813 0.0000024406
3901 0.0000024065
3989 0.0000023053
4005 0.0000022854
4006 0.0000022704
4024 0.0000022554
4093 0.0000022273
4140 0.0000014330
4209 0.0000014028
4245 0.0000013732
4291 0.0000013401
4368 0.0000012100
4408 0.0000009484
4462 0.0000008583
4463 0.0000007947
4534 0.0000007911
4591 0.0000007875
4620 0.0000007515
4728 0.0000006981
4748 0.0000006400
4776 0.0000006108
4779 0.0000005534
4827 0.0000005504
4836 0.0000005180
4927 0.0000005098
4932 0.0000004728
4953 0.0000004583
4955 0.0000004497
4966 0.0000004480
4982 0.0000004229
4991 0.0000003985
5016 0.0000003978
5064 0.0000003977
5074 0.0000003948
5123 0.0000003919
5124 0.0000003915
5153 0.0000003784
5196 0.0000003730
5223 0.0000003723
5294 0.0000003680
5371 0.0000003677
5434 0.0000003675
5480 0.0000003664
5598 0.0000003658
5624 0.0000003654
5721 0.0000003653
5757 0.0000003650
5792 0.0000003647
5794 0.0000003631
5845 0.0000003629
5849 0.0000003626
5863 0.0000003612
5890 0.0000003609
5932 0.0000003599
5936 0.0000003584
5976 0.0000003581
5983 0.0000003579
5985 0.0000003576
6033 0.0000003574
6035 0.0000003567
6171 0.0000003565
6271 0.0000003563
6397 0.0000003562
6459 0.0000003560
6492 0.0000003559
6519 0.0000003556
6614 0.0000003555
6770 0.0000003554
6910 0.0000003552
7106 0.0000003550
7473 0.0000003549
10000 0.0000003548
