evaluations raw_y
1 12.8349562862
2 9.4809333601
5 9.4481115662
7 5.7452273163
13 4.3575494690
43 4.1984837543
51 3.9355693995
65 3.6940044646
86 3.3515838799
88 2.7706058904
105 1.9703032830
116 1.6472161887
125 1.6002383328
162 1.5421846669
177 1.1479050963
191 0.5372660663
233 0.3203408864
254 0.3030567791
256 0.2862191592
287 0.1146517743
343 0.0596122083
403 0.0536097551
426 0.0531610823
469 0.0526237969
476 0.0405047012
487 0.0306157347
527 0.0206601662
551 0.0088583593
669 0.0063113762
698 0.0035193980
705 0.0014251388
884 0.0013149431
886 0.0012590706
908 0.0006183140
911 0.0005427109
965 0.0004945265
994 0.0003320367
1023 0.0003259117
1044 0.0002966399
1058 0.0002085646
1078 0.0002050575
1107 0.0001828202
1138 0.0001555362
1192 0.0000919019
1235 0.0000678290
1236 0.0000538700
1280 0.0000272359
1317 0.0000223630
1380 0.0000144149
1497 0.0000085672
1520 0.0000080044
1541 0.0000039879
1621 0.0000035439
1622 0.0000031348
1653 0.0000026932
1695 0.0000025498
1722 0.0000022248
1759 0.0000018343
1794 0.0000018047
1805 0.0000017237
1807 0.0000013487
1814 0.0000008787
1864 0.0000007769
1880 0.0000004858
1905 0.0000004008
1943 0.0000003983
2013 0.0000003640
2040 0.0000001750
2064 0.0000001111
2147 0.0000000763
2215 0.0000000441
2329 0.0000000285
2377 0.0000000216
2387 0.0000000159
2404 0.0000000100
2540 0.0000000090
2560 0.0000000054
2624 0.0000000047
2667 0.0000000036
2702 0.0000000035
2717 0.0000000030
2754 0.0000000019
2890 0.0000000017
2959 0.0000000016
3049 0.0000000014
3065 0.0000000012
3133 0.0000000010
3179 0.0000000008
3271 0.0000000007
3495 0.0000000006
3615 0.0000000005
3884 0.0000000003
3965 0.0000000002
4652 0.0000000001
5930 0.0000000000
10000 0.0000003889
