evaluations raw_y
1 8.6961557745
5 5.2479427528
19 4.5139418750
23 4.2746799809
37 4.2670097072
43 3.4462387101
105 3.1009576928
112 3.0230677278
117 2.6814585894
122 1.9042912085
186 1.4577739574
228 1.3964260792
333 1.1167116429
336 1.1011037290
348 1.0475858129
441 1.0447660322
478 1.0138081503
499 0.6398015394
528 0.5999400903
556 0.5036266883
637 0.3799396661
671 0.3604795331
685 0.2716560624
709 0.2474620956
734 0.1386364522
811 0.1205672746
869 0.1003894172
908 0.0496713398
983 0.0349371714
1022 0.0338164432
1058 0.0318866942
1088 0.0203598232
1106 0.0177158774
1147 0.0090078262
1212 0.0059988060
1251 0.0054211762
1272 0.0043606641
1296 0.0028416987
1318 0.0018941778
1351 0.0016909854
1409 0.0013906305
1437 0.0013815071
1457 0.0013107017
1490 0.0003622889
1578 0.0003564666
1607 0.0002282473
1656 0.0002187510
1661 0.0001949849
1673 0.0000795100
1809 0.0000636015
1851 0.0000394727
1898 0.0000157808
1911 0.0000140699
1927 0.0000137445
1985 0.0000102910
2043 0.0000099042
2077 0.0000091703
2083 0.0000084348
2112 0.0000027124
2235 0.0000018921
2308 0.0000009057
2357 0.0000008882
2410 0.0000003338
2457 0.0000001919
2556 0.0000001463
2607 0.0000000738
2716 0.0000000439
2794 0.0000000433
2798 0.0000000215
2876 0.0000000195
2925 0.0000000064
3007 0.0000000038
3042 0.0000000014
3099 0.0000000008
3175 0.0000000003
3415 0.0000000002
3565 0.0000000001
10000 0.1522033547
