evaluations raw_y
1 3.8188541626
12 3.6442320851
15 1.7531293201
21 0.5845195731
176 0.4915172619
217 0.4869914405
224 0.1224597049
433 0.1120508223
444 0.0754390379
602 0.0698329561
618 0.0624589916
693 0.0532547382
708 0.0410159134
794 0.0266247050
839 0.0165004658
936 0.0064694822
1098 0.0040994337
1276 0.0035427064
1279 0.0031573586
1379 0.0029927474
1431 0.0020722940
1435 0.0016890720
1541 0.0013896814
1574 0.0010387037
1603 0.0008331411
1634 0.0005386625
1674 0.0004917584
1807 0.0003484124
1898 0.0001817141
1958 0.0001807704
2059 0.0001550246
2171 0.0001034088
2191 0.0001000785
2348 0.0000905332
2351 0.0000477497
2518 0.0000415094
2572 0.0000270127
2610 0.0000243785
2678 0.0000186452
2685 0.0000149683
2737 0.0000148399
2818 0.0000124004
2825 0.0000097333
2975 0.0000087173
2987 0.0000073577
3048 0.0000039481
3136 0.0000021979
3187 0.0000018309
3230 0.0000013997
3387 0.0000013943
3547 0.0000013854
3558 0.0000013668
3577 0.0000012694
3592 0.0000010745
3609 0.0000007495
3670 0.0000007310
3682 0.0000006693
3690 0.0000004514
3760 0.0000004423
3851 0.0000002328
3951 0.0000002325
3980 0.0000001677
4174 0.0000001300
4214 0.0000001020
4254 0.0000000951
4268 0.0000000803
4288 0.0000000762
4325 0.0000000732
4357 0.0000000688
4521 0.0000000374
4701 0.0000000335
5162 0.0000000221
5729 0.0000000122
5837 0.0000000090
6341 0.0000000083
6502 0.0000000077
6530 0.0000000070
6582 0.0000000054
6767 0.0000000048
6849 0.0000000024
7060 0.0000000019
7112 0.0000000018
7134 0.0000000016
7163 0.0000000014
7233 0.0000000012
7257 0.0000000009
7278 0.0000000007
7418 0.0000000005
7780 0.0000000004
8125 0.0000000003
8667 0.0000000002
9410 0.0000000001
10000 0.0000000000
