evaluations raw_y
1 17.5983419586
2 12.2512350641
3 3.6619810596
77 2.7869973960
90 2.5793327940
163 2.4510247691
238 2.4300033580
301 2.3249024425
330 2.2250915773
389 2.1172144571
459 1.8664758571
494 1.8375353384
517 1.7958386081
578 1.3843398782
653 1.3617890018
708 1.2531715447
833 1.1484985713
929 1.1210860748
1367 1.0878754254
1426 1.0686303370
1502 1.0256957692
1635 0.8756158994
1675 0.7738010266
1762 0.7454270045
1886 0.6912903238
2015 0.5547792098
2082 0.4785994625
2263 0.4151987577
2303 0.3615345725
2552 0.2710188951
2708 0.2217336667
2860 0.1747882743
2908 0.1030725028
2948 0.0862256944
3162 0.0407482094
3178 0.0390649477
3322 0.0333772178
3446 0.0210116874
3526 0.0172835137
3533 0.0140922388
3555 0.0094648138
3563 0.0087845814
3630 0.0082670304
3679 0.0081547496
3692 0.0073588150
3694 0.0066707166
3701 0.0060421627
3712 0.0050027696
3794 0.0047366614
3801 0.0046946509
3802 0.0008977927
3884 0.0008860957
3922 0.0004809257
4033 0.0004092665
4102 0.0002946892
4153 0.0002901842
4234 0.0002127649
4252 0.0002003512
4254 0.0001867316
4315 0.0001309110
4321 0.0000737414
4348 0.0000296260
4489 0.0000280743
4541 0.0000232063
4588 0.0000226011
4589 0.0000128172
4597 0.0000073259
4677 0.0000068175
4697 0.0000066697
4728 0.0000065166
4783 0.0000057565
4788 0.0000049954
4857 0.0000042834
4922 0.0000036471
4938 0.0000033031
4951 0.0000029533
4990 0.0000026689
5013 0.0000026061
5030 0.0000021580
5051 0.0000017574
5058 0.0000017391
5071 0.0000004055
5252 0.0000002308
5291 0.0000001668
5411 0.0000001495
5469 0.0000001370
5518 0.0000001279
5522 0.0000000821
5626 0.0000000393
5775 0.0000000293
5861 0.0000000222
6048 0.0000000196
6057 0.0000000007
6583 0.0000000005
6674 0.0000000004
6738 0.0000000002
7082 0.0000000001
10000 0.0000000000
