evaluations raw_y x0 x1 x2 x3 x4
1 71.6939111815 -4.942800 -3.120907 0.004751 2.004269 4.338684
2 46.7330461681 2.272275 2.672499 4.693456 -4.420114 0.049452
3 36.6781065417 0.004114 1.801887 -0.378118 -2.846863 0.654018
7 6.2080974220 1.643788 1.088418 -2.844004 -2.572290 -3.557622
19 3.5228824644 4.118953 -2.071256 -4.728617 -0.028704 -4.792271
39 3.4995659942 0.343511 4.421465 0.452800 -0.877175 -5.000000
40 1.6580018632 0.776623 -2.114964 -4.107029 0.053728 -4.608651
75 1.0387249201 0.353264 0.561253 -4.062819 -0.752001 -5.000000
95 0.9398105984 0.050121 0.561253 -2.698957 -1.316621 -5.000000
119 0.8152076727 2.179468 0.813989 -1.016728 -0.683246 -5.000000
161 0.8146857851 1.380472 1.673840 -1.626813 1.073573 -5.000000
196 0.4024843229 1.995076 5.000000 -2.049557 -0.016368 -5.000000
300 0.3540274019 1.327346 4.241764 -1.032646 0.065600 -4.934847
328 0.3210374949 1.206562 5.000000 -1.136372 0.147005 -4.994492
363 0.2875911934 1.058998 3.556729 -1.674193 -0.307803 -4.992644
492 0.2125746205 1.109466 3.359167 -1.075755 -0.298888 -4.970941
644 0.2104295567 2.026004 5.000000 -1.054519 0.050461 -4.985960
812 0.1929603873 2.034037 4.253749 -1.075755 0.083388 -4.970941
835 0.1861553982 2.048373 5.000000 -1.012321 -0.411484 -4.988837
892 0.1559223390 2.034037 4.253749 -1.075755 0.113469 -5.000000
945 0.1396066299 2.077857 4.196041 -1.013249 -0.681820 -4.997021
1085 0.1054014553 1.103983 4.196041 -1.012141 -0.331316 -4.981681
1332 0.0923016889 2.091627 4.250864 -1.073373 -0.344499 -5.000000
1649 0.0919865772 2.018295 4.196041 -1.055618 -0.339043 -4.986914
1701 0.0504800235 2.106009 4.196218 -1.027981 -0.310472 -5.000000
2105 0.0421902771 2.114612 4.182310 -1.025804 -0.331316 -4.995815
2229 0.0411472615 2.114834 4.207891 -1.028034 -0.326732 -4.995243
2269 0.0404444390 2.114834 4.207891 -1.028034 -0.328973 -4.995718
2270 0.0394302426 2.114296 4.188147 -1.014414 -0.342892 -4.995894
2285 0.0383005284 2.114612 4.201485 -1.022085 -0.326862 -4.995815
2396 0.0382447647 2.107569 4.189100 -1.019035 -0.334734 -4.997244
2437 0.0376554330 2.112626 4.186931 -1.013821 -0.338091 -4.999996
2446 0.0373568253 2.101517 4.195724 -1.012758 -0.328033 -5.000000
2498 0.0372867498 2.101391 4.201965 -1.014520 -0.327323 -4.996212
2517 0.0366318323 2.113704 4.194744 -1.013821 -0.338091 -4.996611
2550 0.0362502954 2.100438 4.204276 -1.013399 -0.334419 -5.000000
2574 0.0360896344 2.106149 4.204557 -1.013763 -0.337975 -4.999346
2607 0.0360577538 2.112080 4.203996 -1.015294 -0.338397 -4.998737
2627 0.0360452097 2.112158 4.204206 -1.014959 -0.338635 -4.998837
2639 0.0358958225 2.107763 4.207114 -1.014700 -0.329350 -5.000000
2647 0.0358229134 2.106005 4.204206 -1.014959 -0.334335 -4.999435
2648 0.0356452441 2.111391 4.202545 -1.014920 -0.329673 -4.998780
2679 0.0355957192 2.107763 4.205412 -1.014700 -0.332782 -5.000000
2699 0.0355889110 2.107763 4.205145 -1.014700 -0.332782 -5.000000
2730 0.0355326154 2.119206 4.206748 -1.013700 -0.331722 -4.998073
2733 0.0354632349 2.107907 4.203546 -1.013868 -0.333031 -4.998360
2747 0.0354195785 2.108146 4.204206 -1.013263 -0.332155 -5.000000
2765 0.0353527654 2.113181 4.203852 -1.013635 -0.331356 -4.997984
2832 0.0353262057 2.116551 4.203809 -1.013984 -0.331366 -4.999666
2886 0.0353190598 2.113664 4.202643 -1.013763 -0.332848 -4.998397
2889 0.0353056250 2.112143 4.205887 -1.013920 -0.332524 -4.998812
2910 0.0353050181 2.114925 4.207174 -1.013641 -0.332888 -4.998924
2911 0.0353023861 2.113656 4.206795 -1.013467 -0.332630 -4.999619
