evaluations raw_y x0 x1 x2 x3 x4
1 12.5963135116 -4.805864 3.972381 -0.967010 -0.730847 3.311742
2 8.0035432941 4.981436 1.798943 -2.935554 2.022476 -4.992164
5 2.9158183232 0.777421 0.635989 -4.677518 -1.142780 -1.436788
36 2.7340321504 -0.446035 3.336170 -1.225921 -1.806712 -2.057755
61 2.5993155733 0.834011 1.779937 -5.000000 0.085331 -2.091171
77 2.2891258792 0.396795 1.082907 -5.000000 -1.933430 -0.477363
142 2.2831841937 1.729289 3.254870 -2.060615 -2.200518 -3.656333
172 2.1708030052 1.115706 0.821850 -2.587267 -0.732623 -5.000000
173 2.1035416293 0.167523 1.112463 -4.477958 -1.074217 -1.229737
257 1.7606391541 -0.130986 1.937182 -2.879321 -1.933430 -2.698738
284 1.6273316617 0.452017 0.793679 -3.092066 -3.805478 -2.194071
344 1.3781106232 0.452017 2.207617 -3.092066 -2.123979 -2.624750
373 1.3254586817 0.042958 2.889869 -3.980133 -1.074217 -1.246591
501 1.0734265011 0.754841 2.870469 -3.537667 -2.992826 -1.837291
550 0.9162051212 0.027201 2.039070 -2.181995 -3.456119 -2.316508
687 0.8946645810 0.495489 2.620764 -2.349267 -4.112731 -2.310320
693 0.8933293029 0.133288 2.469610 -2.682290 -3.084258 -1.919492
703 0.5842488518 0.386989 2.382952 -2.326123 -3.950328 -2.271403
735 0.5838354060 0.295681 2.038239 -2.482275 -3.729002 -2.142246
736 0.3972094891 0.278200 2.218508 -2.989154 -3.465738 -2.033368
815 0.2539833632 0.264951 2.102913 -2.826526 -3.502888 -2.012474
1081 0.2330842714 0.455340 2.085237 -3.027447 -3.228263 -2.037873
1102 0.2018719046 0.339191 2.210776 -2.864435 -3.565221 -2.018273
1120 0.1564821717 0.343844 1.992798 -2.983964 -3.009538 -1.956871
1148 0.1482820911 0.279089 2.043566 -2.878395 -3.077685 -2.073768
1358 0.0617268579 0.364564 2.077094 -2.976486 -3.030929 -2.045403
1381 0.0430225014 0.301566 2.027595 -2.918090 -3.171793 -2.034462
1449 0.0133523558 0.333223 2.054018 -2.956216 -3.132952 -2.023951
1569 0.0124158857 0.339280 2.055778 -2.955834 -3.129260 -2.023951
1655 0.0084156403 0.343756 2.091839 -2.940451 -3.156889 -2.026968
1734 0.0056654442 0.363212 2.087944 -2.950412 -3.156793 -2.024819
1756 0.0038022919 0.346596 2.074820 -2.936984 -3.160880 -2.032627
1806 0.0026269175 0.350426 2.080828 -2.959352 -3.133172 -2.024733
1867 0.0021932592 0.350087 2.079233 -2.959385 -3.135549 -2.025639
1893 0.0021475636 0.352787 2.077083 -2.951703 -3.143166 -2.023705
1918 0.0012146092 0.349457 2.078842 -2.951065 -3.145523 -2.026001
