evaluations raw_y x0 x1 x2 x3 x4
1 11.2817658843 -1.742270 -3.758246 0.942879 4.285774 1.088880
5 10.3022117607 -0.762653 2.680038 -2.961564 -1.635867 4.729300
8 8.3127301813 -1.358265 2.053974 0.813220 -1.141580 0.815693
10 3.4587139918 -4.637159 2.426615 -2.980499 1.585499 0.259670
52 2.3820817767 -2.458682 1.613093 -1.824417 4.220323 0.002129
82 1.9445704029 -2.957991 3.821097 -2.387880 3.949080 0.461963
113 1.7699745621 -2.603929 4.098121 -2.029170 3.246897 0.523031
122 1.5842961663 -2.590169 3.821097 -0.769783 3.018671 -1.044581
142 1.5772520798 -2.590169 3.600704 -1.620078 3.018671 -0.323915
146 1.4576511879 -2.213067 3.196720 -2.618031 4.301392 0.130656
172 0.9288402409 -3.441128 3.722104 -0.532534 4.509966 -1.162870
201 0.7842075380 -3.731351 3.125915 -2.010819 4.595311 -0.150733
205 0.6336658029 -2.873937 3.388318 -1.817882 4.247639 -1.132284
238 0.4166293805 -3.661336 3.284651 -2.018536 4.002484 -0.677305
276 0.3773561010 -3.048896 3.563673 -1.649171 4.182880 -0.970418
278 0.3147834132 -3.362670 3.284651 -2.018536 4.422320 -0.597132
312 0.1860865931 -3.555130 3.640575 -0.957924 4.363417 -1.697499
332 0.1171250337 -3.604708 3.640575 -1.254912 4.336412 -1.523122
338 0.0928000266 -3.452818 3.284651 -1.749798 4.432673 -0.848233
378 0.0801467613 -3.429423 3.300280 -1.749798 4.430645 -0.900672
386 0.0682944090 -3.354290 3.418947 -1.546290 4.212679 -1.033584
392 0.0576817790 -3.451031 3.523693 -1.588413 4.494111 -1.251374
412 0.0496436560 -3.468685 3.491100 -1.677144 4.433277 -1.246915
449 0.0463761591 -3.490690 3.371383 -1.558050 4.414813 -0.978544
452 0.0407314418 -3.483581 3.407498 -1.704650 4.426908 -1.183676
467 0.0397683575 -3.518412 3.428825 -1.585277 4.260208 -1.076447
486 0.0257857928 -3.571222 3.452937 -1.604737 4.377234 -1.112316
503 0.0250795637 -3.552414 3.437491 -1.597020 4.422748 -1.034345
572 0.0234444019 -3.543368 3.394940 -1.702482 4.357210 -1.092983
579 0.0183135823 -3.592497 3.391986 -1.639537 4.319102 -1.007650
654 0.0159127637 -3.596760 3.382952 -1.663140 4.351110 -1.036054
706 0.0124876727 -3.598127 3.305304 -1.678209 4.346873 -1.021399
747 0.0103324055 -3.612242 3.284331 -1.622320 4.306260 -1.035027
765 0.0087590246 -3.567915 3.308430 -1.604428 4.349269 -1.033716
788 0.0030905656 -3.555763 3.236012 -1.608561 4.360477 -0.978202
845 0.0029202766 -3.542639 3.275407 -1.604428 4.375569 -0.986246
848 0.0027040281 -3.549816 3.249823 -1.615220 4.360632 -0.994666
905 0.0003506978 -3.542639 3.235598 -1.595855 4.403261 -0.954432
929 0.0002234846 -3.552440 3.240768 -1.580146 4.387487 -0.968981
946 0.0001565719 -3.545940 3.242368 -1.588908 4.370313 -0.975036
984 0.0000742077 -3.545663 3.253002 -1.600989 4.378607 -0.969317
1012 0.0000637826 -3.537868 3.247964 -1.607173 4.373677 -0.963063
