evaluations raw_y x0 x1 x2 x3 x4
1 87.3055912136 4.396643 -4.648494 1.404983 4.235094 -0.954739
2 42.4988974653 0.287500 -4.681407 -1.775305 -3.647471 3.318833
4 40.3472958030 2.574163 0.130158 -2.667214 3.238323 -1.722989
6 31.6567472885 -2.820250 1.809815 -0.861964 0.975213 -0.179914
7 26.2077214704 -4.742390 -3.765306 1.289240 -4.419551 -2.124120
18 9.6432778991 -1.565751 -1.554806 -4.080387 -4.842375 -0.108374
135 8.2843158279 -3.717878 0.737578 -5.000000 -5.000000 0.177225
165 7.6133258847 -1.459252 3.326838 -4.392342 -3.321232 -0.455492
258 6.9960134089 -3.770312 4.120822 -4.459334 -3.874506 -0.102410
355 5.2238722361 -5.000000 5.000000 -3.748774 -4.040980 -0.054486
370 5.1918530622 -2.891262 2.089426 -4.739786 -2.957437 -0.255971
390 5.0106989736 -3.371795 2.064114 -4.437824 -4.205455 -0.683239
460 3.6729112538 -2.962249 2.216316 -4.426328 -3.233285 -0.659995
563 3.5592458188 -3.173172 2.039511 -4.552608 -3.246867 -0.381575
623 1.8908241330 -3.349673 2.834579 -4.458320 -4.498121 -0.518054
778 1.5042995314 -3.272265 2.467451 -4.817537 -4.378569 -0.444490
1330 0.9654969579 -3.042351 2.606283 -4.227791 -4.228059 -0.692635
1425 0.8108098226 -3.140868 2.727090 -4.303432 -4.252433 -0.655810
1513 0.8035034075 -3.118762 2.726041 -4.373252 -4.263233 -0.653339
1632 0.5544809165 -3.125122 2.752792 -4.338149 -4.306442 -0.591950
1650 0.3704137388 -3.042727 2.720082 -4.297244 -4.244340 -0.690045
1735 0.2480108154 -3.032485 2.680326 -4.343571 -4.188504 -0.646396
1889 0.2296496865 -3.066435 2.665764 -4.377447 -4.199966 -0.626691
1906 0.1919841656 -3.071378 2.680680 -4.368465 -4.213975 -0.626548
1953 0.0023770829 -3.092894 2.706772 -4.391113 -4.240379 -0.631605
2007 0.0021117464 -3.093356 2.719445 -4.350227 -4.241686 -0.644475
2011 0.0020480149 -3.094115 2.697963 -4.382557 -4.233631 -0.629634
2046 0.0013886281 -3.086303 2.719116 -4.364924 -4.240806 -0.636812
2060 0.0013269678 -3.079268 2.705518 -4.362264 -4.241442 -0.621499
2157 0.0007728712 -3.087094 2.699849 -4.356271 -4.240823 -0.622677
2269 0.0006740267 -3.056096 2.697562 -4.361985 -4.246507 -0.628826
2309 0.0006298402 -3.061487 2.711440 -4.367350 -4.264810 -0.630715
2449 0.0004195962 -3.059166 2.691397 -4.353036 -4.250982 -0.626673
2577 0.0003476530 -3.061658 2.690203 -4.348002 -4.246443 -0.624466
2641 0.0003248928 -3.063628 2.696502 -4.353386 -4.251324 -0.623596
2839 0.0002490250 -3.070534 2.689471 -4.364135 -4.255236 -0.623942
2856 0.0002458589 -3.069439 2.691860 -4.355414 -4.255424 -0.622722
2925 0.0002262034 -3.067756 2.691815 -4.352194 -4.254488 -0.621850
2989 0.0002143488 -3.069815 2.690012 -4.365969 -4.253756 -0.625761
3029 0.0001638415 -3.070446 2.692144 -4.360166 -4.252943 -0.628173
3074 0.0001131734 -3.068431 2.693000 -4.357674 -4.253393 -0.628146
3113 0.0000895090 -3.065459 2.694916 -4.352685 -4.254253 -0.631556
3199 0.0000577576 -3.066015 2.695713 -4.354078 -4.252690 -0.633045
3316 0.0000539991 -3.064014 2.697116 -4.352015 -4.252994 -0.633518
3372 0.0000412617 -3.063683 2.696813 -4.353042 -4.252701 -0.633651
3484 0.0000280487 -3.064100 2.696374 -4.352993 -4.252830 -0.632510
3529 0.0000246750 -3.064522 2.696140 -4.354030 -4.253377 -0.632414
3587 0.0000226360 -3.064860 2.695249 -4.354469 -4.253422 -0.631790
3632 0.0000193000 -3.064126 2.695565 -4.354304 -4.253329 -0.632741
3695 0.0000155894 -3.064589 2.695869 -4.353527 -4.252744 -0.632523
3732 0.0000132688 -3.064482 2.695598 -4.353931 -4.252938 -0.632761
3836 0.0000121188 -3.064846 2.695088 -4.354960 -4.252754 -0.632511
3867 0.0000116891 -3.064869 2.695282 -4.354625 -4.252846 -0.632722
3870 0.0000047311 -3.064777 2.694956 -4.354495 -4.252648 -0.632352
4115 0.0000026429 -3.064981 2.694860 -4.354512 -4.252794 -0.632131
4220 0.0000024184 -3.064817 2.695069 -4.354490 -4.252878 -0.632337
4238 0.0000018661 -3.064943 2.694833 -4.354504 -4.252759 -0.632173
4341 0.0000015619 -3.064936 2.694857 -4.354541 -4.252778 -0.632183
4386 0.0000011275 -3.064891 2.694929 -4.354518 -4.252780 -0.632209
4454 0.0000009841 -3.064883 2.695005 -4.354427 -4.252797 -0.632270
4455 0.0000006720 -3.064876 2.694987 -4.354439 -4.252811 -0.632279
4516 0.0000006585 -3.064873 2.694993 -4.354430 -4.252813 -0.632286
4704 0.0000006162 -3.064883 2.694945 -4.354493 -4.252792 -0.632234
4753 0.0000003319 -3.064852 2.694991 -4.354428 -4.252795 -0.632271
4807 0.0000002340 -3.064871 2.694986 -4.354439 -4.252807 -0.632241
4814 0.0000001825 -3.064864 2.694979 -4.354429 -4.252795 -0.632259
4926 0.0000001773 -3.064863 2.694985 -4.354417 -4.252800 -0.632251
4931 0.0000001731 -3.064872 2.694961 -4.354426 -4.252785 -0.632231
4951 0.0000001132 -3.064871 2.694966 -4.354423 -4.252787 -0.632236
5054 0.0000001054 -3.064854 2.694986 -4.354421 -4.252798 -0.632246
5106 0.0000000407 -3.064862 2.694978 -4.354426 -4.252796 -0.632240
5120 0.0000000306 -3.064861 2.694981 -4.354421 -4.252793 -0.632240
5278 0.0000000204 -3.064863 2.694978 -4.354421 -4.252794 -0.632240
5371 0.0000000170 -3.064864 2.694978 -4.354426 -4.252793 -0.632237
5444 0.0000000085 -3.064865 2.694976 -4.354426 -4.252794 -0.632238
5518 0.0000000084 -3.064865 2.694975 -4.354427 -4.252794 -0.632238
5579 0.0000000077 -3.064865 2.694976 -4.354427 -4.252794 -0.632238
5618 0.0000000039 -3.064864 2.694977 -4.354424 -4.252793 -0.632240
5682 0.0000000035 -3.064863 2.694976 -4.354424 -4.252792 -0.632240
5877 0.0000000034 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
5957 0.0000000033 -3.064864 2.694977 -4.354425 -4.252793 -0.632240
5963 0.0000000031 -3.064864 2.694977 -4.354426 -4.252793 -0.632240
5975 0.0000000028 -3.064864 2.694977 -4.354425 -4.252793 -0.632240
6040 0.0000000022 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6253 0.0000000018 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6306 0.0000000016 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6357 0.0000000015 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6429 0.0000000013 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6463 0.0000000012 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6523 0.0000000010 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6596 0.0000000006 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6882 0.0000000004 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
6982 0.0000000003 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
7697 0.0000000002 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
8668 0.0000000001 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
10000 0.0000000000 -3.064864 2.694976 -4.354425 -4.252793 -0.632239
