evaluations raw_y x0 x1 x2 x3 x4
1 17.1046921247 1.541056 3.902251 4.383337 -3.980247 0.154063
2 10.7050827913 -1.664979 -4.842619 -3.159428 -2.800912 1.263321
5 8.8681471740 0.296030 0.018794 1.974667 -0.816697 -4.983825
9 2.8983236811 0.828596 1.843630 -1.813655 -1.943277 -3.045889
17 1.7912618557 1.425952 1.004995 -3.172015 -2.060858 -4.133167
306 1.6629019704 1.721612 1.031994 -2.895783 -3.681565 -3.864540
329 1.4720807274 0.792669 0.571818 -2.597157 -2.798038 -4.088729
472 1.1478569835 0.451324 1.961893 -3.138665 -0.929985 -2.994795
852 1.0400841026 -0.131690 1.451115 -3.402006 -2.125482 -1.973368
882 0.7873237868 0.362250 1.945964 -3.327281 -1.429012 -2.501038
893 0.7745888488 0.250839 1.650161 -3.653104 -1.889141 -1.958085
991 0.5535520058 0.328659 2.286833 -3.407841 -1.731309 -2.029398
1552 0.4664048055 0.501282 2.151305 -3.088201 -2.297635 -2.309576
1636 0.4587301440 0.372260 2.158370 -2.933907 -2.536043 -2.297159
1709 0.2394633460 0.230035 1.884163 -2.968129 -2.901229 -1.955344
1976 0.2214757710 0.281973 2.066061 -2.788784 -3.310709 -2.028236
2001 0.2170669367 0.300982 1.966582 -2.926313 -2.902096 -2.124908
2132 0.2156083436 0.275782 1.941892 -3.011054 -2.829147 -2.065207
2144 0.1674370503 0.228478 2.003063 -2.831182 -3.217016 -2.065417
2258 0.1619172024 0.245169 2.002966 -2.864407 -3.117115 -2.074425
2272 0.1400531713 0.265629 1.995564 -2.898290 -3.083417 -2.060213
2279 0.1027654678 0.336016 2.096658 -2.945549 -3.275692 -1.998601
2307 0.0894746118 0.306492 2.062582 -2.955273 -3.208273 -2.003599
2336 0.0834780086 0.315027 2.092095 -2.946940 -3.187939 -2.003406
2411 0.0811702982 0.362650 2.110288 -3.024797 -3.170733 -1.963781
2418 0.0520476991 0.345995 2.086749 -2.900616 -3.220577 -2.022740
2452 0.0442608479 0.351530 2.095062 -2.874195 -3.243582 -2.053411
2479 0.0333285140 0.343711 2.054756 -2.956609 -3.092690 -2.004923
2525 0.0325139740 0.340125 2.047247 -2.920183 -3.150809 -2.020955
2535 0.0238141177 0.366294 2.070045 -2.948197 -3.167427 -2.020180
2560 0.0218742050 0.347974 2.056989 -2.938671 -3.131486 -2.044872
2603 0.0178090868 0.357118 2.094794 -2.971467 -3.163846 -2.017791
2633 0.0151024223 0.349293 2.076077 -2.982890 -3.125313 -2.017136
2648 0.0078105154 0.360190 2.082689 -2.946149 -3.136879 -2.031641
2740 0.0069093944 0.357773 2.079183 -2.948750 -3.134175 -2.029285
2756 0.0052121673 0.359905 2.091880 -2.960910 -3.155451 -2.019236
2774 0.0038749886 0.358763 2.089653 -2.942510 -3.158532 -2.030147
2851 0.0027231791 0.354630 2.083831 -2.939700 -3.156530 -2.038237
2867 0.0024648167 0.356643 2.089771 -2.953622 -3.149373 -2.027418
2903 0.0016276906 0.350547 2.085982 -2.952474 -3.152520 -2.027761
2922 0.0013795875 0.351266 2.077804 -2.949221 -3.146411 -2.030943
3048 0.0008813021 0.352363 2.079363 -2.949245 -3.146014 -2.029032
3063 0.0007020984 0.352580 2.079579 -2.950072 -3.148012 -2.029319
3156 0.0006708274 0.351749 2.078680 -2.950204 -3.146926 -2.028481
3162 0.0003044013 0.352276 2.080781 -2.951714 -3.148222 -2.026646
3272 0.0001977235 0.351214 2.081441 -2.952136 -3.151088 -2.028113
3332 0.0001678701 0.350917 2.081276 -2.950355 -3.150700 -2.029071
3358 0.0001675597 0.350342 2.080326 -2.949923 -3.150833 -2.028901
3460 0.0001128434 0.350707 2.080975 -2.950572 -3.150928 -2.028580
3649 0.0000993419 0.351605 2.081455 -2.950723 -3.151418 -2.027546
3654 0.0000854350 0.351905 2.081456 -2.950728 -3.151282 -2.027580
3673 0.0000689392 0.351560 2.081627 -2.950171 -3.150735 -2.028081
3774 0.0000636180 0.351564 2.081261 -2.950160 -3.150638 -2.028059
3832 0.0000543109 0.351515 2.081358 -2.950217 -3.150882 -2.027972
3834 0.0000259943 0.351224 2.080370 -2.950732 -3.150202 -2.028142
3965 0.0000224755 0.351447 2.080558 -2.950816 -3.150658 -2.027952
3969 0.0000178519 0.351256 2.080468 -2.950526 -3.150383 -2.028259
3985 0.0000177342 0.351207 2.080499 -2.950587 -3.150698 -2.028149
4040 0.0000104009 0.351602 2.080990 -2.950388 -3.151073 -2.028219
4065 0.0000091215 0.351647 2.080847 -2.950479 -3.150878 -2.028243
4076 0.0000087499 0.351514 2.080831 -2.950502 -3.150904 -2.028162
4169 0.0000053186 0.351544 2.080909 -2.950414 -3.151041 -2.028243
4231 0.0000049859 0.351566 2.080918 -2.950434 -3.150965 -2.028233
4240 0.0000045077 0.351519 2.080875 -2.950422 -3.150936 -2.028238
4258 0.0000035646 0.351373 2.080640 -2.950365 -3.150868 -2.028157
4312 0.0000019047 0.351498 2.080705 -2.950256 -3.150907 -2.028284
4445 0.0000017028 0.351522 2.080743 -2.950307 -3.150915 -2.028272
4481 0.0000016983 0.351531 2.080757 -2.950333 -3.150960 -2.028252
4501 0.0000008028 0.351432 2.080699 -2.950346 -3.150853 -2.028225
4578 0.0000001321 0.351443 2.080716 -2.950270 -3.150958 -2.028255
4828 0.0000001180 0.351446 2.080718 -2.950272 -3.150958 -2.028254
4912 0.0000000735 0.351448 2.080712 -2.950256 -3.150965 -2.028270
5109 0.0000000588 0.351443 2.080709 -2.950262 -3.150962 -2.028271
5113 0.0000000575 0.351444 2.080714 -2.950265 -3.150957 -2.028262
5123 0.0000000546 0.351437 2.080693 -2.950275 -3.150942 -2.028258
5159 0.0000000313 0.351446 2.080706 -2.950275 -3.150938 -2.028263
5180 0.0000000141 0.351439 2.080696 -2.950268 -3.150946 -2.028263
5214 0.0000000061 0.351443 2.080702 -2.950270 -3.150949 -2.028265
5383 0.0000000025 0.351441 2.080703 -2.950269 -3.150949 -2.028265
5505 0.0000000014 0.351445 2.080706 -2.950269 -3.150954 -2.028264
5537 0.0000000011 0.351442 2.080704 -2.950267 -3.150951 -2.028264
5575 0.0000000010 0.351443 2.080701 -2.950265 -3.150950 -2.028264
5662 0.0000000007 0.351444 2.080704 -2.950270 -3.150949 -2.028262
5831 0.0000000006 0.351444 2.080704 -2.950268 -3.150952 -2.028263
5881 0.0000000002 0.351444 2.080703 -2.950267 -3.150952 -2.028263
6169 0.0000000001 0.351443 2.080703 -2.950268 -3.150950 -2.028263
7024 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
