evaluations raw_y x0 x1 x2 x3 x4
1 18.5614244572 -0.157326 -0.099610 4.372762 -0.171820 0.558703
4 7.6822332723 4.584814 -0.137492 -4.248974 1.068024 1.745564
20 5.4852552069 1.538639 -3.046052 2.288041 -2.034824 -1.239673
50 5.2264998458 1.469065 -0.381516 -0.050546 -2.933210 -1.944893
70 3.6384708996 1.269198 -0.381516 4.884140 -3.578645 2.284466
84 2.5175533070 1.953981 0.690614 2.054851 -3.373375 1.145606
89 2.4517073019 0.410391 -5.000000 3.876317 0.152256 1.089762
101 0.8091805782 0.777861 -1.312051 1.785704 0.165162 2.893965
188 0.5214139032 2.367025 -2.348979 2.226929 -0.277418 2.682697
190 0.4117834416 1.870688 -2.221593 2.214770 -0.129690 2.910962
246 0.3974133629 2.584017 -3.714602 3.458303 0.003946 3.414746
301 0.2338389870 2.270729 -3.062078 2.123492 0.786767 3.572230
328 0.2238186541 2.369218 -2.720510 2.334722 -0.199951 3.177336
396 0.2042857583 2.674507 -3.615450 2.471691 -0.044364 2.502053
399 0.1065546765 2.421374 -3.386265 2.387465 -0.240965 2.857898
400 0.0942482096 2.721428 -3.179131 2.445094 -0.267729 3.042357
411 0.0501352680 2.392511 -2.807367 2.239602 -0.090665 2.725016
445 0.0156137648 2.603818 -3.001450 2.324172 -0.086307 2.703517
493 0.0152898190 2.695549 -3.135154 2.303050 0.160270 3.064439
507 0.0115888103 2.584044 -3.299452 2.329468 -0.059246 2.793258
570 0.0101338253 2.520979 -3.226615 2.256949 -0.040207 2.726461
595 0.0021832453 2.541876 -3.045968 2.292136 -0.006438 2.820366
639 0.0004641767 2.540029 -3.101270 2.292469 0.059771 2.874043
740 0.0004313962 2.548211 -3.072405 2.311854 0.037722 2.835203
748 0.0002956400 2.576158 -3.069268 2.307093 0.063875 2.862501
766 0.0002648049 2.562370 -3.093538 2.298257 0.070280 2.894957
778 0.0001690865 2.567728 -3.122655 2.312714 0.055982 2.852922
797 0.0001421580 2.563660 -3.134788 2.311992 0.055674 2.835408
800 0.0001330117 2.568093 -3.074315 2.309019 0.051302 2.854983
813 0.0000177662 2.566877 -3.098540 2.310822 0.037985 2.851622
904 0.0000144903 2.568487 -3.096623 2.307774 0.037843 2.858292
913 0.0000109602 2.571796 -3.098540 2.307737 0.024128 2.829338
917 0.0000017889 2.566937 -3.094733 2.308142 0.033675 2.844224
923 0.0000016584 2.566678 -3.090319 2.306788 0.036455 2.848026
943 0.0000014961 2.566678 -3.090712 2.306821 0.036548 2.849073
963 0.0000011022 2.568009 -3.090712 2.306148 0.035731 2.847387
1031 0.0000007778 2.566426 -3.093339 2.306258 0.035756 2.847419
1064 0.0000005020 2.568141 -3.091223 2.306837 0.033450 2.846809
1082 0.0000001620 2.568527 -3.093271 2.306378 0.034717 2.846625
1153 0.0000000759 2.568272 -3.093782 2.307545 0.034348 2.846187
1170 0.0000000713 2.568689 -3.093078 2.307114 0.034549 2.846400
1309 0.0000000685 2.569003 -3.093255 2.307545 0.034412 2.847718
1321 0.0000000542 2.569042 -3.094580 2.307433 0.034247 2.846803
1332 0.0000000503 2.569206 -3.093257 2.307167 0.034535 2.846560
1364 0.0000000386 2.568945 -3.093702 2.307126 0.035097 2.847783
1381 0.0000000381 2.568966 -3.094462 2.307189 0.034847 2.847167
1397 0.0000000249 2.568660 -3.093717 2.307119 0.035036 2.847340
1429 0.0000000149 2.568611 -3.093640 2.307176 0.034994 2.847205
1465 0.0000000139 2.568959 -3.094048 2.307351 0.034561 2.846635
1466 0.0000000124 2.568598 -3.093706 2.306992 0.035206 2.847156
1481 0.0000000071 2.568966 -3.093712 2.307073 0.034978 2.847217
1549 0.0000000040 2.568898 -3.093781 2.307176 0.034889 2.847096
1555 0.0000000038 2.569125 -3.093747 2.307214 0.034849 2.847287
1626 0.0000000034 2.569032 -3.093893 2.307127 0.035052 2.847262
1745 0.0000000031 2.569150 -3.093745 2.307347 0.034767 2.847338
1788 0.0000000028 2.569152 -3.093769 2.307212 0.034858 2.847300
1839 0.0000000027 2.569016 -3.093733 2.307034 0.034874 2.847060
1883 0.0000000025 2.568949 -3.093689 2.307094 0.034820 2.847037
1902 0.0000000023 2.569019 -3.093972 2.307327 0.034858 2.847108
1924 0.0000000015 2.569107 -3.093808 2.307151 0.034817 2.847098
2123 0.0000000013 2.568952 -3.093876 2.307233 0.034775 2.846933
2161 0.0000000010 2.568996 -3.093865 2.307181 0.034799 2.846959
2183 0.0000000008 2.569014 -3.093874 2.307195 0.034779 2.846950
2361 0.0000000006 2.569037 -3.093848 2.307180 0.034802 2.847012
2607 0.0000000004 2.569045 -3.093834 2.307176 0.034778 2.846995
2673 0.0000000002 2.569056 -3.093840 2.307178 0.034770 2.846988
3329 0.0000000001 2.569061 -3.093836 2.307180 0.034764 2.846990
10000 0.0000000000 2.569062 -3.093835 2.307182 0.034768 2.846998
