evaluations raw_y x0 x1 x2 x3 x4
1 12.1654025677 1.199364 -2.056203 -2.806738 3.666152 -0.810627
2 4.7730889721 1.048118 -4.316923 -0.200299 3.216600 -2.540271
27 3.3982730337 -0.503256 -4.901334 4.475159 4.981589 -1.569015
30 2.0008858098 3.505423 -1.196629 1.253772 -1.708000 -2.501831
115 1.1662065747 2.480965 -0.723525 2.443339 1.413217 -1.473423
224 0.7409135384 0.714910 -3.842132 3.344196 3.027488 -3.065652
256 0.5680949360 2.495480 -2.905597 2.083118 -0.330751 -2.329006
320 0.4536571773 1.874553 -1.412791 2.324417 2.022836 -2.262013
366 0.4341929379 2.057696 -1.979522 2.497668 2.528802 -3.530146
383 0.3447407226 2.157098 -2.574574 2.201042 0.965654 -3.263588
528 0.3329354158 1.794476 -2.311856 2.918782 1.991701 -2.191230
532 0.2845469824 2.198990 -2.470188 2.264542 1.225282 -3.164723
592 0.2410691055 1.965105 -1.045797 2.717780 1.791293 -2.344720
684 0.2371390501 1.688498 -1.359282 3.246106 2.398455 -2.315442
727 0.1182225904 1.785585 -1.314801 2.970767 2.171841 -2.244663
756 0.0576807385 1.954037 -1.289738 2.920162 2.313917 -2.439835
948 0.0231302475 2.182794 -1.330624 2.837403 2.301982 -2.204145
1188 0.0210414359 2.135212 -1.329647 2.870847 2.274468 -2.234961
1221 0.0202305135 2.112408 -1.293641 2.890560 2.382941 -2.229291
1228 0.0194817352 2.088757 -1.232076 2.902170 2.489513 -2.316716
1350 0.0145682966 2.036121 -1.299400 2.980363 2.491208 -2.118837
1355 0.0142402178 2.273939 -1.449223 2.851327 2.382574 -2.085421
1501 0.0123728971 2.082734 -1.362042 2.930576 2.405805 -2.020671
1503 0.0109940502 2.066098 -1.364456 2.871770 2.419370 -2.137630
1586 0.0082923380 2.149351 -1.389654 2.907051 2.500281 -2.185634
1771 0.0036528692 2.167422 -1.420466 2.879324 2.324316 -2.139597
1846 0.0029356644 2.087427 -1.388728 2.938057 2.403667 -2.102944
1875 0.0024891681 2.078617 -1.393591 2.951388 2.347927 -2.087581
1888 0.0002202543 2.084969 -1.384049 2.944962 2.357047 -2.095292
2038 0.0001861147 2.084906 -1.384049 2.945783 2.357047 -2.095292
2088 0.0001299685 2.086951 -1.384397 2.941374 2.357047 -2.104568
2406 0.0001104015 2.084228 -1.357263 2.950265 2.351769 -2.101805
2428 0.0000968549 2.090533 -1.362563 2.949646 2.352206 -2.096857
2438 0.0000786446 2.086951 -1.363934 2.941374 2.357047 -2.104568
2453 0.0000656918 2.086038 -1.367545 2.944211 2.359748 -2.097477
2481 0.0000276250 2.085636 -1.363632 2.945641 2.357695 -2.096406
2588 0.0000225922 2.085465 -1.362991 2.945734 2.354290 -2.095901
2628 0.0000169375 2.085099 -1.362563 2.945667 2.356471 -2.098041
2636 0.0000166000 2.085510 -1.362655 2.946310 2.360057 -2.098337
2747 0.0000138406 2.083125 -1.364482 2.948113 2.362252 -2.097020
2759 0.0000125327 2.085871 -1.363034 2.944907 2.358789 -2.100016
2847 0.0000115414 2.083125 -1.364274 2.947769 2.360972 -2.097020
2848 0.0000114593 2.082838 -1.359364 2.946730 2.360402 -2.098711
2862 0.0000102146 2.081545 -1.357321 2.948218 2.362402 -2.099512
2882 0.0000090057 2.085251 -1.360911 2.946055 2.361687 -2.099065
2883 0.0000084328 2.081986 -1.362823 2.947477 2.360725 -2.099514
2903 0.0000079142 2.083189 -1.361915 2.947367 2.360936 -2.096969
2933 0.0000041795 2.081986 -1.360187 2.948691 2.363105 -2.097314
2934 0.0000040297 2.082586 -1.360790 2.948199 2.363211 -2.097646
2982 0.0000028146 2.083077 -1.361614 2.947962 2.361687 -2.096948
3032 0.0000027735 2.084409 -1.360288 2.947150 2.361687 -2.097362
3160 0.0000026926 2.082660 -1.360755 2.948347 2.361105 -2.096561
3170 0.0000025842 2.083045 -1.360532 2.948017 2.360903 -2.096554
3182 0.0000012409 2.083685 -1.359922 2.947811 2.362171 -2.097317
3219 0.0000010703 2.083675 -1.360353 2.947829 2.362700 -2.097207
3257 0.0000008454 2.083436 -1.360180 2.947947 2.362601 -2.096725
3288 0.0000006201 2.083351 -1.360275 2.948038 2.362325 -2.096668
3338 0.0000005713 2.083328 -1.360196 2.948074 2.362507 -2.096687
3438 0.0000005056 2.083294 -1.360053 2.948168 2.362630 -2.096687
3456 0.0000004359 2.083500 -1.359979 2.948187 2.362493 -2.096323
3547 0.0000003257 2.083374 -1.360335 2.948189 2.362513 -2.096625
3606 0.0000001876 2.083377 -1.359979 2.948196 2.362386 -2.096510
3719 0.0000001279 2.083320 -1.360006 2.948236 2.362377 -2.096494
3897 0.0000001133 2.083328 -1.360185 2.948279 2.362392 -2.096353
4015 0.0000001053 2.083402 -1.359792 2.948270 2.362399 -2.096369
4069 0.0000000769 2.083305 -1.360006 2.948262 2.362377 -2.096467
4119 0.0000000645 2.083301 -1.360017 2.948262 2.362377 -2.096467
4212 0.0000000477 2.083350 -1.359835 2.948261 2.362386 -2.096434
4288 0.0000000463 2.083350 -1.359796 2.948265 2.362383 -2.096428
4294 0.0000000421 2.083335 -1.359782 2.948279 2.362369 -2.096386
4363 0.0000000412 2.083331 -1.359733 2.948299 2.362412 -2.096367
4413 0.0000000200 2.083348 -1.359742 2.948281 2.362384 -2.096367
4466 0.0000000190 2.083349 -1.359704 2.948277 2.362363 -2.096394
4563 0.0000000145 2.083350 -1.359742 2.948284 2.362392 -2.096375
4570 0.0000000133 2.083346 -1.359731 2.948288 2.362390 -2.096369
4670 0.0000000070 2.083353 -1.359731 2.948285 2.362387 -2.096369
4763 0.0000000052 2.083352 -1.359739 2.948284 2.362380 -2.096371
4945 0.0000000037 2.083353 -1.359736 2.948287 2.362390 -2.096367
5217 0.0000000033 2.083357 -1.359729 2.948284 2.362388 -2.096369
5234 0.0000000021 2.083356 -1.359731 2.948284 2.362388 -2.096369
5513 0.0000000017 2.083357 -1.359731 2.948285 2.362388 -2.096367
5533 0.0000000011 2.083357 -1.359731 2.948286 2.362394 -2.096366
5572 0.0000000009 2.083356 -1.359733 2.948286 2.362393 -2.096366
5644 0.0000000007 2.083357 -1.359731 2.948286 2.362394 -2.096365
5780 0.0000000006 2.083358 -1.359730 2.948286 2.362394 -2.096364
6098 0.0000000004 2.083357 -1.359731 2.948286 2.362393 -2.096365
6278 0.0000000003 2.083357 -1.359731 2.948286 2.362392 -2.096364
6614 0.0000000001 2.083357 -1.359730 2.948286 2.362393 -2.096364
6685 0.0000000000 2.083357 -1.359730 2.948286 2.362393 -2.096364
10000 0.0000000000 2.083357 -1.359730 2.948286 2.362393 -2.096364
