evaluations raw_y x0 x1 x2 x3 x4
1 9.3373389339 4.726069 3.518137 -3.529566 -0.607584 0.915827
4 8.6834012956 3.860418 -1.289381 -1.011313 -0.347986 1.242749
6 5.7663099528 -3.606306 -4.859788 -2.372918 -0.200508 -3.854568
16 2.3469111296 4.925606 4.519226 -3.339607 -3.939425 -1.621929
175 2.1337997550 -0.429234 3.485499 -1.318271 -3.176996 -1.897453
356 1.6088834841 -0.701153 -1.001549 -2.728945 -4.266379 -1.196108
625 1.3295206031 0.146672 3.485499 -2.444636 -3.176996 -1.897453
738 1.0039405318 0.044328 1.814693 -3.791026 -2.420369 -1.277191
1444 0.6464844979 0.007416 2.061116 -2.959261 -4.363703 -1.241895
1552 0.5294684112 0.437394 2.024506 -3.141397 -3.189277 -1.980459
1746 0.4174200975 0.300589 1.967195 -2.601661 -4.063982 -2.004619
2326 0.4110745585 0.382350 1.958125 -3.369270 -2.173154 -2.063411
2376 0.3374240483 0.328078 1.958125 -3.353198 -2.318576 -2.013483
2500 0.3265043629 0.437761 2.184680 -3.035382 -2.885002 -2.030244
2519 0.2733101449 0.353399 2.051322 -2.931693 -3.120757 -2.144671
2526 0.2223590795 0.258458 2.034730 -2.742661 -3.598093 -2.014607
2726 0.1494873660 0.276252 2.034730 -2.937146 -3.252246 -2.067877
2777 0.1378264215 0.305194 2.035787 -2.912817 -3.179150 -1.957321
2787 0.0533093915 0.299745 2.039962 -2.975512 -3.105930 -2.026418
3272 0.0507937305 0.306451 2.068043 -3.012422 -3.132145 -2.027518
3297 0.0466257261 0.350519 2.070284 -2.887895 -3.189988 -2.041361
3303 0.0357772792 0.338317 2.092266 -2.894212 -3.217382 -2.040661
3332 0.0266080200 0.328091 2.071943 -2.924378 -3.193714 -2.049696
3347 0.0094877862 0.347759 2.070284 -2.940971 -3.174064 -2.029018
3382 0.0072360960 0.354969 2.085096 -2.955932 -3.167708 -2.015801
3494 0.0037221916 0.349947 2.085779 -2.939773 -3.158311 -2.033622
3697 0.0029256752 0.347759 2.081389 -2.948106 -3.162118 -2.025851
3814 0.0021568868 0.349501 2.086111 -2.951865 -3.148735 -2.025536
3827 0.0019125712 0.349373 2.084615 -2.950322 -3.149715 -2.024118
3845 0.0014431446 0.353652 2.084481 -2.944989 -3.154669 -2.031586
3854 0.0008948027 0.351476 2.080176 -2.945015 -3.160124 -2.029533
3864 0.0006270026 0.352352 2.080988 -2.946985 -3.152214 -2.030312
3944 0.0004378726 0.352544 2.081227 -2.950691 -3.147907 -2.028388
3954 0.0001924080 0.351476 2.080176 -2.949461 -3.150878 -2.029533
3998 0.0001384025 0.352172 2.082241 -2.949650 -3.151137 -2.028367
4098 0.0001271418 0.352431 2.082272 -2.950154 -3.151137 -2.028392
4225 0.0001019349 0.351268 2.081381 -2.949809 -3.152155 -2.028797
4317 0.0000756100 0.351906 2.081170 -2.950212 -3.151455 -2.028676
4364 0.0000591462 0.351702 2.080524 -2.950071 -3.151781 -2.028325
4395 0.0000277161 0.351355 2.080338 -2.949836 -3.151230 -2.028460
4547 0.0000249561 0.351530 2.080734 -2.949822 -3.151127 -2.028521
4597 0.0000126076 0.351561 2.080822 -2.950045 -3.151034 -2.028374
4644 0.0000081045 0.351605 2.080798 -2.950144 -3.151067 -2.028258
4700 0.0000057078 0.351347 2.080555 -2.950148 -3.151036 -2.028240
4794 0.0000053907 0.351597 2.080801 -2.950174 -3.151036 -2.028262
4877 0.0000036788 0.351406 2.080786 -2.950161 -3.151019 -2.028256
4902 0.0000035042 0.351428 2.080722 -2.950116 -3.151038 -2.028338
4946 0.0000029138 0.351394 2.080729 -2.950185 -3.151062 -2.028326
4969 0.0000027991 0.351444 2.080810 -2.950205 -3.150964 -2.028289
5023 0.0000015262 0.351487 2.080779 -2.950316 -3.151013 -2.028253
5073 0.0000009991 0.351487 2.080761 -2.950286 -3.151013 -2.028253
5165 0.0000006895 0.351466 2.080759 -2.950302 -3.151000 -2.028265
5232 0.0000004646 0.351429 2.080711 -2.950280 -3.150947 -2.028249
5263 0.0000002915 0.351465 2.080725 -2.950267 -3.150949 -2.028253
5275 0.0000001070 0.351455 2.080710 -2.950256 -3.150963 -2.028258
5377 0.0000000267 0.351448 2.080701 -2.950261 -3.150950 -2.028261
5514 0.0000000107 0.351448 2.080706 -2.950269 -3.150953 -2.028260
5658 0.0000000032 0.351443 2.080705 -2.950266 -3.150956 -2.028264
5730 0.0000000016 0.351443 2.080701 -2.950265 -3.150951 -2.028262
5776 0.0000000011 0.351443 2.080703 -2.950266 -3.150952 -2.028263
5873 0.0000000007 0.351445 2.080703 -2.950268 -3.150951 -2.028262
5875 0.0000000006 0.351445 2.080704 -2.950268 -3.150952 -2.028262
5897 0.0000000003 0.351444 2.080702 -2.950267 -3.150950 -2.028263
5925 0.0000000002 0.351443 2.080703 -2.950268 -3.150951 -2.028263
6260 0.0000000001 0.351443 2.080702 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
