evaluations raw_y x0 x1 x2 x3 x4
1 27.6433343076 -0.902391 1.721042 -0.438677 -0.235585 -0.881179
28 27.2553860323 2.220709 3.465010 2.618339 2.147315 -4.174402
41 21.3811665700 -0.155306 -1.334597 -3.367207 3.084950 -1.881464
49 11.9052608906 3.467544 1.774558 -0.044772 -1.035343 -3.996840
588 8.9821656866 3.097188 2.032015 -3.616029 1.338640 -2.603455
2081 6.3408516047 2.587130 2.064773 -1.992656 1.782152 -3.401373
3393 5.6245856951 1.373301 2.957836 -3.771678 4.203080 -3.764843
3470 5.5531040325 2.024689 2.975233 -3.934814 4.819975 -3.090527
3505 5.5455958827 2.076659 2.556674 -4.169708 4.382665 -3.730197
3585 4.6187559522 2.006651 2.425226 -4.081271 4.453697 -3.676462
3588 4.4338065188 1.941231 2.523404 -4.087335 4.400474 -3.651720
3589 1.8013608760 1.916701 2.638783 -3.983223 4.501875 -3.629232
3884 1.7160529251 1.945447 2.669954 -3.603962 4.485462 -4.088112
3922 0.7669329233 1.838380 2.673684 -3.648783 4.356863 -4.107368
4483 0.7303626676 2.229290 2.781701 -3.488769 4.581901 -4.268517
4484 0.4856266551 2.235831 2.772736 -3.674628 4.474169 -3.981145
4514 0.4802888340 2.235831 2.767613 -3.670742 4.468508 -3.976412
4557 0.3756481738 2.139792 2.698233 -3.723607 4.684923 -4.196004
4589 0.3457868684 1.952233 2.609484 -3.726897 4.486079 -4.291414
4590 0.3455848217 2.230178 2.764472 -3.665142 4.648620 -4.492125
4624 0.3390211862 2.196453 2.817653 -3.668807 4.580870 -4.227776
4667 0.2499989360 2.168648 2.815870 -3.626033 4.568143 -4.260153
4693 0.2376403650 2.233253 2.788482 -3.608919 4.527058 -4.109541
4702 0.2353637837 2.250845 2.747377 -3.719360 4.588118 -4.368680
4748 0.2319253563 2.254658 2.749236 -3.716718 4.584894 -4.354197
4814 0.1823769855 2.240972 2.761578 -3.626033 4.535003 -4.305274
4844 0.0787578678 2.208717 2.743073 -3.658845 4.556062 -4.367918
4892 0.0429752863 2.174161 2.737666 -3.683534 4.543957 -4.370265
