evaluations raw_y x0 x1 x2 x3 x4
1 3.1846031606 -3.179575 1.818820 -1.187749 -2.153935 -2.151454
102 1.6625602905 0.283887 4.099394 -3.038146 -2.867311 -1.052824
281 1.4752319130 1.721375 1.732496 -2.935221 -2.171721 -3.796720
284 1.0436178650 0.228261 3.353451 -2.898848 -2.340494 -1.600712
356 0.5221161359 0.322983 2.092861 -3.088504 -2.220936 -2.276573
561 0.4830513552 0.107158 1.867542 -2.918036 -2.852082 -2.002454
656 0.4697556422 0.334807 2.046166 -3.050891 -2.453882 -2.185534
692 0.3471448095 0.289570 2.186799 -2.970615 -2.784395 -2.019298
753 0.3130404595 0.371237 2.100762 -2.860259 -3.229542 -1.956151
762 0.2621342569 0.390459 2.178689 -3.005246 -2.761189 -2.122799
820 0.1252560816 0.349805 2.031360 -2.824751 -3.165232 -2.031109
921 0.0749944855 0.399363 2.109154 -2.918235 -3.117212 -2.034038
984 0.0722542375 0.359467 2.140196 -2.979093 -3.089070 -2.015891
1023 0.0363950503 0.382729 2.105375 -2.934901 -3.136579 -2.027880
1074 0.0070637757 0.349948 2.086184 -2.949463 -3.149692 -2.019290
1288 0.0039540921 0.343464 2.076760 -2.944123 -3.156216 -2.033046
1388 0.0009377138 0.349948 2.083553 -2.950946 -3.150898 -2.029185
1642 0.0009093861 0.349260 2.078367 -2.952904 -3.145697 -2.029090
1679 0.0005763346 0.352368 2.083318 -2.951632 -3.154514 -2.029185
1728 0.0005169655 0.350604 2.081508 -2.949157 -3.148698 -2.028887
1746 0.0002977044 0.350366 2.078741 -2.948894 -3.152637 -2.029401
1828 0.0002645067 0.350804 2.079696 -2.950008 -3.153574 -2.027455
1879 0.0002254807 0.351296 2.081233 -2.951109 -3.152199 -2.028622
1923 0.0001722581 0.350949 2.080932 -2.948640 -3.151787 -2.028701
1974 0.0000792961 0.351966 2.081268 -2.949533 -3.152323 -2.028532
2018 0.0000580958 0.351212 2.080837 -2.949635 -3.151870 -2.028709
2294 0.0000459240 0.351200 2.080735 -2.949879 -3.151868 -2.028456
2311 0.0000409902 0.352071 2.081338 -2.950603 -3.150869 -2.028095
2339 0.0000377020 0.351398 2.081045 -2.949767 -3.151769 -2.028271
2386 0.0000245487 0.351216 2.080548 -2.950185 -3.150542 -2.028285
2426 0.0000217973 0.351216 2.080548 -2.950153 -3.150580 -2.028344
2478 0.0000183105 0.351435 2.080495 -2.950440 -3.150954 -2.028073
2523 0.0000173223 0.351454 2.080962 -2.950071 -3.151240 -2.028321
2566 0.0000171002 0.351263 2.080498 -2.950153 -3.150546 -2.028435
2572 0.0000103043 0.351584 2.080686 -2.950230 -3.150780 -2.028134
2633 0.0000072188 0.351399 2.080698 -2.950152 -3.150876 -2.028227
2650 0.0000070793 0.351370 2.080581 -2.950197 -3.150882 -2.028159
2734 0.0000060664 0.351396 2.080592 -2.950309 -3.150882 -2.028159
2737 0.0000055968 0.351429 2.080736 -2.950344 -3.150891 -2.028130
2745 0.0000014575 0.351460 2.080670 -2.950243 -3.151040 -2.028294
2956 0.0000012285 0.351429 2.080691 -2.950349 -3.150876 -2.028212
2965 0.0000010943 0.351418 2.080644 -2.950197 -3.150986 -2.028276
3067 0.0000007629 0.351421 2.080653 -2.950239 -3.150957 -2.028261
3071 0.0000006820 0.351409 2.080690 -2.950277 -3.150928 -2.028271
3113 0.0000004551 0.351437 2.080699 -2.950251 -3.150966 -2.028292
3127 0.0000003437 0.351439 2.080679 -2.950271 -3.150898 -2.028255
3234 0.0000001424 0.351441 2.080699 -2.950288 -3.150943 -2.028255
3321 0.0000000920 0.351445 2.080715 -2.950267 -3.150975 -2.028267
3355 0.0000000871 0.351437 2.080703 -2.950274 -3.150933 -2.028260
3397 0.0000000674 0.351435 2.080699 -2.950268 -3.150959 -2.028261
3483 0.0000000569 0.351449 2.080712 -2.950276 -3.150952 -2.028254
3509 0.0000000526 0.351445 2.080702 -2.950282 -3.150940 -2.028258
3522 0.0000000518 0.351444 2.080699 -2.950280 -3.150943 -2.028257
3524 0.0000000352 0.351446 2.080704 -2.950279 -3.150940 -2.028260
3555 0.0000000183 0.351443 2.080700 -2.950268 -3.150940 -2.028266
3590 0.0000000155 0.351446 2.080708 -2.950273 -3.150945 -2.028261
3598 0.0000000098 0.351443 2.080705 -2.950271 -3.150949 -2.028260
3671 0.0000000089 0.351448 2.080708 -2.950269 -3.150954 -2.028261
3776 0.0000000014 0.351444 2.080703 -2.950271 -3.150947 -2.028262
3838 0.0000000006 0.351444 2.080704 -2.950268 -3.150951 -2.028262
3974 0.0000000004 0.351443 2.080702 -2.950267 -3.150951 -2.028263
4076 0.0000000003 0.351444 2.080703 -2.950267 -3.150951 -2.028264
4182 0.0000000001 0.351443 2.080703 -2.950267 -3.150951 -2.028263
4752 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
