evaluations raw_y x0 x1 x2 x3 x4
1 23.7494028158 1.473640 2.078699 1.739718 1.647439 1.482071
3 12.3893861323 4.657388 0.584075 4.514673 -0.179337 -1.362290
5 8.2686885510 2.146087 -2.048087 -3.903043 -1.730629 -3.214517
9 1.7086902743 4.350538 2.362315 -1.482988 -3.561523 -3.130172
12 1.1260864227 4.888747 1.408552 -3.636796 3.351614 -4.195817
60 0.8048733762 5.000000 5.000000 0.123596 -2.184452 -5.000000
103 0.6040877439 5.000000 5.000000 -2.216117 -1.122767 -5.000000
118 0.5526541311 5.000000 2.755993 -5.000000 -1.304692 -4.002209
127 0.1344336416 5.000000 5.000000 -2.861710 -0.536872 -4.408503
363 0.0703873189 4.459286 5.000000 -2.922539 -0.639114 -4.459513
442 0.0591827132 4.139631 5.000000 -2.639052 -0.599294 -4.485728
492 0.0559942942 4.601180 4.781467 -2.639052 -0.589182 -4.485728
575 0.0555499303 4.088752 3.680753 -3.502483 -0.600317 -4.505956
598 0.0427463527 4.376485 3.094483 -3.515245 -0.551707 -4.490990
662 0.0415931702 4.519458 2.753407 -3.800490 -0.687560 -4.474690
698 0.0249864001 4.794566 4.553339 -3.515245 -0.692816 -4.490990
815 0.0193583281 5.000000 5.000000 -3.533991 -0.700163 -4.487859
826 0.0152499353 4.383123 4.253748 -3.574453 -0.653978 -4.478743
948 0.0038700596 4.751951 4.468879 -3.487165 -0.674580 -4.481426
1270 0.0035380088 4.859535 4.647253 -3.504657 -0.675786 -4.482227
1341 0.0029710507 5.000000 4.429856 -3.519249 -0.676479 -4.481868
1347 0.0015857569 4.973032 4.531305 -3.509574 -0.674966 -4.482489
1466 0.0014638445 4.935027 4.486550 -3.517777 -0.671374 -4.482465
1516 0.0014193356 4.935027 4.486550 -3.516177 -0.671374 -4.482484
1549 0.0007039911 4.984370 4.488599 -3.509412 -0.674728 -4.482317
1625 0.0003178195 4.992559 4.499418 -3.507103 -0.675322 -4.482242
1742 0.0001242763 4.961149 4.500256 -3.506363 -0.675511 -4.482221
1905 0.0001129111 4.951433 4.496769 -3.507083 -0.675087 -4.482208
1930 0.0001059567 4.948207 4.493897 -3.508026 -0.675235 -4.482316
1986 0.0000993687 4.959264 4.493718 -3.506352 -0.675493 -4.482243
2015 0.0000802004 4.956081 4.494039 -3.507749 -0.675401 -4.482226
2057 0.0000721199 4.946033 4.496544 -3.507899 -0.675644 -4.482233
2065 0.0000563139 4.950587 4.493722 -3.507749 -0.675522 -4.482239
2101 0.0000535965 4.957031 4.496500 -3.507266 -0.675425 -4.482217
2111 0.0000449325 4.949922 4.496470 -3.507080 -0.675320 -4.482209
2116 0.0000256015 4.948376 4.496508 -3.507006 -0.675362 -4.482216
2228 0.0000227599 4.950150 4.494918 -3.507138 -0.675500 -4.482210
2233 0.0000173837 4.947853 4.495087 -3.507247 -0.675564 -4.482224
2256 0.0000090466 4.949256 4.495716 -3.507139 -0.675471 -4.482225
2379 0.0000089152 4.948728 4.495306 -3.507059 -0.675508 -4.482217
2421 0.0000065546 4.947815 4.495880 -3.506999 -0.675514 -4.482227
2453 0.0000058200 4.947660 4.495674 -3.506903 -0.675450 -4.482224
2471 0.0000046834 4.948139 4.495880 -3.506999 -0.675502 -4.482227
2511 0.0000046477 4.948043 4.496242 -3.506948 -0.675478 -4.482224
2526 0.0000040608 4.947401 4.495787 -3.506907 -0.675484 -4.482219
2537 0.0000026863 4.948104 4.495609 -3.506977 -0.675488 -4.482225
2576 0.0000025540 4.947604 4.495787 -3.506907 -0.675484 -4.482221
2608 0.0000020388 4.948169 4.495728 -3.506884 -0.675488 -4.482222
2663 0.0000020216 4.948291 4.495741 -3.506995 -0.675490 -4.482218
2671 0.0000012822 4.948139 4.495714 -3.506999 -0.675498 -4.482223
2705 0.0000010267 4.948255 4.495782 -3.506939 -0.675488 -4.482223
2767 0.0000008357 4.948303 4.495751 -3.506946 -0.675485 -4.482221
2803 0.0000007834 4.948168 4.495836 -3.506913 -0.675477 -4.482221
2824 0.0000005748 4.948054 4.495713 -3.506956 -0.675481 -4.482222
2837 0.0000004861 4.948104 4.495730 -3.506977 -0.675481 -4.482223
2857 0.0000003950 4.948045 4.495709 -3.506963 -0.675479 -4.482222
2874 0.0000003689 4.948054 4.495779 -3.506956 -0.675481 -4.482221
2916 0.0000002538 4.948156 4.495735 -3.506962 -0.675482 -4.482222
2924 0.0000002317 4.948082 4.495763 -3.506956 -0.675481 -4.482221
2965 0.0000002162 4.948157 4.495766 -3.506967 -0.675481 -4.482222
