evaluations raw_y x0 x1 x2 x3 x4
1 13.2393391792 -0.962744 3.502179 2.149298 1.804644 1.034622
3 5.7784704465 1.175050 0.096635 1.184040 -2.866219 -4.463957
6 5.0602323803 -2.569888 1.974164 -0.593916 -4.198650 -3.398374
16 4.6678228882 -3.744458 -1.593105 -0.962983 -2.624278 -1.476477
58 3.3198938095 -0.997112 0.361705 -5.000000 -4.895621 0.628397
91 3.1368719361 -0.178023 0.516913 -3.399456 1.763623 -4.210557
107 2.9282617621 0.983101 3.107223 -2.412810 -1.449177 -2.813098
123 2.8295334078 5.000000 5.000000 -3.291384 -5.000000 -2.008852
128 2.6210422518 2.282291 2.509939 -3.599198 -2.498077 -2.927897
136 2.5259142992 1.415477 4.443944 -5.000000 -1.164102 -0.928592
207 2.3572565165 2.729717 3.107223 -3.921351 -2.505765 -2.813098
261 2.1598903141 1.961387 3.708282 -2.202799 -1.691173 -5.000000
354 1.3238831499 0.231079 3.340448 -2.870666 -2.779617 -1.505049
538 0.7862352942 0.104812 1.771950 -3.037473 -2.879068 -1.762033
965 0.3872156805 0.491166 2.057073 -3.124168 -3.014800 -2.064542
1184 0.3517853787 0.401995 1.997706 -3.463486 -2.228930 -1.954012
1296 0.2993676494 0.435983 2.071240 -3.028834 -2.826193 -2.031128
1351 0.1488578114 0.324102 2.042117 -2.983290 -3.095307 -1.954702
1433 0.1466745142 0.308841 2.148741 -2.853135 -3.268860 -1.999703
1451 0.0903116871 0.384391 2.111527 -2.990576 -3.123356 -1.954702
1717 0.0733316195 0.348753 2.124713 -2.940259 -3.221992 -1.990690
1719 0.0424617906 0.318486 2.069357 -2.946276 -3.171441 -1.995166
1796 0.0329192851 0.382063 2.082177 -2.945401 -3.162948 -2.044070
1833 0.0322314005 0.370083 2.102632 -2.985365 -3.139354 -1.987777
1865 0.0257047463 0.384648 2.121664 -2.953653 -3.141196 -2.023509
1910 0.0183231356 0.360276 2.059497 -2.954486 -3.145424 -2.024654
2064 0.0114451230 0.357551 2.069038 -2.955568 -3.136325 -2.032403
2067 0.0059935771 0.345707 2.079891 -2.940640 -3.162650 -2.023482
2127 0.0041942273 0.343445 2.077687 -2.955624 -3.151078 -2.024365
2158 0.0039478459 0.358447 2.077877 -2.947226 -3.147043 -2.024555
2174 0.0023554099 0.355238 2.088018 -2.955519 -3.155941 -2.025864
2250 0.0011180098 0.354504 2.081594 -2.951572 -3.147786 -2.025509
2398 0.0010676511 0.350053 2.080970 -2.948318 -3.151112 -2.026246
2420 0.0007669202 0.352975 2.079812 -2.949252 -3.150422 -2.026234
2444 0.0004035451 0.352739 2.079641 -2.951270 -3.148400 -2.027084
2482 0.0003527088 0.352357 2.080528 -2.949531 -3.151086 -2.026911
2510 0.0003417770 0.352879 2.080090 -2.950286 -3.150100 -2.028910
2553 0.0001800116 0.352392 2.081199 -2.950462 -3.151015 -2.027309
2646 0.0001493606 0.351006 2.080872 -2.951508 -3.148834 -2.027305
2650 0.0001364420 0.351946 2.080504 -2.950306 -3.152002 -2.028101
2651 0.0000566597 0.351164 2.080560 -2.950183 -3.152219 -2.027608
2753 0.0000427020 0.351648 2.081272 -2.950791 -3.151177 -2.028000
2837 0.0000380180 0.351731 2.081122 -2.950905 -3.150758 -2.028058
2869 0.0000368037 0.351361 2.080937 -2.950327 -3.151554 -2.028171
2917 0.0000146004 0.351217 2.080637 -2.950108 -3.151143 -2.028123
2951 0.0000079017 0.351321 2.080788 -2.950183 -3.150946 -2.028288
3001 0.0000075498 0.351455 2.080612 -2.950405 -3.150946 -2.028288
3028 0.0000052047 0.351437 2.080610 -2.950359 -3.150740 -2.028197
3101 0.0000037666 0.351432 2.080612 -2.950340 -3.150946 -2.028285
3125 0.0000025756 0.351462 2.080748 -2.950405 -3.150861 -2.028208
3217 0.0000015113 0.351443 2.080704 -2.950364 -3.150894 -2.028238
3225 0.0000014941 0.351467 2.080670 -2.950235 -3.151000 -2.028297
3227 0.0000011302 0.351401 2.080675 -2.950280 -3.150897 -2.028268
3241 0.0000010277 0.351414 2.080667 -2.950203 -3.150946 -2.028258
3336 0.0000004772 0.351446 2.080725 -2.950295 -3.150975 -2.028241
3392 0.0000002742 0.351443 2.080693 -2.950277 -3.150914 -2.028244
3481 0.0000002731 0.351442 2.080707 -2.950282 -3.150931 -2.028245
3514 0.0000002310 0.351441 2.080718 -2.950268 -3.150939 -2.028266
3515 0.0000001028 0.351447 2.080698 -2.950280 -3.150920 -2.028268
3596 0.0000000718 0.351451 2.080708 -2.950263 -3.150946 -2.028274
3648 0.0000000660 0.351440 2.080712 -2.950274 -3.150949 -2.028260
3655 0.0000000589 0.351453 2.080704 -2.950262 -3.150944 -2.028260
3686 0.0000000525 0.351445 2.080707 -2.950272 -3.150934 -2.028265
3701 0.0000000330 0.351440 2.080700 -2.950266 -3.150943 -2.028268
3741 0.0000000308 0.351442 2.080701 -2.950280 -3.150936 -2.028256
3745 0.0000000268 0.351450 2.080709 -2.950263 -3.150960 -2.028265
3771 0.0000000149 0.351443 2.080699 -2.950276 -3.150940 -2.028260
3772 0.0000000089 0.351444 2.080699 -2.950267 -3.150944 -2.028263
3866 0.0000000067 0.351442 2.080703 -2.950273 -3.150945 -2.028262
3911 0.0000000025 0.351442 2.080704 -2.950270 -3.150949 -2.028263
3985 0.0000000006 0.351444 2.080703 -2.950269 -3.150949 -2.028262
3995 0.0000000004 0.351444 2.080703 -2.950268 -3.150951 -2.028264
4065 0.0000000002 0.351443 2.080704 -2.950267 -3.150951 -2.028263
4226 0.0000000001 0.351444 2.080703 -2.950268 -3.150951 -2.028263
4709 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
