evaluations raw_y x0 x1 x2 x3 x4
1 3.6481781776 -4.743185 0.845852 -1.018563 -3.393407 0.699786
2 3.6156111030 2.560604 3.128875 1.883901 -0.192354 -0.845017
5 1.6038030629 -1.605053 -1.945450 2.105169 0.215319 3.769475
24 0.9045572966 2.212100 -0.146413 0.204320 -4.188091 2.702687
47 0.7493741121 4.098256 -0.009850 -0.514526 -3.271999 3.625247
58 0.7359366432 0.557647 -1.210257 0.464294 -2.055055 3.236078
69 0.6310672538 1.203014 -0.904527 2.105169 -1.627021 3.644923
75 0.2922661974 3.526520 -1.462588 0.417137 -2.550489 5.000000
81 0.1483673832 5.000000 -1.089323 3.142675 -5.000000 4.197334
84 0.1187707667 3.915577 -0.363202 2.288530 -2.962894 3.339692
131 0.1109512309 3.915577 -0.363202 2.568876 -2.962894 3.339692
187 0.0881488581 2.047249 -0.606021 2.498132 -3.489233 4.063772
222 0.0867361239 2.743152 -0.962981 1.910667 -2.843263 4.381019
234 0.0774915069 2.208652 -0.337507 2.662941 -3.225254 5.000000
274 0.0693678748 2.071316 -1.117588 2.542968 -3.244082 4.571885
301 0.0590039950 2.781925 -0.688998 2.430160 -3.007643 4.510063
311 0.0454064838 2.442884 -1.979139 2.806857 -3.764888 4.614998
342 0.0331902116 2.632926 -1.258366 2.431415 -2.953371 4.796686
361 0.0315331111 2.683541 -1.090441 2.529966 -3.096569 4.854316
465 0.0304547829 2.591050 -1.518292 2.522313 -3.105424 4.710738
477 0.0209001059 2.540901 -0.835709 2.850970 -3.067010 4.821519
554 0.0189466052 2.453848 -1.150988 2.884991 -3.313549 4.821519
572 0.0146072987 2.419184 -0.917624 2.997203 -3.244474 4.784099
680 0.0133494293 2.354871 -0.562530 3.106123 -3.143064 4.777482
704 0.0115761723 2.335297 -0.570668 3.110021 -3.117978 4.828073
731 0.0113073909 2.362129 -0.596283 3.088853 -3.172996 4.829858
738 0.0095628773 2.336631 -0.534670 3.177561 -3.193301 4.774550
748 0.0059200082 2.335611 -0.543996 3.191187 -3.325937 4.818824
888 0.0053268897 2.432209 -0.586998 3.185332 -3.265391 4.791887
890 0.0040248628 2.427757 -0.545036 3.243794 -3.291021 4.804211
906 0.0031836591 2.381792 -0.619468 3.222275 -3.338365 4.801440
911 0.0030659335 2.375477 -0.576552 3.245799 -3.335722 4.778307
912 0.0021292930 2.368604 -0.543996 3.248882 -3.262930 4.791951
964 0.0015035700 2.376826 -0.578268 3.235637 -3.307017 4.797207
990 0.0012248463 2.353218 -0.574408 3.246736 -3.271683 4.795556
991 0.0004626721 2.342225 -0.558721 3.262738 -3.307856 4.802735
1009 0.0004272631 2.342225 -0.559525 3.263029 -3.308473 4.802735
1190 0.0003563855 2.347734 -0.562391 3.261226 -3.302084 4.798820
1191 0.0002766919 2.348640 -0.567665 3.267758 -3.311035 4.793645
1236 0.0002515194 2.346065 -0.559945 3.266801 -3.308563 4.803498
1256 0.0001206938 2.343814 -0.568552 3.267639 -3.311851 4.799938
1289 0.0000783915 2.347610 -0.563732 3.265861 -3.313717 4.801100
1334 0.0000577555 2.347944 -0.565372 3.265400 -3.311030 4.801021
1393 0.0000475229 2.347964 -0.564670 3.266119 -3.312697 4.798965
1402 0.0000196123 2.348309 -0.564969 3.265271 -3.311941 4.799877
1550 0.0000065934 2.348334 -0.565816 3.265542 -3.311963 4.799662
1586 0.0000060466 2.348391 -0.565715 3.265505 -3.311963 4.799730
1630 0.0000050062 2.348309 -0.565508 3.265735 -3.312334 4.799884
1707 0.0000046540 2.348408 -0.565659 3.265897 -3.312267 4.799480
1737 0.0000039057 2.348228 -0.565866 3.265762 -3.312165 4.799677
1743 0.0000011893 2.348309 -0.565567 3.265902 -3.312215 4.799613
1852 0.0000011682 2.348322 -0.565528 3.265856 -3.312157 4.799630
1926 0.0000005384 2.348346 -0.565581 3.265811 -3.312131 4.799678
1958 0.0000004074 2.348359 -0.565556 3.265849 -3.312175 4.799668
2036 0.0000001863 2.348329 -0.565593 3.265843 -3.312175 4.799664
2053 0.0000001797 2.348335 -0.565581 3.265857 -3.312164 4.799658
2142 0.0000001600 2.348336 -0.565567 3.265858 -3.312163 4.799659
2206 0.0000001545 2.348318 -0.565581 3.265860 -3.312160 4.799659
2224 0.0000001302 2.348337 -0.565562 3.265845 -3.312164 4.799662
2236 0.0000000704 2.348332 -0.565578 3.265849 -3.312161 4.799663
2265 0.0000000398 2.348327 -0.565573 3.265851 -3.312159 4.799663
2377 0.0000000355 2.348328 -0.565573 3.265849 -3.312159 4.799664
2434 0.0000000311 2.348330 -0.565573 3.265848 -3.312163 4.799665
2435 0.0000000276 2.348330 -0.565573 3.265848 -3.312162 4.799665
2529 0.0000000252 2.348330 -0.565569 3.265852 -3.312165 4.799664
2533 0.0000000116 2.348329 -0.565573 3.265852 -3.312164 4.799664
2578 0.0000000114 2.348327 -0.565573 3.265853 -3.312164 4.799664
2606 0.0000000089 2.348329 -0.565572 3.265851 -3.312164 4.799664
2671 0.0000000074 2.348329 -0.565573 3.265851 -3.312165 4.799664
2760 0.0000000033 2.348328 -0.565573 3.265852 -3.312165 4.799664
2824 0.0000000022 2.348328 -0.565573 3.265852 -3.312164 4.799664
2903 0.0000000020 2.348328 -0.565572 3.265852 -3.312164 4.799664
2942 0.0000000012 2.348328 -0.565573 3.265852 -3.312164 4.799664
3033 0.0000000008 2.348328 -0.565573 3.265852 -3.312164 4.799664
3061 0.0000000003 2.348328 -0.565573 3.265852 -3.312164 4.799664
3371 0.0000000002 2.348328 -0.565573 3.265852 -3.312164 4.799664
3501 0.0000000001 2.348328 -0.565573 3.265852 -3.312164 4.799664
10000 0.0000000000 2.348328 -0.565573 3.265852 -3.312164 4.799664
