evaluations raw_y x0 x1 x2 x3 x4
1 12.1789888154 -3.960932 -2.566632 -0.303057 -4.798304 3.546199
3 4.2226490160 0.321587 -4.537201 -4.059718 -2.169015 -3.306712
8 4.2133063637 -1.672685 1.930369 -0.109474 0.383230 -4.172503
15 3.8774267533 0.828510 -0.062041 -3.759293 -1.155889 -1.987823
51 2.6008641214 1.442437 1.499252 -3.342759 -2.048126 -1.740408
53 2.1522973818 1.545978 0.977476 -3.409324 -4.798304 -2.677279
54 1.9512247400 1.388492 0.243990 -4.816596 -3.548704 -1.976675
69 1.5127246076 1.957957 0.437563 -3.471046 -2.169015 -3.867139
295 1.4244777160 1.866433 0.642652 -2.713537 -3.224239 -4.436615
422 1.1718102228 1.761683 0.735073 -2.990925 -3.342068 -3.847308
560 1.0519254110 0.792638 0.906430 -3.535896 -3.065624 -2.350354
702 0.8276113584 0.254501 1.891434 -3.279925 -2.347039 -1.850643
757 0.8225425535 0.261893 1.824492 -3.305679 -2.308557 -1.817000
767 0.4523144493 0.329713 1.906994 -2.792237 -3.346951 -2.088403
827 0.2425581605 0.292935 2.011682 -2.725528 -3.441063 -2.100848
940 0.2150420716 0.265195 1.975233 -2.783509 -3.316669 -2.051501
974 0.2003881441 0.256981 2.030507 -2.856341 -3.097819 -2.020972
994 0.1437975496 0.330699 2.106975 -2.875291 -3.321259 -2.047018
1027 0.0852379240 0.380421 2.130183 -2.866121 -3.294936 -2.054074
1062 0.0547314849 0.360043 2.081209 -2.891228 -3.176754 -2.026767
1126 0.0437067818 0.367107 2.078715 -2.931119 -3.128783 -2.055263
1202 0.0309006386 0.344852 2.106170 -2.958540 -3.116070 -2.020902
1212 0.0266026990 0.387999 2.108422 -2.972906 -3.144558 -2.034581
1227 0.0210981251 0.361410 2.073106 -2.975623 -3.150378 -2.019963
1292 0.0131621221 0.353311 2.080436 -2.943725 -3.130950 -2.028919
1301 0.0058122941 0.352748 2.088390 -2.933121 -3.174565 -2.036899
1395 0.0049537389 0.350280 2.081423 -2.945959 -3.176052 -2.022195
1404 0.0041771680 0.349198 2.078758 -2.957003 -3.150418 -2.031153
1421 0.0028714371 0.349599 2.087389 -2.951156 -3.152500 -2.030227
1456 0.0027048072 0.354754 2.089130 -2.954473 -3.155598 -2.030476
1487 0.0016817452 0.348769 2.085106 -2.951156 -3.152500 -2.028165
1515 0.0016439052 0.350367 2.081602 -2.948995 -3.159940 -2.023772
1548 0.0005193599 0.350613 2.079913 -2.951499 -3.152434 -2.027916
1664 0.0003680315 0.352257 2.082211 -2.952033 -3.151624 -2.029007
1689 0.0002536284 0.350911 2.079550 -2.948079 -3.153204 -2.029482
1741 0.0000801976 0.351104 2.080778 -2.949048 -3.152049 -2.028702
1891 0.0000404145 0.352017 2.081020 -2.950226 -3.151265 -2.028138
1951 0.0000202485 0.351273 2.080447 -2.950038 -3.150667 -2.028451
1984 0.0000181696 0.351292 2.080318 -2.949988 -3.151043 -2.028415
2004 0.0000089161 0.351299 2.080638 -2.950200 -3.151101 -2.028320
2069 0.0000047163 0.351284 2.080546 -2.950148 -3.150879 -2.028269
2206 0.0000042141 0.351379 2.080530 -2.950240 -3.150976 -2.028268
2210 0.0000039945 0.351333 2.080670 -2.950255 -3.150982 -2.028320
2262 0.0000036450 0.351475 2.080776 -2.950192 -3.151158 -2.028313
2265 0.0000028000 0.351405 2.080646 -2.950449 -3.150683 -2.028183
2280 0.0000013845 0.351377 2.080628 -2.950240 -3.150901 -2.028280
2306 0.0000013328 0.351395 2.080676 -2.950225 -3.150928 -2.028299
2384 0.0000012775 0.351396 2.080634 -2.950289 -3.150897 -2.028248
2397 0.0000010118 0.351432 2.080707 -2.950312 -3.150857 -2.028253
2402 0.0000002593 0.351445 2.080681 -2.950263 -3.150938 -2.028266
2479 0.0000002428 0.351451 2.080719 -2.950268 -3.150949 -2.028275
2547 0.0000002230 0.351449 2.080707 -2.950272 -3.150918 -2.028279
2574 0.0000001377 0.351422 2.080695 -2.950266 -3.150951 -2.028267
2621 0.0000001119 0.351440 2.080703 -2.950251 -3.150953 -2.028270
2636 0.0000000996 0.351438 2.080701 -2.950278 -3.150953 -2.028268
2642 0.0000000930 0.351427 2.080687 -2.950268 -3.150938 -2.028260
2671 0.0000000733 0.351444 2.080694 -2.950267 -3.150946 -2.028271
2685 0.0000000555 0.351435 2.080691 -2.950270 -3.150938 -2.028260
2694 0.0000000474 0.351433 2.080699 -2.950265 -3.150952 -2.028265
2701 0.0000000462 0.351452 2.080707 -2.950266 -3.150952 -2.028260
2711 0.0000000251 0.351441 2.080698 -2.950271 -3.150942 -2.028258
2760 0.0000000190 0.351445 2.080700 -2.950272 -3.150947 -2.028261
2777 0.0000000066 0.351441 2.080700 -2.950264 -3.150955 -2.028263
2785 0.0000000039 0.351443 2.080704 -2.950267 -3.150952 -2.028261
2864 0.0000000036 0.351444 2.080704 -2.950273 -3.150947 -2.028261
2872 0.0000000021 0.351444 2.080703 -2.950268 -3.150948 -2.028261
2898 0.0000000011 0.351445 2.080704 -2.950269 -3.150948 -2.028262
2983 0.0000000010 0.351445 2.080703 -2.950268 -3.150950 -2.028262
2989 0.0000000008 0.351444 2.080704 -2.950270 -3.150948 -2.028263
2998 0.0000000004 0.351443 2.080702 -2.950270 -3.150949 -2.028262
3065 0.0000000002 0.351443 2.080703 -2.950268 -3.150951 -2.028263
3315 0.0000000001 0.351443 2.080703 -2.950267 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
