evaluations raw_y x0 x1 x2 x3 x4
1 6.0314387368 -0.196219 -0.074805 -4.875288 3.922250 -3.966299
2 5.2841592848 -0.563051 -4.407038 -2.499746 1.252585 2.949283
5 2.4503435376 -2.458035 1.786119 -1.716624 4.108291 -1.688313
62 1.8258196799 -2.359494 0.447918 -2.677801 3.332480 0.117353
82 0.8889228697 -5.000000 -0.284305 -2.033092 3.509841 -0.714459
131 0.8237168103 -4.714261 -1.289036 -1.355109 5.000000 -1.665909
138 0.6813883058 -4.568873 -0.688692 -1.699760 4.632847 -2.061624
141 0.5687669819 -3.865556 -3.977276 -1.974715 3.802269 -1.484490
156 0.5667489059 -3.749085 -2.268965 -2.773405 4.641146 -1.518759
176 0.2790891074 -3.929402 -2.268965 -2.773405 4.580117 -1.448962
321 0.2203727138 -3.960788 -3.390838 -1.767738 3.979817 -1.260885
351 0.2146300116 -4.351593 -2.554184 -2.441365 4.832088 -1.716994
355 0.1118707263 -4.886026 -3.359590 -2.325258 3.863109 -1.431761
1019 0.1086451057 -3.957014 -3.320020 -1.680521 3.969061 -1.490914
1319 0.1076079560 -3.930999 -3.320020 -1.680521 3.969061 -1.433814
1368 0.0729449801 -3.973028 -3.309150 -1.611607 3.710135 -1.416740
1649 0.0687823190 -3.952120 -3.307470 -1.610410 3.704423 -1.416740
1748 0.0620923619 -3.996295 -3.402166 -1.671971 3.829601 -1.384164
1804 0.0581261492 -3.969288 -3.348282 -1.648886 3.688593 -1.336749
2068 0.0486329551 -3.977475 -3.405594 -1.649697 3.817879 -1.381202
2089 0.0483945650 -3.966078 -3.430663 -1.627543 3.817619 -1.402771
2193 0.0233222950 -3.957928 -3.375345 -1.628626 3.770786 -1.413746
2244 0.0223253547 -3.944528 -3.382770 -1.656507 3.736358 -1.369121
2304 0.0218421749 -3.944528 -3.363484 -1.638274 3.757220 -1.369121
2310 0.0190302810 -3.958201 -3.351458 -1.671452 3.762437 -1.409719
2328 0.0189895118 -3.964230 -3.379436 -1.646399 3.746739 -1.383625
2331 0.0171515665 -3.944638 -3.363909 -1.641856 3.765619 -1.402175
2339 0.0169995870 -3.952372 -3.399102 -1.666447 3.760878 -1.396040
2351 0.0155586541 -3.949073 -3.363909 -1.641934 3.768646 -1.403801
2359 0.0100902617 -3.939571 -3.370096 -1.661270 3.760878 -1.396040
2387 0.0099457352 -3.924412 -3.349527 -1.665170 3.763870 -1.401247
2417 0.0079996582 -3.914610 -3.381439 -1.660356 3.757343 -1.420863
2436 0.0033353811 -3.929751 -3.377929 -1.654404 3.755017 -1.400534
2519 0.0030205132 -3.917563 -3.361587 -1.658646 3.749865 -1.404328
