evaluations raw_y x0 x1 x2 x3 x4
1 4.5586156445 1.123083 -0.996295 -3.350868 -3.318827 -1.333437
4 3.9182384066 -1.919186 0.343977 1.870632 0.135166 -1.005352
5 3.3186954892 0.931218 0.773562 4.562782 -3.337622 -0.075056
6 3.2335882178 -1.011229 -1.639976 -2.516638 -4.011001 -4.967241
12 1.4100641797 0.540679 -4.303725 3.066740 -3.567778 -1.827643
26 1.0976878854 0.432211 -1.639976 4.174984 -1.305996 -1.832578
94 0.7335961906 0.615232 -2.009687 4.125650 -3.624467 -3.740540
96 0.3868166230 0.442414 -1.524926 2.251485 -2.587664 -3.070442
143 0.2481154387 0.396133 -1.978008 2.811874 -3.691863 -2.985920
202 0.2099917331 0.346760 -1.491002 2.641993 -3.289778 -3.265938
222 0.1388946231 0.346760 -1.373792 2.641993 -3.289778 -3.066210
249 0.1239372606 -0.090798 -1.937024 2.816963 -3.437849 -2.469410
260 0.0680236362 0.147815 -1.640399 2.932190 -3.749425 -2.682289
398 0.0665701651 -0.152324 -1.647224 2.956979 -3.798918 -2.611596
408 0.0607369200 0.024178 -1.677967 2.695374 -3.933345 -2.870686
418 0.0531626472 -0.009663 -1.543099 2.829637 -3.959377 -2.642143
464 0.0525700267 -0.093294 -1.536786 2.771226 -3.906918 -2.550554
478 0.0392609842 -0.073781 -1.543099 2.815040 -3.959377 -2.568698
553 0.0285642260 -0.145490 -1.599073 2.601307 -3.988199 -2.594639
581 0.0267640981 -0.163586 -1.583555 2.545124 -3.970383 -2.646422
610 0.0224863419 -0.159704 -1.615629 2.588966 -3.931929 -2.521689
619 0.0215793600 -0.158775 -1.568288 2.576889 -4.007202 -2.567969
661 0.0184694624 -0.163586 -1.583555 2.545124 -4.042599 -2.619710
690 0.0144903629 -0.194857 -1.632237 2.543594 -4.184228 -2.531233
719 0.0103200794 -0.221173 -1.615351 2.485197 -4.204739 -2.531455
760 0.0102191529 -0.245457 -1.631704 2.408218 -4.186014 -2.473348
790 0.0091953818 -0.256804 -1.604992 2.413476 -4.086872 -2.476752
809 0.0000063320 -0.300300 -1.620091 2.468486 -4.135254 -2.473209
880 0.0000039262 -0.287033 -1.600406 2.456895 -4.122306 -2.501394
902 0.0000036698 -0.289826 -1.607905 2.483090 -4.079849 -2.468427
920 0.0000024691 -0.291006 -1.600406 2.463233 -4.117676 -2.501394
925 0.0000012079 -0.296842 -1.597660 2.475568 -4.111665 -2.491435
1088 0.0000010693 -0.293387 -1.598054 2.474242 -4.108661 -2.494954
1115 0.0000009975 -0.294403 -1.605211 2.478531 -4.113870 -2.501667
1121 0.0000009402 -0.301644 -1.605760 2.476644 -4.098916 -2.491290
1141 0.0000008654 -0.292788 -1.605791 2.480509 -4.105579 -2.496189
1160 0.0000005322 -0.299879 -1.602370 2.472236 -4.110930 -2.498700
1166 0.0000004300 -0.299878 -1.607718 2.476119 -4.109419 -2.502446
1172 0.0000003174 -0.298453 -1.606976 2.477775 -4.109300 -2.494638
1192 0.0000002481 -0.301006 -1.609986 2.474072 -4.109300 -2.494638
1239 0.0000002027 -0.300522 -1.606579 2.475356 -4.107849 -2.496423
1263 0.0000001024 -0.301200 -1.610297 2.476469 -4.106800 -2.492788
1343 0.0000000768 -0.300919 -1.610297 2.476457 -4.107290 -2.493292
1388 0.0000000618 -0.300162 -1.611157 2.476258 -4.106412 -2.491887
1460 0.0000000542 -0.300199 -1.611328 2.475584 -4.107240 -2.493906
1477 0.0000000491 -0.300232 -1.610839 2.476113 -4.106987 -2.494761
1487 0.0000000333 -0.300051 -1.610953 2.476268 -4.106374 -2.493217
1532 0.0000000229 -0.299866 -1.610454 2.476105 -4.106975 -2.494122
1571 0.0000000159 -0.300026 -1.610862 2.476130 -4.107133 -2.493688
1607 0.0000000150 -0.299945 -1.611041 2.476405 -4.106796 -2.493493
1635 0.0000000133 -0.300041 -1.610952 2.476286 -4.107059 -2.493829
1677 0.0000000131 -0.300000 -1.610786 2.476355 -4.107013 -2.493455
1682 0.0000000120 -0.299717 -1.610739 2.476198 -4.107027 -2.493577
1687 0.0000000109 -0.299945 -1.610751 2.476405 -4.106978 -2.493470
1727 0.0000000075 -0.299926 -1.610709 2.476405 -4.106952 -2.493576
1753 0.0000000063 -0.299945 -1.610772 2.476322 -4.107050 -2.493809
1757 0.0000000042 -0.299847 -1.610776 2.476355 -4.107013 -2.493754
1789 0.0000000041 -0.299864 -1.610714 2.476323 -4.107016 -2.493793
1792 0.0000000032 -0.299858 -1.610783 2.476326 -4.106920 -2.493681
1833 0.0000000029 -0.299907 -1.610792 2.476318 -4.106971 -2.493636
1869 0.0000000013 -0.299864 -1.610754 2.476323 -4.106994 -2.493678
1940 0.0000000011 -0.299855 -1.610762 2.476334 -4.106957 -2.493677
2009 0.0000000007 -0.299868 -1.610761 2.476333 -4.106971 -2.493682
2062 0.0000000006 -0.299863 -1.610750 2.476330 -4.106971 -2.493682
2096 0.0000000004 -0.299863 -1.610749 2.476330 -4.106974 -2.493669
2208 0.0000000002 -0.299863 -1.610753 2.476330 -4.106973 -2.493671
2245 0.0000000001 -0.299860 -1.610755 2.476328 -4.106969 -2.493664
2533 0.0000000000 -0.299861 -1.610756 2.476328 -4.106969 -2.493667
10000 0.0000000000 -0.299861 -1.610756 2.476328 -4.106969 -2.493667
