evaluations raw_y x0 x1 x2 x3 x4
1 16.1008993161 -1.428693 0.916961 -3.272696 2.148241 3.579256
2 15.8571891960 -2.706193 4.416742 0.811464 4.425168 -0.902735
3 4.7149318945 -1.191639 -0.334896 -3.693178 -2.246470 -4.694418
23 3.4433861162 0.630565 -0.334896 -1.819846 -0.793128 -3.987558
58 3.4247863856 -1.685837 1.068311 -1.615529 -1.344780 -3.340236
60 3.4204694210 0.684352 -0.092531 -3.391212 0.592470 -5.000000
80 3.1169862970 0.684352 -0.142870 -3.592858 0.592470 -4.813182
96 2.9534658810 0.446232 -0.870867 -2.565387 -3.743246 -5.000000
135 1.7342215820 0.788564 -2.084965 -5.000000 -1.971599 -2.943536
144 1.5076052964 1.217780 0.449257 -3.202169 -1.748523 -3.855404
164 1.3862376995 1.217780 1.123545 -3.021855 -1.748523 -3.855404
258 1.1601973524 1.440884 1.091576 -3.688026 -1.453571 -3.381383
298 1.0625803232 1.412271 1.091576 -3.805767 -1.453571 -3.327245
358 1.0339158505 1.383555 1.224278 -3.773393 -1.453571 -3.306882
410 1.0324189291 0.331023 1.271943 -2.411071 -3.100614 -2.752177
448 0.7892947144 0.461464 1.857457 -2.919926 -1.620794 -2.725283
508 0.7738355379 0.461464 1.881634 -2.773580 -2.654331 -1.978720
511 0.5998684096 0.274391 1.877576 -2.865243 -2.482922 -2.255358
557 0.5904102817 0.418529 1.954444 -2.991616 -1.701395 -2.678015
611 0.4691420819 0.303833 1.898113 -2.895594 -2.482922 -2.310521
685 0.3833428944 0.535405 2.153688 -2.939707 -3.223070 -1.987035
804 0.3514006193 0.514641 2.089269 -2.978853 -2.757491 -2.335472
806 0.3452653751 0.277330 1.891685 -3.030985 -2.918393 -1.992284
846 0.1789973054 0.376150 2.121230 -2.921425 -3.158001 -2.124947
986 0.0458063659 0.350659 2.104679 -2.921425 -3.233728 -2.043484
1103 0.0255521810 0.392348 2.107323 -2.957704 -3.167028 -2.035266
1203 0.0224303304 0.386989 2.107323 -2.961683 -3.144878 -2.036646
1208 0.0202803490 0.345393 2.092745 -2.924135 -3.166644 -2.043154
1228 0.0201460099 0.352767 2.097719 -2.935062 -3.166644 -2.043154
1270 0.0174497608 0.348578 2.059454 -2.973148 -3.107456 -2.029947
1286 0.0118861613 0.341188 2.071693 -2.960388 -3.140012 -2.036971
1315 0.0063841297 0.341798 2.067496 -2.935234 -3.162924 -2.032130
1335 0.0059281554 0.346504 2.068218 -2.944476 -3.164072 -2.029544
1424 0.0042558825 0.354763 2.074221 -2.952703 -3.150022 -2.024880
1468 0.0038201119 0.351440 2.084900 -2.944357 -3.165367 -2.033522
1484 0.0015968116 0.347317 2.082687 -2.952949 -3.150022 -2.021020
1639 0.0007566842 0.348729 2.078572 -2.953917 -3.146489 -2.027574
1689 0.0004151058 0.351063 2.079273 -2.948871 -3.153320 -2.028259
1779 0.0003503853 0.350695 2.080664 -2.948249 -3.150584 -2.028607
1783 0.0003035018 0.352206 2.081291 -2.949160 -3.153027 -2.027362
1803 0.0001972974 0.352096 2.080456 -2.948724 -3.150827 -2.027817
1859 0.0001458122 0.351905 2.080324 -2.949972 -3.150584 -2.027487
1901 0.0001156395 0.351650 2.082111 -2.951199 -3.150857 -2.028010
1926 0.0001086069 0.351389 2.081328 -2.950535 -3.150317 -2.027659
1946 0.0000933731 0.351472 2.081337 -2.950538 -3.150448 -2.027713
1967 0.0000579918 0.350810 2.079869 -2.949968 -3.151068 -2.028095
1981 0.0000554876 0.351692 2.081179 -2.951199 -3.150400 -2.027935
2028 0.0000376216 0.351167 2.080846 -2.950298 -3.150411 -2.028099
2043 0.0000156908 0.351629 2.080629 -2.950240 -3.150977 -2.028139
2074 0.0000104226 0.351349 2.080698 -2.950137 -3.151220 -2.028452
2125 0.0000085929 0.351223 2.080671 -2.950155 -3.151009 -2.028283
2144 0.0000035658 0.351468 2.080730 -2.950206 -3.150999 -2.028221
2185 0.0000013735 0.351459 2.080753 -2.950248 -3.151007 -2.028297
2225 0.0000009980 0.351459 2.080740 -2.950257 -3.150996 -2.028291
2351 0.0000009461 0.351491 2.080766 -2.950254 -3.150991 -2.028253
2365 0.0000002982 0.351459 2.080716 -2.950275 -3.150959 -2.028246
2414 0.0000002731 0.351442 2.080701 -2.950298 -3.150936 -2.028255
2415 0.0000002697 0.351460 2.080693 -2.950276 -3.150937 -2.028255
2434 0.0000002503 0.351445 2.080703 -2.950298 -3.150937 -2.028255
2444 0.0000001855 0.351443 2.080713 -2.950280 -3.150952 -2.028248
2466 0.0000001687 0.351440 2.080705 -2.950283 -3.150948 -2.028245
2526 0.0000001524 0.351441 2.080705 -2.950282 -3.150948 -2.028247
2530 0.0000001354 0.351454 2.080712 -2.950285 -3.150940 -2.028250
2534 0.0000001280 0.351436 2.080703 -2.950281 -3.150937 -2.028247
2573 0.0000000888 0.351438 2.080697 -2.950278 -3.150924 -2.028264
2575 0.0000000854 0.351447 2.080700 -2.950270 -3.150944 -2.028252
2588 0.0000000205 0.351444 2.080698 -2.950268 -3.150949 -2.028262
2641 0.0000000124 0.351446 2.080702 -2.950269 -3.150953 -2.028265
2694 0.0000000107 0.351440 2.080699 -2.950260 -3.150956 -2.028265
2721 0.0000000105 0.351444 2.080702 -2.950269 -3.150953 -2.028265
2753 0.0000000066 0.351446 2.080703 -2.950269 -3.150949 -2.028261
2767 0.0000000055 0.351442 2.080703 -2.950269 -3.150950 -2.028266
2770 0.0000000031 0.351444 2.080702 -2.950263 -3.150953 -2.028264
