evaluations raw_y x0 x1 x2 x3 x4
1 18.5847894230 4.132271 1.148668 -4.661658 -2.553975 -2.289346
2 5.4863169965 -4.423956 4.923331 -4.847917 -1.423300 1.306711
5 4.6647757458 -3.365547 2.799247 1.766906 -3.358170 -4.324548
11 0.8228883126 -4.788450 -0.482649 -1.267513 -1.174794 0.798366
67 0.6567332023 -5.000000 -0.955186 -2.268344 -1.803289 -0.844360
95 0.6365278153 -4.997209 0.678377 -3.051483 -1.329327 0.444261
100 0.4266132841 -4.434666 0.973871 -3.829206 -2.374288 -4.330095
141 0.4107113835 -3.586038 -0.289022 -3.178706 -2.088793 -3.262135
165 0.3335562684 -4.979272 -0.117524 -2.862131 -2.733539 -2.218089
166 0.3254923717 -4.611189 -0.289022 -2.805880 -2.088793 -3.262135
178 0.2255943323 -4.501108 0.970197 -2.015854 -2.015398 -1.777618
201 0.0642577022 -3.432018 1.387576 -2.081020 -1.510007 -1.257540
344 0.0608775178 -3.423052 1.359021 -2.115031 -1.586896 -2.170904
408 0.0539081367 -3.369887 1.191854 -1.998353 -2.020699 -1.928719
426 0.0334227897 -3.432018 1.387576 -2.081020 -1.989867 -2.448751
501 0.0331729391 -3.432018 1.387576 -1.967993 -1.584675 -1.543402
606 0.0300081645 -3.419885 1.501432 -1.962019 -1.598652 -1.469783
642 0.0181311127 -3.386369 1.349271 -2.000848 -1.827759 -2.066673
652 0.0133803983 -3.431385 1.376956 -2.029826 -1.781776 -2.030690
784 0.0133290412 -3.423258 1.381801 -2.031468 -1.801804 -2.068995
809 0.0115823137 -3.423258 1.381801 -2.029526 -1.801804 -2.039150
852 0.0112199185 -3.368729 1.445644 -2.088776 -1.838948 -2.204312
926 0.0112082183 -3.432018 1.466534 -2.099452 -1.863660 -2.009122
927 0.0089879737 -3.368729 1.445644 -2.041035 -1.838948 -2.127410
1027 0.0089353971 -3.327745 1.445644 -2.172694 -1.890213 -2.127410
1028 0.0084781963 -3.412578 1.421268 -2.182660 -1.886162 -2.112164
1042 0.0076881926 -3.452748 1.403570 -2.109095 -1.827759 -2.066673
1054 0.0060318687 -3.397854 1.475605 -2.096956 -1.829721 -2.071776
