evaluations raw_y x0 x1 x2 x3 x4
1 10.9094112935 1.857962 -2.766059 -4.065127 -0.118267 0.825333
6 7.4975696651 2.841337 -2.857368 -1.506898 -2.044879 -4.785291
8 5.3046938142 -3.859683 -0.293644 -0.088407 -3.057745 -1.004065
13 5.1737872717 1.598759 -2.934286 -3.971324 -4.167680 -1.820150
16 5.0497228925 -4.015757 1.127723 -0.816588 -0.154591 -0.127249
41 4.9025846007 -1.354869 -1.714773 -2.512869 0.031003 -4.376161
64 4.3959532248 3.166328 -2.474929 -5.000000 -5.000000 -2.217410
77 2.7553328387 3.779909 2.498488 -4.755039 -4.284143 -1.860530
93 1.9637453103 2.499878 2.725249 -4.250537 -3.240175 -1.775258
255 1.8246630132 -0.863832 2.539533 -3.941340 -2.783692 -0.008864
326 1.5612479617 -0.183779 5.000000 -1.752439 -2.792384 -1.349128
491 1.4577660216 -0.592764 5.000000 -1.620152 -2.686128 -1.269999
532 1.1376346737 -0.663298 2.189553 -4.191412 -2.699297 0.022433
730 1.1041426444 -0.716554 2.241203 -4.150982 -2.724337 0.081700
1123 1.0232011806 0.206951 1.460123 -4.097637 -2.407452 -1.313806
1135 0.7925145205 -0.670325 2.349212 -4.150982 -2.658685 0.078995
1262 0.6941678641 -0.709446 2.451772 -4.071059 -2.699297 0.094966
1287 0.6569343635 -0.715584 2.451772 -4.094233 -2.699297 0.134171
1557 0.6363187165 -0.883434 2.643331 -3.907168 -2.677117 0.201680
3261 0.4204327175 0.184885 1.952677 -2.854758 -3.089595 -1.963286
3359 0.3599305945 0.193285 1.970368 -2.834422 -3.036955 -2.003074
3532 0.2682198059 0.247238 1.904797 -2.846889 -3.003736 -2.158332
3641 0.2610687315 0.346157 2.020248 -2.849844 -2.992505 -2.166548
3691 0.2536383827 0.346157 2.062261 -2.849844 -2.992505 -2.166548
3789 0.1842713771 0.303494 1.977192 -3.121518 -2.716798 -2.049795
3924 0.1106703500 0.314591 1.984768 -2.927801 -3.233249 -2.023254
4329 0.0836355132 0.314591 1.984768 -2.990310 -3.117689 -2.016565
4474 0.0785873682 0.329350 1.997947 -2.919320 -3.093253 -2.021611
4502 0.0607831686 0.335700 2.036763 -3.000476 -3.120231 -2.019795
4595 0.0435468040 0.329795 2.066266 -2.996042 -3.097761 -2.029956
4601 0.0423342484 0.329944 2.069259 -2.923531 -3.247246 -2.001277
4675 0.0361864398 0.332143 2.059380 -2.911139 -3.172795 -2.016674
4677 0.0301531015 0.335700 2.036763 -2.951735 -3.151927 -2.025495
4784 0.0285773084 0.382798 2.094895 -2.995411 -3.130291 -2.016438
4927 0.0258767975 0.387949 2.078541 -2.954629 -3.151927 -2.025495
4989 0.0125261100 0.352370 2.066325 -2.926902 -3.148742 -2.019872
5070 0.0107139451 0.351600 2.082335 -2.931471 -3.198827 -2.029956
5302 0.0084686357 0.351756 2.082945 -2.933079 -3.170813 -2.027106
5470 0.0037601583 0.351600 2.082335 -2.936186 -3.171430 -2.034019
5520 0.0035113128 0.351739 2.082013 -2.936620 -3.171430 -2.034019
5792 0.0028149563 0.354714 2.086676 -2.952667 -3.142567 -2.029720
5842 0.0023192311 0.353689 2.086676 -2.952667 -3.160617 -2.029720
5967 0.0020492589 0.353689 2.086676 -2.952331 -3.160617 -2.029274
6029 0.0003575471 0.352355 2.082140 -2.949090 -3.155044 -2.027603
6547 0.0001978845 0.352543 2.081775 -2.949007 -3.152240 -2.029274
6704 0.0001461426 0.352433 2.081577 -2.950910 -3.152239 -2.027696
6732 0.0000675139 0.350911 2.080235 -2.950108 -3.151266 -2.028699
6930 0.0000614394 0.351901 2.081149 -2.951095 -3.150757 -2.028227
6951 0.0000530600 0.350736 2.080179 -2.949579 -3.150882 -2.028318
6955 0.0000223762 0.351652 2.081147 -2.950119 -3.151257 -2.028227
7052 0.0000199820 0.351646 2.080784 -2.950626 -3.150418 -2.028274
7080 0.0000160011 0.351621 2.081054 -2.950119 -3.151174 -2.028249
7205 0.0000153060 0.351621 2.081054 -2.950195 -3.151174 -2.028249
7231 0.0000117065 0.351632 2.080813 -2.950154 -3.151108 -2.028193
7321 0.0000043783 0.351377 2.080605 -2.950287 -3.150972 -2.028176
7400 0.0000033007 0.351450 2.080723 -2.950376 -3.150971 -2.028247
7496 0.0000024545 0.351416 2.080666 -2.950287 -3.150956 -2.028311
7539 0.0000023942 0.351432 2.080757 -2.950273 -3.150968 -2.028311
7550 0.0000021141 0.351450 2.080723 -2.950376 -3.150852 -2.028247
7557 0.0000018875 0.351465 2.080750 -2.950269 -3.150939 -2.028311
7582 0.0000018548 0.351454 2.080723 -2.950234 -3.150986 -2.028321
7607 0.0000017818 0.351456 2.080713 -2.950234 -3.150986 -2.028321
7609 0.0000016809 0.351444 2.080696 -2.950250 -3.150947 -2.028318
7631 0.0000005042 0.351455 2.080689 -2.950281 -3.150956 -2.028249
7645 0.0000001427 0.351445 2.080690 -2.950272 -3.150938 -2.028273
7809 0.0000001373 0.351424 2.080684 -2.950257 -3.150947 -2.028263
7884 0.0000001116 0.351424 2.080687 -2.950257 -3.150947 -2.028263
7950 0.0000000967 0.351443 2.080703 -2.950286 -3.150935 -2.028259
7952 0.0000000866 0.351443 2.080699 -2.950251 -3.150974 -2.028272
7956 0.0000000860 0.351447 2.080703 -2.950257 -3.150956 -2.028271
7999 0.0000000839 0.351433 2.080689 -2.950259 -3.150947 -2.028272
8024 0.0000000826 0.351433 2.080689 -2.950258 -3.150947 -2.028272
8072 0.0000000741 0.351436 2.080690 -2.950253 -3.150951 -2.028263
8126 0.0000000738 0.351442 2.080696 -2.950258 -3.150954 -2.028272
8147 0.0000000574 0.351433 2.080694 -2.950257 -3.150951 -2.028263
8149 0.0000000556 0.351434 2.080689 -2.950258 -3.150947 -2.028264
8158 0.0000000526 0.351437 2.080691 -2.950258 -3.150955 -2.028265
8223 0.0000000523 0.351448 2.080701 -2.950256 -3.150957 -2.028261
8230 0.0000000319 0.351447 2.080705 -2.950258 -3.150955 -2.028263
8269 0.0000000280 0.351445 2.080697 -2.950266 -3.150949 -2.028261
8310 0.0000000247 0.351446 2.080697 -2.950266 -3.150949 -2.028262
8313 0.0000000213 0.351445 2.080699 -2.950272 -3.150945 -2.028262
8325 0.0000000136 0.351447 2.080704 -2.950274 -3.150944 -2.028263
8338 0.0000000093 0.351445 2.080707 -2.950272 -3.150951 -2.028265
8363 0.0000000035 0.351444 2.080705 -2.950271 -3.150951 -2.028265
8376 0.0000000007 0.351443 2.080703 -2.950270 -3.150948 -2.028262
8576 0.0000000006 0.351443 2.080703 -2.950268 -3.150950 -2.028262
8626 0.0000000005 0.351443 2.080703 -2.950269 -3.150949 -2.028262
8676 0.0000000004 0.351444 2.080703 -2.950268 -3.150949 -2.028263
8686 0.0000000002 0.351443 2.080702 -2.950268 -3.150951 -2.028262
8890 0.0000000001 0.351443 2.080702 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
