evaluations raw_y x0 x1 x2 x3 x4
1 14.4080098461 -1.789754 -1.886681 -4.456005 -0.842835 -3.587829
2 12.1690057826 -0.638439 -4.803432 0.572313 -3.749770 4.194594
4 8.4100455269 2.058150 -4.945431 -4.418294 -1.014026 1.919457
5 4.6268769942 1.433877 -2.149030 -3.528181 -0.662360 2.458474
47 2.9572922113 3.576802 1.045067 4.267446 3.980012 -1.559061
57 2.5955069554 3.974170 -0.503802 1.094961 3.579589 0.142047
98 1.4920616577 0.362020 -0.321763 1.137598 3.269272 -0.650435
102 0.6182351206 -0.739565 -1.790942 0.131942 0.630749 0.264377
233 0.5371524320 -1.388840 -1.898145 -2.164537 3.689342 0.790827
483 0.3645554891 3.957565 -0.220675 3.082694 2.238476 -1.450527
660 0.1728782783 4.479731 -1.718384 2.675479 1.792390 0.423860
752 0.1306031349 3.952983 -1.645241 2.362381 1.800211 0.271860
962 0.0413590954 1.926970 -1.649461 0.795528 2.356178 0.331863
1033 0.0345654352 1.878923 -1.613077 0.696377 2.553495 0.340980
1314 0.0254271197 2.016350 -1.638911 0.761863 2.511385 0.341827
1341 0.0164814863 2.321999 -1.488514 0.933616 2.629407 0.130789
1366 0.0151835417 2.115115 -1.356291 0.766995 3.069084 0.166537
1427 0.0128169601 2.557025 -1.322318 1.205326 2.667566 -0.029262
1467 0.0063819177 2.372040 -1.285068 1.162540 2.743027 0.021457
1573 0.0047530930 2.108231 -1.277446 0.971759 2.823442 0.039607
1928 0.0039487868 2.111474 -1.281629 0.961661 2.764186 -0.017389
1950 0.0032855534 2.177008 -1.283994 1.071979 2.764255 0.059661
1989 0.0012924897 2.149102 -1.268737 0.999770 2.802613 0.001800
2010 0.0008798325 2.104034 -1.275399 0.967964 2.813998 0.018556
2031 0.0008372078 2.124799 -1.282059 0.980000 2.796023 0.017008
2174 0.0008220492 2.117197 -1.282627 0.970054 2.795690 0.012244
2186 0.0008075557 2.045647 -1.281261 0.900855 2.844516 0.019924
2285 0.0007446381 2.072735 -1.276963 0.937839 2.833864 0.024892
2300 0.0006267392 2.041205 -1.280026 0.905026 2.850265 0.028743
2339 0.0005804544 2.058267 -1.281741 0.918158 2.836572 0.024853
2440 0.0004766246 2.071924 -1.278548 0.934521 2.822084 0.015743
