evaluations raw_y x0 x1 x2 x3 x4
1 0.6817583176 1.060386 -3.404364 -0.186641 -2.719833 4.582773
2 0.2975586700 0.433387 2.693510 2.898592 -4.594104 -1.975049
14 0.2203190496 2.903663 4.575380 2.864297 -3.966552 2.835735
35 0.0774880780 3.813500 5.000000 1.606456 -3.219150 0.213698
65 0.0444951226 4.282678 4.671700 0.454379 -0.861950 -0.125096
196 0.0384751684 3.416898 5.000000 1.196547 -1.950020 -0.631698
214 0.0319689035 3.055451 5.000000 1.443737 -2.035696 -0.427654
215 0.0300764760 4.282678 3.877366 0.236015 -0.554221 -0.125096
238 0.0278437719 4.151933 4.310857 0.791876 -1.301335 -0.036014
245 0.0269141107 3.156089 4.545469 1.213765 -1.938184 -0.170918
264 0.0222138542 3.546956 4.564514 1.317705 -2.065856 -0.422951
268 0.0164734162 3.501700 4.754271 1.058059 -1.762414 -0.110783
323 0.0125532340 3.579231 4.576247 1.012755 -1.528722 -0.352534
371 0.0097137429 3.374306 4.788043 1.570311 -2.112875 -0.036563
428 0.0093853440 3.154040 4.993489 1.882362 -2.561371 -0.137942
488 0.0038478114 3.185125 4.929571 1.781535 -2.324797 -0.117847
489 0.0034710034 3.275615 4.902100 1.749804 -2.271725 -0.130590
603 0.0028138969 3.241849 4.890778 1.773073 -2.262675 -0.141279
608 0.0024648178 3.200725 4.962748 1.819966 -2.326498 -0.138965
624 0.0019530393 3.174701 4.979499 1.888403 -2.374344 -0.146284
642 0.0009755153 3.129261 5.000000 1.925391 -2.433006 -0.150296
831 0.0007387895 3.150534 4.984121 1.903150 -2.406340 -0.154637
839 0.0003620758 3.145775 4.987168 1.911170 -2.424445 -0.151743
1155 0.0003374469 3.143666 4.994077 1.924377 -2.433437 -0.148007
1185 0.0002380910 3.144534 4.994969 1.918248 -2.428590 -0.150378
1207 0.0001681487 3.189990 4.950839 1.836365 -2.355064 -0.157146
1509 0.0001571574 3.157141 4.981699 1.896364 -2.410661 -0.152710
1519 0.0001556944 3.178290 4.962152 1.859027 -2.376317 -0.154890
1550 0.0001511003 3.187820 4.952960 1.841523 -2.360153 -0.156116
1668 0.0001462551 3.196127 4.944942 1.825894 -2.346278 -0.157012
1679 0.0001454556 3.200367 4.940594 1.817510 -2.339013 -0.157658
1828 0.0001431241 3.219357 4.921906 1.783420 -2.306963 -0.159909
1858 0.0001430592 3.226880 4.914764 1.768906 -2.294108 -0.160497
1876 0.0001353417 3.261346 4.881592 1.706262 -2.238081 -0.164306
2158 0.0001345731 3.259285 4.883010 1.710177 -2.241243 -0.163955
2188 0.0001345595 3.259992 4.882327 1.708885 -2.240070 -0.164027
