evaluations raw_y x0 x1 x2 x3 x4
1 29.1906886353 4.329877 -0.659480 0.225438 4.542832 1.769268
2 15.3525879843 -4.608056 -4.379633 -2.471723 1.162518 3.436770
11 10.3205196106 -3.421729 -3.099514 -0.435471 2.323376 -3.389402
13 6.5004280260 1.899270 4.289437 -0.500041 1.071212 -4.899151
22 5.7978699477 -3.809837 -4.760416 -2.566403 -2.760043 -0.194578
33 5.0637729730 1.198683 1.508991 -4.674861 -4.208587 0.531625
63 4.3432642315 1.115949 1.493002 -4.715126 -4.192181 0.460247
73 2.6105876751 0.835850 2.102651 -2.416317 -2.377593 -2.606708
103 2.5858779083 2.797714 2.661176 -5.000000 -1.862321 -2.056789
108 2.3004473862 -0.215285 -0.108256 -1.926894 -3.806753 -2.883083
151 1.4038470642 -0.661754 2.520429 -2.675964 -3.279656 -0.903904
153 1.3832540629 0.128115 1.053439 -4.949025 -1.506995 -0.915191
183 1.2974523824 0.133404 1.079407 -4.978691 -1.473381 -0.961932
517 1.2696551239 -0.761345 2.618241 -2.665773 -3.574496 -0.790115
577 1.2216904878 -0.747710 2.562973 -2.719762 -3.551984 -0.797388
620 1.0452715923 0.160134 2.024867 -3.352588 -3.313060 -1.592511
649 0.8175068587 0.437647 1.943696 -3.308735 -3.122085 -1.759838
656 0.6061701606 0.483505 2.217504 -3.942726 -1.986139 -1.576294
896 0.5950993541 0.475770 2.215966 -3.933728 -2.011730 -1.584217
915 0.5017999162 0.145524 2.107446 -3.424145 -2.372552 -1.677772
954 0.3967756328 0.269889 1.863327 -3.428842 -2.676366 -1.738963
1043 0.3461060963 0.407499 2.168442 -3.506698 -2.630152 -1.695253
1071 0.3302830515 0.262608 1.979542 -3.262490 -2.744308 -1.819242
1089 0.3215513267 0.421204 2.057318 -3.410763 -2.247289 -2.025002
1099 0.3175660746 0.388096 2.136219 -3.434607 -2.710952 -1.766460
1109 0.2869317826 0.244826 1.925252 -3.253272 -2.724610 -1.897504
1131 0.2773181472 0.278234 1.942437 -3.233006 -2.810331 -1.864937
