evaluations raw_y x0 x1 x2 x3 x4
1 3.8181833252 1.542884 -3.052935 0.266215 -2.781248 2.130238
6 0.9617585197 4.338064 1.474554 -3.134845 1.389281 3.537695
94 0.8854121264 5.000000 1.547945 -0.686591 0.761234 3.825926
101 0.8799336717 4.695687 4.252881 -3.508857 0.867565 4.030263
104 0.8503664126 5.000000 4.525611 -2.043270 0.948573 5.000000
112 0.3524655620 3.422028 1.918373 -4.321506 1.775300 4.759564
148 0.3004388680 4.338064 2.406894 -3.349004 1.788029 4.669118
173 0.2599726949 3.941180 1.861683 -4.099077 2.126347 4.506649
219 0.2063983077 3.961702 1.520071 -2.307105 1.051878 4.824566
231 0.1823655164 3.750077 1.494665 -1.778004 0.795584 4.615108
244 0.1813701005 4.067455 2.350535 -2.604801 2.100474 4.597065
246 0.1630375552 3.418617 1.938800 -2.175780 1.712972 4.635727
253 0.1264468993 3.449482 1.491936 -2.551971 1.503918 4.539886
266 0.1022199233 3.249174 1.609701 -2.175780 1.712972 4.555788
326 0.0832307463 3.460776 1.871074 -1.887540 1.916014 4.555788
369 0.0655180771 3.725879 1.971933 -1.769449 1.930651 4.524887
389 0.0630715553 3.742464 1.973309 -1.753780 1.899388 4.514508
393 0.0507427519 3.515337 1.702444 -1.792282 1.834316 4.529915
460 0.0488766036 3.938224 1.817013 -1.883668 1.880489 4.531631
468 0.0484323706 3.507808 1.707625 -1.705470 1.764028 4.527781
469 0.0325820822 3.843520 1.726887 -1.753780 1.800497 4.568254
470 0.0186710217 3.841896 1.801810 -1.825452 1.744447 4.525070
550 0.0173626154 3.861444 1.787456 -1.829560 1.744447 4.522813
587 0.0098700758 3.825721 1.716497 -1.846735 1.740246 4.540353
608 0.0082745276 3.852523 1.726285 -1.836920 1.749656 4.538891
701 0.0077185000 3.839248 1.735506 -1.813125 1.739767 4.538463
702 0.0072357039 3.861879 1.759341 -1.817349 1.756931 4.537397
721 0.0069138361 3.854807 1.735506 -1.813642 1.753128 4.538463
734 0.0066823024 3.842098 1.714363 -1.849854 1.758086 4.533260
