evaluations raw_y x0 x1 x2 x3 x4
1 6.6989478374 -4.398455 -2.953244 0.806655 -3.436117 -2.809653
2 5.4843657566 -0.590356 -2.710431 -2.321106 1.976899 -2.788750
20 3.9341038005 1.767580 -1.063045 -3.353363 -0.143261 -2.710999
34 3.4121256341 -2.478449 -2.401865 -4.838894 -2.594857 -1.288949
40 2.3069420301 0.818329 -2.590852 -5.000000 -1.294474 -2.710999
147 1.4780217078 0.865757 -2.078634 -4.683600 -2.659240 -2.665039
305 1.3626686380 1.073893 -2.194418 -4.589147 -2.871314 -2.747674
388 0.8340853999 1.078690 -1.800064 -4.425708 -3.203841 -2.848326
773 0.7142325919 1.092353 -1.860619 -4.517391 -3.028101 -2.782035
813 0.6953818898 1.121844 -1.845602 -4.517391 -3.021080 -2.762675
983 0.6764768828 1.050288 -1.783963 -4.494356 -3.177767 -2.835673
1013 0.6618710648 1.121844 -1.845948 -4.534452 -3.006723 -2.755069
1058 0.6551422279 1.048277 -1.763029 -4.473929 -3.267590 -2.867908
1092 0.6489264800 1.081642 -1.785732 -4.535602 -3.202325 -2.831060
1105 0.6404090118 1.094438 -1.778653 -4.513272 -3.177360 -2.826252
1142 0.5998038064 1.079280 -1.799181 -4.533709 -3.170638 -2.821962
1238 0.5976783707 1.055130 -1.780974 -4.482324 -3.219992 -2.845371
1252 0.5917984479 1.110602 -1.816586 -4.524384 -3.111724 -2.793635
1268 0.5886278608 1.101463 -1.839907 -4.544462 -3.064920 -2.781399
1286 0.5365240151 1.098635 -1.820337 -4.542706 -3.090998 -2.797315
1456 0.5261188646 1.088486 -1.838480 -4.550365 -3.057233 -2.788809
1555 0.5148559497 1.099954 -1.806325 -4.545023 -3.128740 -2.802461
1875 0.5133628618 1.095987 -1.824663 -4.534971 -3.107417 -2.800016
1920 0.5077757106 1.103870 -1.785909 -4.558683 -3.150949 -2.809568
1935 0.5066087150 1.095749 -1.825600 -4.534600 -3.106207 -2.799687
1945 0.4921031491 1.088628 -1.843459 -4.535221 -3.075684 -2.793284
2279 0.4886753695 1.089359 -1.839700 -4.536215 -3.080994 -2.795387
2323 0.4812705694 1.088205 -1.842050 -4.534947 -3.080345 -2.795060
2402 0.4784193818 1.086862 -1.838873 -4.534894 -3.085497 -2.798780
2499 0.4775482890 1.086096 -1.840997 -4.536469 -3.079203 -2.797734
2529 0.4766013228 1.086845 -1.839099 -4.536131 -3.083152 -2.798706
2539 0.4677068892 1.086644 -1.842220 -4.535951 -3.078510 -2.797087
2736 0.4661937235 1.086674 -1.843743 -4.536651 -3.074653 -2.795920
2774 0.4646361551 1.087337 -1.842845 -4.536185 -3.076440 -2.795810
2792 0.4639450334 1.087055 -1.842785 -4.536429 -3.076809 -2.796194
2838 0.4618762474 1.087038 -1.842737 -4.536506 -3.076611 -2.796201
2851 0.4600902413 1.086984 -1.843070 -4.536613 -3.075725 -2.796055
3001 0.4597566879 1.087018 -1.842910 -4.536631 -3.075870 -2.796067
3021 0.4586083389 1.087018 -1.842910 -4.536679 -3.075870 -2.796067
3126 0.4582976245 1.087013 -1.842973 -4.536714 -3.075752 -2.796013
3181 0.4582188584 1.087053 -1.842938 -4.536682 -3.075805 -2.796010
3235 0.4577040827 1.087051 -1.842999 -4.536724 -3.075647 -2.795953
3281 0.4573472648 1.087053 -1.842944 -4.536701 -3.075793 -2.795996
3316 0.4570692289 1.087033 -1.842996 -4.536690 -3.075708 -2.795970
3392 0.4568432004 1.087047 -1.842970 -4.536683 -3.075766 -2.795982
3426 0.4568251860 1.087038 -1.842987 -4.536685 -3.075720 -2.795980
3442 0.4567722615 1.087036 -1.842975 -4.536688 -3.075774 -2.795991
3459 0.4567616614 1.087046 -1.842976 -4.536687 -3.075750 -2.795978
3535 0.4565557690 1.087033 -1.842982 -4.536702 -3.075732 -2.795977
3560 0.4565536618 1.087037 -1.842991 -4.536689 -3.075733 -2.795975
3570 0.4565353160 1.087031 -1.842978 -4.536687 -3.075751 -2.795987
3579 0.4564696397 1.087034 -1.842988 -4.536690 -3.075730 -2.795981
3580 0.4564303544 1.087036 -1.842978 -4.536696 -3.075744 -2.795979
3620 0.4563987067 1.087035 -1.842979 -4.536695 -3.075744 -2.795980
3654 0.4563146589 1.087036 -1.842980 -4.536696 -3.075737 -2.795979
3690 0.4561908894 1.087033 -1.842984 -4.536699 -3.075728 -2.795978
3714 0.4561744341 1.087036 -1.842985 -4.536700 -3.075723 -2.795974
3759 0.4561261046 1.087034 -1.842988 -4.536695 -3.075727 -2.795978
3771 0.4561001876 1.087034 -1.842986 -4.536697 -3.075728 -2.795977
3847 0.4560799573 1.087034 -1.842987 -4.536696 -3.075730 -2.795978
3933 0.4560777202 1.087034 -1.842986 -4.536697 -3.075727 -2.795977
3944 0.4560753222 1.087034 -1.842986 -4.536697 -3.075730 -2.795978
3968 0.4560752248 1.087034 -1.842986 -4.536698 -3.075729 -2.795978
3985 0.4560751667 1.087034 -1.842987 -4.536697 -3.075727 -2.795977
3997 0.4560747511 1.087034 -1.842986 -4.536697 -3.075729 -2.795978
4019 0.4560733916 1.087034 -1.842986 -4.536697 -3.075729 -2.795978
4075 0.4560733535 1.087034 -1.842986 -4.536698 -3.075728 -2.795978
4076 0.4560730872 1.087034 -1.842986 -4.536698 -3.075728 -2.795978
