evaluations raw_y x0 x1 x2 x3 x4
1 8.8484425313 2.726862 4.042168 -3.256723 2.322414 4.813444
2 5.1458048305 -0.344682 -0.643255 -3.365894 -1.023862 2.196334
3 5.0219213409 -3.462849 2.359529 -4.967397 2.423681 2.018146
5 2.2129714547 -4.157952 4.204087 -1.064981 0.657535 -3.220074
13 1.0421898124 -3.098156 -0.654670 -0.863325 -4.538548 -2.985794
81 0.9640505239 -1.171688 -1.226843 -2.195004 -1.975449 -3.039886
132 0.8643747394 -2.457335 -2.397435 1.862817 -3.008416 -2.467237
162 0.6097008062 -1.034767 -3.075157 1.346158 -2.160807 -3.402452
168 0.5630659966 -1.789044 -2.136145 1.589978 -3.037335 -2.747543
211 0.4870563586 1.726720 -3.257439 -0.001516 -4.683490 -3.761444
268 0.3510739125 -1.789044 -3.018818 1.281030 -3.037335 -2.887627
272 0.2408383883 0.768162 -1.428874 2.211356 -4.371537 -3.503013
319 0.2194693546 -1.285622 -1.743116 1.140181 -4.155272 -3.412431
452 0.2122698850 -0.880524 -1.663197 0.582474 -3.652955 -3.401434
457 0.1839844525 -0.720912 -3.387025 1.973984 -3.700354 -3.461237
468 0.1826220216 -1.741491 -2.760737 1.499386 -3.954935 -3.464740
501 0.1551458112 -0.610947 -3.810715 0.877001 -4.324862 -3.492821
550 0.1334745118 -1.293529 -3.100406 1.585397 -4.427486 -3.416873
570 0.1074547640 1.026530 -4.542978 0.975702 -3.849047 -3.403681
720 0.0846799218 1.026530 -4.142600 1.218641 -4.100107 -3.403681
750 0.0722013242 0.594640 -3.904295 0.839755 -4.427486 -3.440949
803 0.0713726942 0.723418 -3.745048 0.781596 -4.516298 -3.416609
836 0.0551749118 0.767752 -3.799233 0.846417 -4.624284 -3.430957
902 0.0496028548 0.977012 -4.314899 0.987430 -4.698930 -3.466186
965 0.0402659125 1.028343 -4.304631 1.154639 -4.578344 -3.444876
970 0.0305571333 0.965379 -4.142600 1.218641 -4.656941 -3.442354
1016 0.0266774202 1.352506 -4.173644 0.964122 -4.725398 -3.444100
1068 0.0197435248 1.269162 -4.171101 1.058977 -4.783469 -3.440958
1102 0.0085337065 1.173923 -4.186306 0.997748 -4.715670 -3.435568
1278 0.0077390011 1.131820 -4.151532 1.049830 -4.720188 -3.432603
1344 0.0074197721 1.169634 -4.199440 1.113226 -4.756624 -3.434483
1352 0.0070473576 1.158321 -4.195653 1.012666 -4.722443 -3.435288
1436 0.0069530980 1.137820 -4.156510 1.040751 -4.718230 -3.435866
1468 0.0066846010 1.140068 -4.152826 1.034845 -4.726117 -3.434265
1536 0.0063551287 1.181527 -4.141987 1.072099 -4.738681 -3.435866
1547 0.0050165661 1.195838 -4.203476 1.059203 -4.715683 -3.433016
1558 0.0039949613 1.190269 -4.186618 1.067136 -4.729997 -3.433000
1608 0.0019909471 1.185436 -4.186618 1.097230 -4.728925 -3.433876
1895 0.0017903599 1.198939 -4.217225 1.098736 -4.728774 -3.434721
1920 0.0016006998 1.177844 -4.194654 1.081625 -4.716555 -3.434001
1928 0.0015686626 1.179420 -4.194535 1.082495 -4.716499 -3.435050
1953 0.0011798030 1.180966 -4.197111 1.088812 -4.718800 -3.435373
1986 0.0007856642 1.183598 -4.198290 1.089709 -4.722654 -3.435425
2038 0.0004752206 1.180412 -4.201529 1.091716 -4.724363 -3.434546
2117 0.0003783205 1.179646 -4.197298 1.093067 -4.725989 -3.434822
2202 0.0003712504 1.182197 -4.199660 1.091430 -4.724759 -3.434733
2252 0.0003711434 1.182197 -4.199660 1.091430 -4.724961 -3.434733
2265 0.0003107146 1.184767 -4.200300 1.094629 -4.727743 -3.434795
2323 0.0001955764 1.183187 -4.202153 1.094320 -4.726943 -3.434871
2336 0.0001508068 1.183532 -4.200740 1.094667 -4.727258 -3.434951
2408 0.0001116242 1.182525 -4.201296 1.095686 -4.727052 -3.434853
2486 0.0000967469 1.183532 -4.200740 1.095043 -4.727214 -3.434875
2510 0.0000734260 1.181802 -4.199904 1.095235 -4.727469 -3.434859
2517 0.0000505069 1.182493 -4.200530 1.095638 -4.727319 -3.434881
2692 0.0000488219 1.182609 -4.200209 1.095589 -4.727316 -3.434884
2702 0.0000453450 1.182562 -4.200852 1.095558 -4.727212 -3.434890
2802 0.0000436581 1.182562 -4.200911 1.095561 -4.727229 -3.434896
2851 0.0000428085 1.182124 -4.200469 1.095697 -4.727294 -3.434915
2859 0.0000400042 1.182294 -4.200513 1.095361 -4.727354 -3.434899
2876 0.0000282719 1.182057 -4.200454 1.095280 -4.727220 -3.434915
2902 0.0000215781 1.182023 -4.200334 1.095561 -4.727208 -3.434896
2956 0.0000184477 1.182161 -4.200408 1.095458 -4.727241 -3.434893
2968 0.0000179197 1.182122 -4.200397 1.095490 -4.727224 -3.434898
2973 0.0000164421 1.182113 -4.200345 1.095422 -4.727159 -3.434897
2978 0.0000094125 1.182186 -4.200333 1.095378 -4.727185 -3.434898
3002 0.0000068957 1.182123 -4.200330 1.095292 -4.727208 -3.434899
3128 0.0000060826 1.182160 -4.200261 1.095253 -4.727188 -3.434895
3190 0.0000055446 1.182154 -4.200253 1.095256 -4.727189 -3.434896
3203 0.0000051439 1.182138 -4.200268 1.095271 -4.727196 -3.434897
3290 0.0000049968 1.182115 -4.200202 1.095268 -4.727193 -3.434898
3303 0.0000045401 1.182120 -4.200200 1.095270 -4.727192 -3.434897
3336 0.0000040385 1.182137 -4.200251 1.095283 -4.727198 -3.434897
3339 0.0000035059 1.182151 -4.200236 1.095267 -4.727203 -3.434897
3342 0.0000029063 1.182182 -4.200237 1.095268 -4.727201 -3.434898
3353 0.0000028440 1.182195 -4.200200 1.095273 -4.727192 -3.434897
3386 0.0000027383 1.182194 -4.200204 1.095275 -4.727191 -3.434897
3410 0.0000025257 1.182191 -4.200192 1.095281 -4.727198 -3.434898
3429 0.0000019441 1.182185 -4.200193 1.095297 -4.727196 -3.434897
3442 0.0000008353 1.182180 -4.200217 1.095300 -4.727199 -3.434897
3453 0.0000007464 1.182188 -4.200217 1.095297 -4.727197 -3.434897
3503 0.0000007310 1.182188 -4.200217 1.095297 -4.727197 -3.434897
3542 0.0000005188 1.182187 -4.200218 1.095300 -4.727200 -3.434897
3642 0.0000005080 1.182187 -4.200218 1.095298 -4.727200 -3.434897
3742 0.0000005049 1.182187 -4.200218 1.095298 -4.727200 -3.434897
3776 0.0000003177 1.182184 -4.200220 1.095304 -4.727205 -3.434897
3823 0.0000002056 1.182192 -4.200220 1.095304 -4.727205 -3.434897
3856 0.0000001638 1.182190 -4.200218 1.095304 -4.727206 -3.434897
3912 0.0000001287 1.182191 -4.200220 1.095306 -4.727205 -3.434897
3952 0.0000001225 1.182191 -4.200220 1.095307 -4.727205 -3.434897
3956 0.0000001078 1.182191 -4.200220 1.095307 -4.727205 -3.434897
4006 0.0000000879 1.182191 -4.200219 1.095305 -4.727205 -3.434897
4079 0.0000000736 1.182191 -4.200220 1.095307 -4.727205 -3.434897
4117 0.0000000365 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4129 0.0000000285 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4229 0.0000000275 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4252 0.0000000272 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4267 0.0000000238 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4317 0.0000000226 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4394 0.0000000203 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4397 0.0000000090 1.182191 -4.200219 1.095307 -4.727206 -3.434897
4419 0.0000000060 1.182191 -4.200219 1.095307 -4.727206 -3.434897
4519 0.0000000056 1.182191 -4.200219 1.095307 -4.727206 -3.434897
4539 0.0000000051 1.182191 -4.200219 1.095307 -4.727205 -3.434897
4567 0.0000000049 1.182191 -4.200219 1.095307 -4.727205 -3.434897
