evaluations raw_y x0 x1 x2 x3 x4
1 3.4179927857 3.635635 1.900757 -3.479992 -2.105161 1.677275
10 3.3219702988 -4.851171 4.207423 -4.204382 -0.273450 2.637226
14 1.9257556507 3.648997 4.904282 -3.062448 -1.215738 0.232174
15 1.7510981301 0.677449 2.608338 -2.930944 3.042097 3.160863
41 1.0597496535 -2.514083 3.810921 -3.355192 0.109070 1.354503
52 0.9648756206 0.270943 4.376220 -4.139844 1.575035 2.651373
54 0.6755719345 -0.963704 4.587386 -2.665022 0.824692 1.382283
65 0.6327202398 2.183312 3.901198 -2.421905 2.029574 3.041336
154 0.4970536364 1.176714 3.832755 -2.033076 1.573217 3.197513
171 0.4562429032 1.374986 4.313925 -3.165204 0.725431 1.467101
186 0.3516285353 0.831445 3.793415 -1.700474 1.235251 2.637764
355 0.2132803774 2.508663 5.000000 -1.686966 1.200999 2.989012
370 0.1404353167 2.112319 5.000000 -1.114738 1.333430 1.702459
440 0.1265274498 1.729278 4.821624 -1.715529 0.885705 2.070779
471 0.1019429030 1.367348 5.000000 -1.730531 1.297179 2.056241
558 0.0706917230 1.583648 4.767740 -1.420745 1.052812 1.494458
705 0.0647241393 1.771817 4.644124 -1.733507 1.329180 1.479394
758 0.0603148372 1.600151 4.907223 -1.753993 1.297179 1.777187
851 0.0594462400 1.645234 4.977200 -1.791829 1.279140 1.752503
857 0.0570779917 1.761501 4.743356 -1.620901 1.053226 1.687178
1023 0.0485902454 1.624275 5.000000 -1.626933 1.254616 1.859850
1152 0.0475867035 1.663071 5.000000 -1.687269 1.261493 1.808011
1178 0.0417571741 1.673447 4.560486 -1.636428 1.232738 1.743510
1188 0.0417354591 1.629441 4.854609 -1.617813 1.254831 1.787471
1223 0.0385245294 1.644029 4.760041 -1.571961 1.141998 1.751026
1226 0.0362275487 1.662371 4.972014 -1.642673 1.221450 1.839047
1259 0.0360189836 1.729420 4.714327 -1.580113 1.192695 1.707859
1307 0.0337791935 1.655042 4.659637 -1.598147 1.226346 1.726486
1315 0.0315936246 1.632198 4.542021 -1.466298 1.171471 1.744566
1353 0.0221672985 1.666584 4.709202 -1.533032 1.176435 1.728810
1529 0.0194958567 1.714717 4.289269 -1.266357 1.213335 1.671127
1543 0.0148176660 1.626591 4.345576 -1.346263 1.157705 1.590858
1602 0.0113915452 1.657613 4.367987 -1.380659 1.169162 1.617010
1648 0.0066031956 1.692074 4.174665 -1.282826 1.171513 1.533064
1809 0.0053943254 1.701195 4.185903 -1.330877 1.175293 1.549999
1990 0.0033522232 1.686363 4.153730 -1.321717 1.167219 1.527669
2286 0.0032850100 1.687877 4.119023 -1.314714 1.180920 1.522009
2347 0.0030245438 1.694270 4.148692 -1.308621 1.171027 1.533059
2402 0.0027481176 1.690294 4.119023 -1.309736 1.175956 1.523472
2405 0.0021274050 1.687308 4.108866 -1.297575 1.174388 1.513009
2456 0.0019273650 1.704310 4.096747 -1.294527 1.169382 1.506169
2467 0.0018563456 1.702796 4.086633 -1.291505 1.177941 1.511365
2542 0.0014950369 1.692612 4.091712 -1.290774 1.174336 1.506172
2586 0.0012557123 1.695634 4.089831 -1.295013 1.170415 1.511668
