evaluations raw_y x0 x1 x2 x3 x4
1 20.4721178998 -2.368540 -4.294036 1.343337 2.972996 2.411344
3 15.3969881450 -2.309371 -1.574810 4.725128 2.037223 -3.838492
4 8.8971886408 1.047518 -1.950796 2.605262 -0.710181 -3.711886
7 6.2122029804 2.134096 0.531771 -3.345713 1.726469 -4.296005
8 2.9935679973 0.497815 3.114479 -4.033845 -0.854024 -2.048879
69 2.2404340934 -0.655562 4.260442 -1.459793 -1.596286 -2.206630
151 2.1096897306 1.730519 4.260442 -1.644502 -2.083494 -2.787490
159 2.0813866942 -0.333026 2.796394 -2.308310 -1.728058 -2.383865
201 1.9181538403 -0.283694 4.396181 -1.702852 -2.652036 -1.614752
275 1.8664278797 1.349100 2.770634 -3.172030 -3.341341 -2.429379
283 1.7153755532 2.070236 4.975985 -2.706057 -1.103473 -2.355684
426 1.6236397871 1.479974 5.000000 -1.669875 -2.649048 -3.053617
541 1.5965045465 0.931770 2.716209 -3.944120 -3.019415 -2.010495
626 0.9914496986 0.667121 2.654289 -3.004049 -4.195499 -1.950627
913 0.8361487845 0.620272 2.425873 -3.153995 -3.135527 -1.718962
1051 0.6413053953 0.625479 2.398155 -3.150006 -3.159244 -1.728178
1102 0.5839069145 0.175360 2.022654 -2.824377 -3.224040 -2.196678
1202 0.3799120910 0.476809 2.250259 -3.054613 -3.159244 -1.896675
1208 0.3330073626 0.404620 1.964644 -3.007103 -3.034882 -2.094376
1317 0.2302604027 0.313825 2.117808 -2.931843 -3.461250 -1.979782
1491 0.1749220736 0.402690 2.165249 -3.058262 -3.108664 -2.063767
1554 0.1317816450 0.324839 2.040972 -2.758712 -3.363545 -2.115661
1556 0.1310085459 0.284725 2.000950 -2.868098 -3.256580 -2.028864
1680 0.0934435171 0.377524 2.122254 -2.994169 -3.233956 -1.993020
1885 0.0359011908 0.374549 2.092494 -2.982570 -3.151676 -2.037662
1979 0.0299584986 0.368262 2.097237 -2.933118 -3.129543 -2.036396
2206 0.0286761021 0.368443 2.104977 -2.956715 -3.123248 -2.016551
2211 0.0175851475 0.370168 2.084627 -2.968520 -3.142984 -2.036136
2251 0.0101424883 0.365885 2.078925 -2.954446 -3.150028 -2.037792
2269 0.0026267905 0.355752 2.081156 -2.952148 -3.153063 -2.022267
2543 0.0023103054 0.352861 2.086944 -2.948389 -3.152356 -2.025303
2560 0.0016045662 0.351820 2.084474 -2.945458 -3.160636 -2.030262
2649 0.0014066556 0.355788 2.083278 -2.952521 -3.154227 -2.028784
2703 0.0008339378 0.353108 2.083668 -2.950728 -3.155832 -2.028051
2726 0.0008173724 0.349418 2.079040 -2.950252 -3.146531 -2.028192
2871 0.0007510173 0.350616 2.079128 -2.953242 -3.151578 -2.026444
2876 0.0005848803 0.351191 2.077346 -2.949279 -3.150019 -2.028457
2886 0.0005246341 0.351255 2.078968 -2.948119 -3.152431 -2.027701
2902 0.0005080724 0.350395 2.077757 -2.948584 -3.151027 -2.028298
2963 0.0002947223 0.351150 2.080557 -2.952645 -3.148881 -2.027907
3212 0.0002053054 0.351500 2.080704 -2.952371 -3.149348 -2.026684
3353 0.0001294105 0.350896 2.081031 -2.950559 -3.150671 -2.028651
3459 0.0000489460 0.351435 2.081143 -2.950737 -3.150851 -2.028402
3540 0.0000374174 0.351790 2.081105 -2.951040 -3.150414 -2.027863
3571 0.0000145772 0.351495 2.080752 -2.950353 -3.150426 -2.028436
3653 0.0000129263 0.351577 2.080539 -2.950345 -3.150998 -2.028226
3807 0.0000039012 0.351336 2.080584 -2.950202 -3.150991 -2.028240
4151 0.0000036273 0.351336 2.080584 -2.950236 -3.150991 -2.028240
4272 0.0000016586 0.351417 2.080645 -2.950270 -3.150865 -2.028300
4310 0.0000013149 0.351440 2.080641 -2.950278 -3.150984 -2.028276
4315 0.0000011340 0.351422 2.080721 -2.950231 -3.151008 -2.028305
4352 0.0000008492 0.351427 2.080692 -2.950246 -3.150985 -2.028306
4409 0.0000007889 0.351439 2.080680 -2.950212 -3.150973 -2.028289
4535 0.0000007797 0.351457 2.080662 -2.950269 -3.150996 -2.028277
4585 0.0000007760 0.351393 2.080661 -2.950274 -3.150954 -2.028254
