evaluations raw_y x0 x1 x2 x3 x4
1 129.8744527537 -0.256963 -0.559483 4.982950 -3.186537 2.058510
2 7.9339599290 0.902437 3.404636 -2.177620 -0.296612 2.991204
3 2.9678874462 3.521405 0.627073 3.315620 3.862617 -0.277691
64 2.3753397112 4.328986 0.088353 2.316613 4.533816 -2.791729
83 2.0609538973 4.859726 -0.578487 1.362163 2.823897 0.793242
143 1.2811942374 3.844820 -1.113074 1.771073 4.396553 0.310356
217 1.0656963547 3.949598 -0.210738 0.505689 4.525258 0.166705
228 0.8180357544 4.352476 -0.270389 0.802035 5.000000 -0.301782
252 0.8040952588 4.928276 -0.503764 1.311737 4.733132 -0.009713
294 0.7647162166 4.620439 0.409331 0.927852 4.850274 -0.188826
309 0.5975402182 4.899755 0.019835 1.280537 4.641525 -0.513671
392 0.5403677564 4.828485 0.182919 1.180029 4.566662 -0.366705
403 0.4631542699 4.931661 0.355220 1.071450 4.893644 -0.366705
498 0.3123288316 4.982378 -0.345183 0.960813 4.742619 -0.276591
617 0.2661165194 4.963804 -0.109575 1.094018 4.715056 -0.330339
645 0.2648648629 5.000000 -0.005729 1.074373 4.514882 -0.220976
735 0.1895790148 4.901213 0.018734 1.003747 4.559581 -0.347768
841 0.1866380295 4.931137 0.037640 1.103493 4.518918 -0.329567
931 0.1221818083 4.887276 0.018950 1.053919 4.622309 -0.318917
1010 0.1214032942 4.857943 -0.151158 1.033974 4.481017 -0.236204
1018 0.1175573196 4.884109 0.007026 1.050677 4.612546 -0.325132
1026 0.0975781116 4.881924 0.014356 1.057426 4.627949 -0.332096
1135 0.0740541830 4.890950 0.007276 1.033627 4.597652 -0.326505
1223 0.0655768307 4.907582 0.008477 1.018076 4.594917 -0.339062
1271 0.0489532485 4.874817 0.009005 1.013657 4.577914 -0.347331
1337 0.0331378816 4.882503 0.017554 1.020329 4.619770 -0.358711
1352 0.0136706815 4.891636 0.012003 1.019620 4.607251 -0.352616
1550 0.0062602254 4.888546 0.012854 1.028916 4.612586 -0.348218
1577 0.0044989342 4.891268 0.012217 1.026511 4.612106 -0.350741
1622 0.0023723974 4.892309 0.010927 1.028502 4.612284 -0.347801
1711 0.0020650203 4.894885 0.008855 1.026078 4.607329 -0.346172
1785 0.0015907066 4.893951 0.010327 1.026919 4.608755 -0.347125
1813 0.0011737118 4.891964 0.010083 1.025509 4.608166 -0.348230
1891 0.0003052592 4.892264 0.010369 1.027663 4.608324 -0.347801
1947 0.0002623124 4.892635 0.009808 1.027630 4.606832 -0.347866
2003 0.0002000261 4.892697 0.009742 1.027979 4.607663 -0.347711
2159 0.0001823038 4.892738 0.010068 1.027496 4.607703 -0.347915
2201 0.0001540049 4.892591 0.009842 1.027675 4.607848 -0.347683
2237 0.0001116194 4.892482 0.010053 1.027846 4.607941 -0.347878
2246 0.0001079791 4.892721 0.010077 1.027857 4.608361 -0.347885
2257 0.0000975258 4.892896 0.010071 1.027666 4.608243 -0.347751
2372 0.0000681606 4.892669 0.009900 1.027563 4.607602 -0.347735
2432 0.0000411261 4.892775 0.009815 1.027542 4.607688 -0.347815
2498 0.0000177978 4.892745 0.009907 1.027728 4.607817 -0.347786
2593 0.0000071667 4.892805 0.009892 1.027699 4.607830 -0.347751
