evaluations raw_y x0 x1 x2 x3 x4
1 5.6375584808 -2.781118 -2.556161 1.999366 -4.869850 -3.884597
25 4.1331597234 0.195487 3.629900 -1.112921 -3.946833 -4.896450
29 3.2149036396 1.602759 -2.533283 -4.899008 -3.612374 -3.561118
92 3.0093136469 0.503496 -2.001540 -4.433383 -1.812109 0.016451
116 1.8680615014 1.751861 3.025613 -1.346860 -4.056924 -4.242326
122 1.7846355869 -0.945647 5.000000 -0.124162 -3.762196 -1.907683
231 1.7368494411 -0.174326 4.156175 -1.950046 -2.990182 -1.494933
280 1.7156105374 -0.170532 3.605646 -2.912443 -2.380291 -1.444438
319 1.6291720333 -0.462913 4.261699 -1.899550 -2.585916 -1.582124
372 0.8286490931 0.527677 2.571771 -2.403787 -3.038317 -2.587727
460 0.7118920491 0.178502 2.126557 -2.806538 -3.806276 -1.804823
566 0.4924059227 0.276729 1.819102 -3.051604 -2.746158 -2.027149
783 0.3749224320 0.276729 2.119852 -2.929289 -3.480971 -1.870542
793 0.3641857547 0.296193 2.123108 -2.576760 -3.493059 -2.198770
883 0.1650370480 0.346712 2.118401 -3.014015 -3.272250 -1.905029
1002 0.1247585982 0.269273 2.055208 -2.928182 -3.218287 -1.987798
1056 0.1048376919 0.368750 2.094586 -2.923947 -3.289457 -2.025384
1149 0.0837909432 0.341927 2.038561 -2.981269 -3.079147 -2.051519
1172 0.0823165542 0.328453 2.088644 -2.977931 -3.190641 -1.979270
1190 0.0629926359 0.379123 2.120163 -2.959372 -3.245764 -1.993197
1192 0.0251131984 0.337540 2.051335 -2.962802 -3.116076 -2.037399
1367 0.0190980453 0.337624 2.066678 -2.980254 -3.143756 -1.996214
1372 0.0121497807 0.358016 2.064490 -2.942584 -3.156164 -2.035375
1481 0.0080665579 0.345917 2.064682 -2.947660 -3.135371 -2.022847
1484 0.0055317937 0.357152 2.066636 -2.955765 -3.152419 -2.033862
1509 0.0048686870 0.350055 2.078807 -2.946769 -3.140860 -2.038450
1562 0.0012129200 0.348728 2.076560 -2.953608 -3.148107 -2.025722
1690 0.0009070862 0.350301 2.079069 -2.949719 -3.147902 -2.031398
1735 0.0004427709 0.352086 2.080936 -2.948468 -3.150232 -2.028225
1893 0.0002592798 0.350541 2.079407 -2.948011 -3.153291 -2.028844
1930 0.0000777041 0.351557 2.080993 -2.950269 -3.150609 -2.028896
2213 0.0000229485 0.351906 2.081237 -2.950355 -3.151164 -2.028251
2349 0.0000138302 0.351410 2.080458 -2.950308 -3.150639 -2.028290
2421 0.0000128827 0.351645 2.080664 -2.950127 -3.150907 -2.028196
2423 0.0000088773 0.351588 2.080863 -2.950197 -3.150971 -2.028360
2461 0.0000049487 0.351441 2.080676 -2.950419 -3.150806 -2.028260
2549 0.0000039237 0.351359 2.080583 -2.950248 -3.150801 -2.028336
2628 0.0000034057 0.351383 2.080780 -2.950250 -3.150956 -2.028263
2652 0.0000028051 0.351390 2.080623 -2.950215 -3.150839 -2.028330
2758 0.0000020845 0.351408 2.080657 -2.950286 -3.150988 -2.028196
2783 0.0000011291 0.351428 2.080656 -2.950246 -3.150913 -2.028232
2864 0.0000010164 0.351437 2.080678 -2.950277 -3.150880 -2.028239
2911 0.0000006055 0.351457 2.080691 -2.950301 -3.150893 -2.028241
2918 0.0000004494 0.351414 2.080671 -2.950256 -3.150940 -2.028247
2972 0.0000003118 0.351456 2.080677 -2.950280 -3.150898 -2.028241
3026 0.0000003112 0.351447 2.080720 -2.950291 -3.150960 -2.028243
3050 0.0000002084 0.351437 2.080706 -2.950260 -3.150950 -2.028254
3095 0.0000001858 0.351432 2.080690 -2.950238 -3.150971 -2.028273
3124 0.0000001170 0.351440 2.080684 -2.950251 -3.150949 -2.028265
3172 0.0000001150 0.351444 2.080698 -2.950280 -3.150949 -2.028265
3331 0.0000000954 0.351449 2.080702 -2.950250 -3.150953 -2.028268
3344 0.0000000892 0.351444 2.080695 -2.950284 -3.150936 -2.028255
3387 0.0000000297 0.351440 2.080698 -2.950256 -3.150963 -2.028268
3440 0.0000000251 0.351448 2.080707 -2.950260 -3.150959 -2.028264
3445 0.0000000082 0.351442 2.080705 -2.950266 -3.150953 -2.028262
3557 0.0000000009 0.351443 2.080703 -2.950268 -3.150949 -2.028262
3848 0.0000000006 0.351444 2.080703 -2.950266 -3.150951 -2.028263
3956 0.0000000002 0.351443 2.080704 -2.950267 -3.150951 -2.028264
4343 0.0000000001 0.351443 2.080703 -2.950267 -3.150951 -2.028263
10000 0.0000000001 0.351443 2.080703 -2.950268 -3.150951 -2.028263
