evaluations raw_y x0 x1 x2 x3 x4
1 15.8770036951 0.359270 2.944530 -0.274036 3.877511 -4.336548
2 2.5572830399 0.702815 -0.696757 -4.890019 -0.518730 1.269188
40 2.0672909756 1.076772 0.219110 -4.362580 -1.212601 -0.040554
66 1.3558192608 2.417544 -4.145789 -3.340689 -0.639458 -0.943632
124 0.9556460345 1.601039 -0.272786 -2.965958 1.599230 -0.345577
137 0.4674142595 1.669453 -3.398410 -4.384274 1.133663 -0.104970
248 0.4576613641 1.032925 -3.786015 -5.000000 2.081845 -0.036452
257 0.3076554466 1.465631 -4.062165 -4.644420 1.470872 -0.578667
320 0.2592571502 1.898515 -3.984680 -4.570304 1.090138 -0.375326
338 0.2295652513 1.882741 -3.786015 -4.683870 1.163113 -0.265937
359 0.1182272054 1.363086 -3.712435 -4.573274 1.338509 -0.277675
489 0.0924588359 1.371998 -3.830853 -4.391200 1.506148 -0.330909
626 0.0670644650 1.451436 -3.467437 -4.225905 1.410174 -0.283681
650 0.0634484794 1.411415 -3.806336 -4.328697 1.513578 -0.302377
663 0.0205292090 1.505233 -3.809767 -4.290899 1.381645 -0.293590
809 0.0106645953 1.514525 -3.640903 -4.211606 1.363063 -0.287771
824 0.0104985876 1.504041 -3.659419 -4.261514 1.385812 -0.283934
825 0.0069656145 1.526654 -3.659592 -4.247248 1.374021 -0.276823
923 0.0048086743 1.525639 -3.687966 -4.248776 1.356190 -0.282120
953 0.0036054477 1.490073 -3.695323 -4.229464 1.382021 -0.293945
960 0.0032671282 1.493650 -3.696249 -4.245315 1.379136 -0.293092
973 0.0018892748 1.538125 -3.678251 -4.235770 1.367787 -0.284686
983 0.0013640159 1.504285 -3.695773 -4.240525 1.376743 -0.295640
994 0.0006286309 1.515230 -3.679203 -4.251959 1.368812 -0.294943
1029 0.0005103077 1.515765 -3.687438 -4.246259 1.371120 -0.297875
1083 0.0004530278 1.522857 -3.687465 -4.240864 1.364380 -0.297823
1103 0.0002579552 1.517918 -3.678509 -4.247944 1.367293 -0.295703
1173 0.0000463585 1.519606 -3.678495 -4.237341 1.365852 -0.297379
1315 0.0000158027 1.521587 -3.679095 -4.235299 1.367713 -0.294539
1335 0.0000090665 1.520868 -3.680013 -4.236431 1.367255 -0.295411
1365 0.0000088780 1.520870 -3.679986 -4.236371 1.367290 -0.295406
1506 0.0000038497 1.520812 -3.678766 -4.235435 1.367838 -0.295683
1540 0.0000019920 1.520420 -3.679082 -4.236983 1.367382 -0.295646
1655 0.0000019879 1.520698 -3.679191 -4.236235 1.367826 -0.295593
1681 0.0000017835 1.521174 -3.678437 -4.235820 1.367385 -0.295712
1721 0.0000017109 1.520983 -3.678717 -4.236121 1.367263 -0.295898
1726 0.0000010755 1.520879 -3.678635 -4.236416 1.367151 -0.295690
1743 0.0000007809 1.521242 -3.678759 -4.236294 1.367333 -0.295623
1759 0.0000002277 1.520906 -3.678705 -4.236132 1.367439 -0.295648
1873 0.0000001657 1.520958 -3.678496 -4.236125 1.367379 -0.295630
1935 0.0000001047 1.520981 -3.678628 -4.236159 1.367410 -0.295629
1938 0.0000000811 1.520912 -3.678596 -4.236153 1.367372 -0.295615
2011 0.0000000708 1.520868 -3.678696 -4.236196 1.367401 -0.295631
2041 0.0000000520 1.520868 -3.678675 -4.236193 1.367393 -0.295630
2060 0.0000000321 1.520892 -3.678635 -4.236146 1.367393 -0.295624
2085 0.0000000275 1.520889 -3.678648 -4.236157 1.367416 -0.295628
2118 0.0000000201 1.520883 -3.678608 -4.236150 1.367402 -0.295622
2176 0.0000000199 1.520893 -3.678617 -4.236169 1.367403 -0.295626
2240 0.0000000132 1.520888 -3.678631 -4.236156 1.367401 -0.295625
2250 0.0000000080 1.520889 -3.678610 -4.236158 1.367400 -0.295627
2300 0.0000000062 1.520885 -3.678624 -4.236150 1.367402 -0.295626
2343 0.0000000050 1.520879 -3.678618 -4.236150 1.367398 -0.295628
2366 0.0000000044 1.520887 -3.678627 -4.236152 1.367399 -0.295628
2413 0.0000000043 1.520893 -3.678619 -4.236154 1.367399 -0.295628
2482 0.0000000037 1.520883 -3.678623 -4.236153 1.367404 -0.295628
2506 0.0000000032 1.520889 -3.678621 -4.236151 1.367403 -0.295627
2512 0.0000000021 1.520885 -3.678622 -4.236154 1.367400 -0.295628
2531 0.0000000014 1.520888 -3.678619 -4.236151 1.367402 -0.295628
2562 0.0000000012 1.520886 -3.678619 -4.236150 1.367400 -0.295627
2604 0.0000000007 1.520887 -3.678619 -4.236151 1.367401 -0.295628
2656 0.0000000002 1.520887 -3.678618 -4.236149 1.367401 -0.295628
3070 0.0000000001 1.520887 -3.678618 -4.236149 1.367401 -0.295628
10000 0.0000438564 1.520796 -3.676030 -4.234659 1.367908 -0.295236
