evaluations raw_y x0 x1 x2 x3 x4
1 23.7620637314 4.793634 4.960331 1.142397 1.463175 4.332104
2 8.2214296317 0.453506 1.136216 -2.892623 -0.895160 2.830616
6 7.9376629361 0.097030 4.636384 -0.666312 2.082864 -3.581613
8 4.3549539142 -3.148269 -1.100270 0.008318 -3.271957 -0.895510
41 3.4389446552 0.257096 3.918373 -0.444973 -5.000000 -3.268151
78 2.7344363305 0.078389 3.195072 -0.005551 -2.747856 -4.173116
144 2.5124257932 2.194858 3.042030 -1.424720 -1.851243 -5.000000
163 2.3788817455 1.635293 3.098142 -0.082760 -5.000000 -5.000000
169 1.8994429636 0.159778 2.710256 -0.494761 -3.124555 -4.168596
245 1.8121451779 1.091087 3.125852 -1.056012 -3.827536 -4.034235
319 1.7958117915 1.096089 4.374625 -1.045792 -2.909733 -3.306320
333 1.7491846015 0.994614 3.960430 -1.104279 -2.113041 -3.826124
340 1.7258350219 1.309432 3.065847 -1.425508 -3.795167 -3.499512
343 1.3484277659 0.630687 3.255526 -1.143874 -2.647762 -3.712697
431 1.3440024640 0.580267 3.299703 -1.202304 -3.318797 -3.355543
461 1.2201269336 0.968367 3.957742 -0.954803 -3.045966 -3.825729
519 1.1636354513 0.774327 2.141238 -1.855333 -4.168794 -3.108477
567 0.8176342781 0.509604 2.146120 -2.064783 -4.689349 -2.380384
588 0.7409719782 0.364956 2.338470 -2.057502 -4.312281 -2.276591
634 0.6594914799 0.505722 2.314025 -2.130048 -4.374598 -2.337878
717 0.5594159452 0.494753 2.420177 -2.140852 -4.089498 -2.438845
731 0.4320060920 0.414385 2.221259 -2.218999 -4.155792 -2.364273
776 0.3948517430 0.349512 2.230550 -2.412283 -3.957824 -2.115457
881 0.3382890781 0.368120 2.114885 -2.297918 -4.042938 -2.364273
953 0.3177635771 0.436417 2.199858 -2.432455 -3.622134 -2.356484
988 0.3100027850 0.422317 2.165942 -2.293807 -3.971733 -2.388818
1003 0.2964223958 0.442866 2.242518 -2.438048 -3.734036 -2.316232
1004 0.2362039744 0.379043 2.167520 -2.709149 -3.342701 -2.151704
1064 0.1830004856 0.317372 2.128487 -2.842275 -3.342701 -2.074298
1088 0.1584201436 0.355785 2.067390 -2.787010 -3.281184 -2.081743
1097 0.0536702817 0.360560 2.102198 -2.937045 -3.242966 -2.024364
1234 0.0102488103 0.368330 2.089693 -2.958552 -3.156140 -2.033640
1324 0.0090852500 0.363022 2.084263 -2.958552 -3.131950 -2.033640
1419 0.0081988546 0.350263 2.085546 -2.936444 -3.190609 -2.026447
1482 0.0049211780 0.361092 2.086097 -2.946456 -3.155400 -2.032747
