evaluations raw_y x0 x1 x2 x3 x4
1 8.6015836174 -3.942017 1.563007 3.330265 4.780324 2.485550
2 1.9854448511 -3.038250 -0.473579 -2.085947 1.338357 2.386310
31 0.2649178729 0.526049 -0.273397 -2.778508 4.810097 -3.595002
189 0.2255201730 0.427861 -0.250105 -2.798538 4.810097 -3.614552
228 0.1199603568 -0.807090 -1.234668 -1.696770 4.818000 -2.816104
364 0.0843389471 -0.262207 -0.707153 -2.018268 4.766094 -2.992446
365 0.0837233193 -0.236475 -0.696401 -1.993284 4.766094 -2.978542
376 0.0806070643 -0.222272 -0.702850 -1.984865 4.756148 -2.959728
465 0.0748690908 -0.234203 -0.696401 -1.993284 4.736974 -2.697747
517 0.0583612583 -0.380576 -0.942677 -2.297642 4.575422 -2.850325
530 0.0491444255 -0.010496 -0.747852 -2.194832 4.658347 -2.980660
580 0.0463457251 -0.166180 -0.770286 -2.048482 4.680848 -2.980660
605 0.0439475419 -0.226904 -0.680814 -1.952786 4.545861 -3.395782
615 0.0228782334 -0.137740 -0.759968 -2.188025 4.556296 -2.697747
683 0.0181391942 -0.090874 -0.787585 -2.061407 4.570334 -2.816273
687 0.0167095397 -0.050561 -0.849978 -2.091441 4.520383 -2.751049
697 0.0164052943 -0.046716 -0.847986 -2.098125 4.518549 -2.748747
786 0.0099969784 0.244602 -0.590176 -2.045278 4.403449 -3.163467
797 0.0090173763 0.144138 -0.700362 -2.118861 4.386301 -3.124488
816 0.0074328590 0.211367 -0.785868 -2.136857 4.333423 -3.273448
827 0.0060185842 0.353690 -0.674952 -2.112346 4.341792 -3.109167
841 0.0059064714 0.250902 -0.663983 -2.239625 4.416866 -2.986430
845 0.0024974249 0.327568 -0.755011 -2.184056 4.413085 -3.050204
883 0.0014288827 0.160038 -0.780000 -2.138667 4.443093 -3.087142
935 0.0013862485 0.159535 -0.782163 -2.138156 4.442681 -3.085521
952 0.0013771840 0.160774 -0.784616 -2.139137 4.442413 -3.084667
959 0.0007294223 0.229598 -0.783935 -2.193221 4.403159 -3.088355
963 0.0007164514 0.229413 -0.782446 -2.192853 4.403257 -3.087095
969 0.0007111114 0.230577 -0.785863 -2.192675 4.403334 -3.087739
1019 0.0001948923 0.221094 -0.785863 -2.150404 4.414573 -3.102433
1101 0.0001675231 0.243228 -0.759411 -2.141383 4.406810 -3.113602
1251 0.0001452705 0.264753 -0.755012 -2.152835 4.403327 -3.100554
1275 0.0001428472 0.281325 -0.766771 -2.154252 4.393554 -3.073439
1301 0.0001360955 0.264753 -0.774705 -2.143125 4.394857 -3.116062
1307 0.0000583659 0.250043 -0.768565 -2.120571 4.408105 -3.087570
1313 0.0000580511 0.250437 -0.768704 -2.120828 4.407939 -3.087238
1455 0.0000552982 0.249532 -0.768955 -2.120614 4.408306 -3.087913
1488 0.0000495106 0.253524 -0.769462 -2.122783 4.406347 -3.113355
1545 0.0000213903 0.250189 -0.769135 -2.130702 4.403314 -3.088943
1576 0.0000032389 0.250155 -0.768356 -2.130095 4.404173 -3.097301
1753 0.0000032301 0.250216 -0.768312 -2.130047 4.404177 -3.097320
1776 0.0000027487 0.252082 -0.767909 -2.129055 4.403925 -3.100075
1847 0.0000027278 0.251235 -0.767964 -2.129371 4.404005 -3.100076
1869 0.0000023813 0.252485 -0.768171 -2.129783 4.404126 -3.098930
1890 0.0000021961 0.251686 -0.768039 -2.129520 4.404049 -3.099663
1894 0.0000020090 0.251770 -0.768420 -2.129659 4.404064 -3.100968
1944 0.0000019746 0.251720 -0.768462 -2.129680 4.404064 -3.100873
1965 0.0000019646 0.251706 -0.768435 -2.129529 4.403983 -3.100846
1968 0.0000009655 0.250836 -0.770596 -2.129536 4.404115 -3.098036
2000 0.0000003518 0.250401 -0.770995 -2.129269 4.404767 -3.097032
2063 0.0000002753 0.250101 -0.771048 -2.129085 4.404806 -3.097435
2123 0.0000002746 0.250095 -0.771038 -2.129096 4.404811 -3.097384
2168 0.0000000982 0.249657 -0.771131 -2.129525 4.405056 -3.097042
2241 0.0000000950 0.249646 -0.771138 -2.129515 4.405056 -3.097010
2262 0.0000000804 0.249534 -0.771161 -2.129555 4.405122 -3.096833
2348 0.0000000773 0.249540 -0.771164 -2.129551 4.405125 -3.096849
2391 0.0000000745 0.249205 -0.771240 -2.129515 4.405056 -3.097232
2399 0.0000000712 0.248968 -0.771314 -2.129447 4.405358 -3.097039
2400 0.0000000529 0.249239 -0.771269 -2.129385 4.405315 -3.097186
2407 0.0000000527 0.248976 -0.771561 -2.129345 4.405425 -3.096935
2409 0.0000000441 0.249215 -0.771342 -2.129345 4.405355 -3.097179
2452 0.0000000330 0.249278 -0.771493 -2.129264 4.405372 -3.096859
2463 0.0000000325 0.249079 -0.771424 -2.129618 4.405367 -3.097089
2523 0.0000000287 0.249078 -0.771420 -2.129596 4.405321 -3.097123
2549 0.0000000226 0.249170 -0.771404 -2.129447 4.405358 -3.097160
2598 0.0000000220 0.249137 -0.771402 -2.129451 4.405376 -3.097167
2662 0.0000000174 0.249306 -0.771516 -2.129436 4.405174 -3.097009
2694 0.0000000143 0.249251 -0.771532 -2.129396 4.405193 -3.097129
2878 0.0000000138 0.249224 -0.771608 -2.129424 4.405325 -3.097069
2888 0.0000000081 0.249210 -0.771570 -2.129450 4.405197 -3.097127
2922 0.0000000068 0.249184 -0.771555 -2.129442 4.405219 -3.097109
2953 0.0000000064 0.249177 -0.771509 -2.129412 4.405273 -3.097075
2954 0.0000000063 0.249176 -0.771510 -2.129411 4.405273 -3.097075
2973 0.0000000049 0.249195 -0.771479 -2.129406 4.405240 -3.097045
3022 0.0000000046 0.249203 -0.771552 -2.129408 4.405225 -3.097073
3061 0.0000000040 0.249188 -0.771545 -2.129410 4.405224 -3.097074
3159 0.0000000038 0.249172 -0.771544 -2.129410 4.405221 -3.097075
