evaluations raw_y x0 x1 x2 x3 x4
1 9.6615218161 -0.962346 2.327190 3.496997 -3.086123 -2.777865
3 6.9424737414 -2.827125 4.866606 2.213718 -1.621600 -2.229385
5 3.2474790080 1.577539 3.737168 -3.078530 2.963829 -3.044992
184 3.0331776324 1.549732 3.737168 -3.063298 2.963766 -3.046264
194 1.4896178277 0.112048 1.738442 -3.129672 -1.260949 -2.965923
273 1.3903870959 0.131756 1.721256 -3.120775 -1.255532 -2.988213
284 1.3770149178 0.126937 1.682995 -3.078042 -1.300547 -3.046264
327 1.3199680552 0.138451 1.673099 -3.037084 -1.300362 -3.043785
494 1.0057419771 0.328352 1.738442 -3.149789 -1.005547 -2.965923
505 0.9493904088 0.521246 1.955374 -3.298484 -1.012278 -2.868129
569 0.8619599291 0.224905 1.466417 -3.505947 -0.094829 -3.002910
671 0.6946099603 0.436361 2.027151 -3.345386 -1.272765 -2.475229
717 0.6701564021 0.716137 2.131829 -3.179031 -1.297261 -2.881659
827 0.6470297781 0.715053 2.151822 -3.162377 -1.304041 -2.883631
884 0.5841558528 0.774445 2.187155 -3.115945 -1.313660 -2.972190
1003 0.5090155842 0.783493 2.207728 -3.109014 -1.289791 -2.982507
1071 0.4612283346 0.632993 2.027151 -3.354412 -1.215859 -2.702743
1298 0.4580998921 0.632531 2.026225 -3.355917 -1.214999 -2.701492
1326 0.4522774409 0.633987 2.025904 -3.350616 -1.218665 -2.706761
1364 0.4496310115 0.637294 2.025251 -3.348562 -1.218960 -2.710863
1427 0.4436018853 0.638618 2.027766 -3.344318 -1.217579 -2.715752
1547 0.4335393544 0.639240 2.028231 -3.341972 -1.218968 -2.717937
1594 0.4270149614 0.639746 2.028599 -3.341892 -1.219360 -2.718117
1639 0.4264944948 0.639813 2.028913 -3.341586 -1.220344 -2.718183
1648 0.4137181298 0.661262 2.060358 -3.345989 -1.241738 -2.709641
1664 0.4135977992 0.661269 2.060363 -3.345983 -1.241743 -2.709648
1845 0.4111522039 0.650416 2.052535 -3.344499 -1.228362 -2.713141
1944 0.4104554914 0.647724 2.051491 -3.343400 -1.222332 -2.718117
2046 0.4095428932 0.661303 2.074400 -3.360974 -1.237437 -2.698035
2084 0.4038775687 0.657433 2.057111 -3.348142 -1.236920 -2.713522
2227 0.3991151903 0.650362 2.047446 -3.348137 -1.229988 -2.713145
2282 0.3975680162 0.656725 2.057538 -3.345924 -1.235220 -2.717984
2371 0.3972342379 0.658025 2.059590 -3.348047 -1.234933 -2.715714
2469 0.3963495831 0.658053 2.059619 -3.347944 -1.234981 -2.715845
2495 0.3953518494 0.657938 2.059470 -3.347947 -1.234704 -2.715832
2532 0.3948589173 0.657920 2.059467 -3.347850 -1.234847 -2.715922
2544 0.3919394612 0.656844 2.056329 -3.345197 -1.233240 -2.716956
2549 0.3873568905 0.656142 2.055680 -3.346166 -1.231564 -2.716568
2582 0.3872563657 0.656196 2.055716 -3.346172 -1.231606 -2.716536
2663 0.3871444601 0.656180 2.055696 -3.346169 -1.231569 -2.716538
2781 0.3869919218 0.656214 2.055736 -3.346187 -1.231593 -2.716514
2935 0.3868070116 0.656749 2.057165 -3.346264 -1.232977 -2.716817
3044 0.3864803355 0.656273 2.055950 -3.345472 -1.231470 -2.717092
3061 0.3855281027 0.656232 2.055769 -3.346252 -1.230917 -2.717007
3073 0.3850753256 0.657440 2.057608 -3.345794 -1.232741 -2.717015
3110 0.3850244456 0.657457 2.057642 -3.345796 -1.232769 -2.717013
3126 0.3849337157 0.657446 2.057632 -3.345805 -1.232747 -2.717013
3291 0.3841589599 0.657247 2.057391 -3.345495 -1.232707 -2.717265
3381 0.3837817920 0.657221 2.057362 -3.345418 -1.232765 -2.717291
3443 0.3837744062 0.657208 2.057345 -3.345416 -1.232753 -2.717292
3607 0.3837563512 0.657209 2.057349 -3.345421 -1.232759 -2.717290
3608 0.3836588361 0.658056 2.057714 -3.344636 -1.233356 -2.716813
3630 0.3834977140 0.658282 2.057791 -3.344277 -1.233784 -2.716759
3641 0.3833970447 0.658233 2.057833 -3.344292 -1.233631 -2.716827
3649 0.3825988399 0.657979 2.057538 -3.343842 -1.233917 -2.717093
3691 0.3819669082 0.658461 2.057510 -3.343336 -1.233755 -2.716913
3697 0.3808529420 0.658699 2.057390 -3.342774 -1.234048 -2.716839
3758 0.3808308701 0.658692 2.057396 -3.342793 -1.234043 -2.716839
3823 0.3805177073 0.658708 2.057408 -3.342797 -1.234041 -2.716834
3949 0.3805109910 0.658701 2.057411 -3.342816 -1.234037 -2.716835
3951 0.3803355787 0.658695 2.057459 -3.342744 -1.234286 -2.716875
4003 0.3802751416 0.658699 2.057458 -3.342729 -1.234295 -2.716876
4023 0.3802531299 0.658698 2.057457 -3.342725 -1.234296 -2.716876
4032 0.3802226870 0.658699 2.057457 -3.342727 -1.234292 -2.716875
4153 0.3800949793 0.658751 2.057503 -3.342819 -1.234120 -2.716847
4206 0.3799401339 0.658782 2.057533 -3.342754 -1.234354 -2.716837
4211 0.3798987917 0.658746 2.057682 -3.342894 -1.234426 -2.716879
4236 0.3797417997 0.658731 2.057488 -3.342834 -1.234125 -2.716815
4247 0.3797337201 0.658705 2.057430 -3.342794 -1.234125 -2.716817
4271 0.3796216240 0.658749 2.057669 -3.342879 -1.234408 -2.716872
4333 0.3795096825 0.658736 2.057579 -3.342875 -1.234273 -2.716860
4504 0.3793442227 0.658709 2.057590 -3.342945 -1.234300 -2.716860
4508 0.3793202575 0.658710 2.057590 -3.342945 -1.234299 -2.716859
4567 0.3793086293 0.658755 2.057585 -3.342888 -1.234321 -2.716826
4672 0.3791941460 0.658755 2.057562 -3.342894 -1.234258 -2.716823
4821 0.3790223555 0.658760 2.057574 -3.342888 -1.234254 -2.716823
4823 0.3789686989 0.658758 2.057555 -3.342854 -1.234271 -2.716832
4847 0.3789367154 0.658785 2.057587 -3.342852 -1.234329 -2.716826
4863 0.3789316433 0.658785 2.057588 -3.342852 -1.234329 -2.716826
4957 0.3788772596 0.658769 2.057557 -3.342845 -1.234278 -2.716828
5007 0.3788662797 0.658769 2.057557 -3.342845 -1.234277 -2.716827
5089 0.3787661450 0.658775 2.057579 -3.342872 -1.234270 -2.716820
5112 0.3787125981 0.658769 2.057583 -3.342863 -1.234298 -2.716832
5187 0.3787100707 0.658769 2.057583 -3.342863 -1.234297 -2.716832
5207 0.3787032032 0.658769 2.057583 -3.342863 -1.234298 -2.716832
5288 0.3786128161 0.658769 2.057577 -3.342869 -1.234290 -2.716829
5338 0.3786072171 0.658769 2.057578 -3.342870 -1.234291 -2.716829
5357 0.3786038180 0.658769 2.057578 -3.342870 -1.234291 -2.716829
5381 0.3786035364 0.658769 2.057578 -3.342870 -1.234290 -2.716829
5392 0.3785993444 0.658769 2.057578 -3.342870 -1.234290 -2.716829
5467 0.3785633372 0.658772 2.057573 -3.342865 -1.234280 -2.716827
5546 0.3785045382 0.658776 2.057578 -3.342862 -1.234294 -2.716826
5562 0.3784605569 0.658777 2.057583 -3.342867 -1.234296 -2.716825
5573 0.3784589699 0.658777 2.057583 -3.342867 -1.234296 -2.716825
5659 0.3784579976 0.658777 2.057583 -3.342867 -1.234296 -2.716825
5695 0.3784565194 0.658777 2.057582 -3.342867 -1.234296 -2.716826
5735 0.3784242150 0.658776 2.057583 -3.342867 -1.234295 -2.716828
5743 0.3784214888 0.658776 2.057583 -3.342867 -1.234295 -2.716828
5782 0.3784142177 0.658776 2.057582 -3.342869 -1.234291 -2.716827
5820 0.3784141217 0.658776 2.057583 -3.342869 -1.234292 -2.716826
