evaluations raw_y x0 x1 x2 x3 x4
1 6.6642529212 -0.054224 -2.354420 2.317474 -3.866454 1.072001
4 5.0145228745 -2.675151 0.796824 -0.044003 0.446266 -4.381642
5 3.5607115005 -4.698494 -2.417837 -0.368559 -3.699403 -0.534225
18 2.9815626674 3.518643 2.353482 -4.726649 -3.590710 -3.009915
24 2.2467687635 1.368902 1.405907 1.019379 -2.717068 -4.410476
25 2.2410592488 3.526566 0.293780 0.409308 -5.000000 -2.330359
27 2.0642313556 0.685995 2.217784 -2.142448 -1.620065 -4.682570
38 0.8675007281 0.379287 1.392768 -2.096881 -3.590710 -3.224867
73 0.0000001268 5.000000 4.011610 1.931837 -4.868635 -5.000000
84 0.0000001192 1.014948 5.000000 2.563850 -4.718003 -5.000000
94 0.0000001147 5.000000 3.373709 1.399282 -5.000000 -3.949043
96 0.0000001050 1.343890 4.700138 1.219224 -4.993903 -5.000000
117 0.0000001019 5.000000 3.867520 0.450531 -5.000000 -5.000000
122 0.0000000988 0.967030 4.902808 1.245162 -4.930255 -5.000000
131 0.0000000888 5.000000 3.866425 -1.484462 -5.000000 -5.000000
138 0.0000000721 1.429061 5.000000 -2.043945 -4.877728 -5.000000
185 0.0000000528 0.157796 2.324199 -1.800134 -4.738970 -5.000000
410 0.0000000523 -0.302443 2.716997 -1.709109 -4.997290 -4.902370
421 0.0000000520 0.112563 3.167593 -2.014653 -4.511587 -4.950620
446 0.0000000519 -0.118473 2.683641 -1.694573 -4.584243 -4.976375
455 0.0000000419 -0.764446 2.254578 -1.288390 -4.693112 -4.485007
495 0.0000000410 -0.594280 1.815084 -1.645501 -4.635858 -4.341433
764 0.0000000402 -0.652450 1.717702 -1.897526 -4.525763 -4.277675
856 0.0000000397 -0.721487 1.863901 -2.093924 -4.472684 -4.533535
878 0.0000000388 -0.616182 1.996935 -2.069780 -4.580941 -4.617603
943 0.0000000386 -0.751761 2.030122 -1.594307 -4.608110 -4.234230
964 0.0000000368 -0.727024 1.944240 -1.267064 -4.798131 -3.501216
1104 0.0000000287 -0.745981 1.799421 -2.030194 -4.355235 -3.297577
1517 0.0000000282 -0.808784 1.949160 -2.138000 -4.291486 -3.664204
1711 0.0000000254 -0.766335 1.798907 -2.188052 -4.257123 -3.269983
1800 0.0000000241 -0.800896 1.749893 -2.173806 -4.254753 -3.110922
1922 0.0000000235 -0.797586 1.756149 -2.162563 -4.275609 -3.189464
2065 0.0000000230 -0.789123 1.768149 -2.204946 -4.237711 -3.080842
2102 0.0000000205 -0.762265 1.781364 -2.175245 -4.249764 -3.139815
2334 0.0000000185 -0.814092 1.777398 -2.228532 -4.269276 -3.104279
2658 0.0000000179 -0.822964 1.727583 -2.198140 -4.224508 -3.019078
2749 0.0000000162 -0.826206 1.719418 -2.217401 -4.255953 -3.128256
3103 0.0000000158 -0.820274 1.721457 -2.214823 -4.253830 -3.079834
3216 0.0000000156 -0.812738 1.725948 -2.227190 -4.247026 -3.040362
3255 0.0000000150 -0.810489 1.724682 -2.229716 -4.236606 -3.065788
3275 0.0000000146 -0.818748 1.712456 -2.226983 -4.236606 -3.065788
3379 0.0000000132 -0.804685 1.716973 -2.227190 -4.244951 -3.019352
3554 0.0000000128 -0.803675 1.726463 -2.224534 -4.238849 -3.018654
3581 0.0000000111 -0.813967 1.710681 -2.227190 -4.227610 -3.019352
5499 0.0000000105 -0.826156 1.713955 -2.220333 -4.226583 -3.016655
5592 0.0000000095 -0.825959 1.710659 -2.220820 -4.229122 -3.017014
5663 0.0000000092 -0.826548 1.711257 -2.222757 -4.225545 -3.025971
10000 0.0000000202 -0.802808 1.765513 -2.216600 -4.250161 -3.071770
