evaluations raw_y x0 x1 x2 x3 x4
1 2.9014725285 -2.959424 -1.551629 -4.885978 0.198763 -0.043995
23 1.8812961318 -0.855056 5.000000 -1.326574 -2.283916 -0.984929
148 1.8465376257 -0.527720 4.758838 -1.914476 -1.486167 -1.345679
184 1.7377699814 -0.539219 2.886258 -2.995880 -3.156642 -2.347123
286 1.2263465605 0.469283 1.936675 -2.351849 -3.898458 -2.103221
306 0.8370727641 0.096655 1.936675 -2.558784 -3.958808 -2.172088
430 0.7671298295 0.596171 2.341336 -2.558784 -3.958808 -2.109223
537 0.6175474281 0.390340 2.404745 -3.187013 -3.214934 -2.032465
669 0.2508844193 0.391865 2.204376 -2.747912 -3.439820 -2.135134
841 0.1863860565 0.291363 2.146386 -2.975876 -3.147223 -1.907480
882 0.0742309865 0.359648 2.133999 -2.990904 -3.081339 -1.992758
1093 0.0420119706 0.372959 2.094779 -2.936070 -3.137389 -2.073625
1187 0.0309579254 0.374347 2.118268 -2.995038 -3.119392 -2.001913
1282 0.0258117222 0.370236 2.121616 -2.967938 -3.140637 -2.013277
1414 0.0230871885 0.347579 2.100948 -2.957231 -3.173045 -2.016836
1415 0.0162493388 0.363847 2.108263 -2.976079 -3.158050 -2.021529
1442 0.0125375671 0.375254 2.094938 -2.953548 -3.161555 -2.027937
1474 0.0095572300 0.362579 2.100948 -2.959083 -3.168638 -2.027228
1539 0.0077803218 0.363154 2.098948 -2.955489 -3.164822 -2.024388
1572 0.0071601710 0.363948 2.098646 -2.954541 -3.163885 -2.026995
1602 0.0039577338 0.357440 2.085320 -2.950203 -3.155470 -2.020458
1692 0.0034172212 0.354446 2.079410 -2.950685 -3.150007 -2.020669
1737 0.0029901710 0.356996 2.081871 -2.953469 -3.143942 -2.023227
1752 0.0028045610 0.354446 2.081370 -2.949189 -3.151580 -2.022515
1789 0.0023080771 0.357057 2.086129 -2.955758 -3.153762 -2.024092
1790 0.0011297747 0.356391 2.086465 -2.948826 -3.155861 -2.028815
1816 0.0009855889 0.356315 2.086183 -2.951826 -3.151800 -2.027856
1882 0.0008662739 0.354028 2.084348 -2.951843 -3.154520 -2.026554
1936 0.0007709437 0.354434 2.085220 -2.951694 -3.151061 -2.026646
1944 0.0007589293 0.352787 2.082015 -2.950080 -3.154692 -2.025953
1948 0.0006956878 0.353781 2.085121 -2.951066 -3.150974 -2.027697
1968 0.0004475655 0.353171 2.084249 -2.951755 -3.151436 -2.027697
1979 0.0002979567 0.352539 2.082419 -2.951829 -3.151308 -2.026800
2018 0.0002938075 0.351225 2.082279 -2.948438 -3.152669 -2.028240
2029 0.0002565226 0.351822 2.081319 -2.949968 -3.150087 -2.027505
2052 0.0001148156 0.352281 2.082010 -2.951379 -3.150447 -2.027741
2092 0.0000998783 0.352281 2.081950 -2.951379 -3.150796 -2.027741
2152 0.0000928600 0.352285 2.081576 -2.951220 -3.150062 -2.027913
2154 0.0000820619 0.351667 2.081556 -2.951053 -3.150820 -2.027845
2174 0.0000345547 0.351417 2.080795 -2.950633 -3.150354 -2.028255
2225 0.0000295183 0.351810 2.081062 -2.950173 -3.150819 -2.028187
2234 0.0000257335 0.351417 2.080601 -2.950364 -3.150337 -2.028255
2244 0.0000252431 0.351926 2.081138 -2.950310 -3.150876 -2.028218
2284 0.0000190099 0.351829 2.081140 -2.950310 -3.151247 -2.028308
2285 0.0000079336 0.351380 2.080657 -2.950173 -3.150769 -2.028396
2314 0.0000052752 0.351518 2.080838 -2.950481 -3.150832 -2.028208
2362 0.0000025630 0.351451 2.080726 -2.950207 -3.151107 -2.028306
2401 0.0000021415 0.351381 2.080680 -2.950259 -3.151018 -2.028264
2440 0.0000020387 0.351458 2.080644 -2.950220 -3.151068 -2.028303
2474 0.0000018746 0.351421 2.080727 -2.950272 -3.150939 -2.028320
2475 0.0000017377 0.351474 2.080776 -2.950333 -3.150883 -2.028239
2486 0.0000012001 0.351506 2.080745 -2.950254 -3.150943 -2.028275
2515 0.0000008392 0.351426 2.080709 -2.950268 -3.151005 -2.028291
2521 0.0000007929 0.351481 2.080754 -2.950326 -3.150930 -2.028243
2554 0.0000003382 0.351458 2.080691 -2.950277 -3.150939 -2.028281
2582 0.0000003279 0.351451 2.080708 -2.950244 -3.150998 -2.028277
2589 0.0000001962 0.351437 2.080694 -2.950240 -3.150984 -2.028280
2621 0.0000001688 0.351447 2.080697 -2.950248 -3.150947 -2.028257
2629 0.0000001433 0.351442 2.080709 -2.950258 -3.150981 -2.028271
2634 0.0000000399 0.351445 2.080699 -2.950273 -3.150953 -2.028262
2687 0.0000000243 0.351444 2.080705 -2.950263 -3.150963 -2.028267
2729 0.0000000185 0.351445 2.080704 -2.950258 -3.150965 -2.028267
2759 0.0000000110 0.351442 2.080704 -2.950265 -3.150959 -2.028266
2770 0.0000000082 0.351442 2.080706 -2.950267 -3.150960 -2.028265
2792 0.0000000044 0.351444 2.080701 -2.950267 -3.150951 -2.028261
2831 0.0000000034 0.351441 2.080699 -2.950264 -3.150949 -2.028263
2847 0.0000000030 0.351442 2.080699 -2.950265 -3.150950 -2.028264
2866 0.0000000009 0.351442 2.080703 -2.950268 -3.150950 -2.028264
2906 0.0000000005 0.351444 2.080703 -2.950268 -3.150950 -2.028263
2990 0.0000000003 0.351443 2.080702 -2.950267 -3.150951 -2.028264
3110 0.0000000002 0.351443 2.080703 -2.950268 -3.150951 -2.028263
3173 0.0000000001 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
