evaluations raw_y x0 x1 x2 x3 x4
1 29.3276965459 2.672918 -2.248100 4.048670 -0.047544 -1.816437
2 14.8115985246 -0.984993 4.610946 -1.128458 -1.369053 3.872081
13 9.5593617556 -3.745156 1.128195 -2.091703 3.711188 -4.980831
47 6.4702510627 -0.797016 1.969642 -1.217587 -0.168824 1.833821
78 4.4567891137 -5.000000 5.000000 -1.056742 -1.251454 -0.274427
176 3.6579263620 -3.258747 4.588974 3.620344 -0.513940 -0.405763
186 3.4155442398 -1.844100 4.303585 -0.715457 -1.196342 0.320425
212 3.2373497542 -2.860008 5.000000 1.024406 -1.716479 0.030319
324 2.8666183389 -3.885271 4.634198 0.572746 0.621557 -0.975512
362 2.3710827414 -2.634556 4.184598 0.618761 -1.442328 -0.907107
399 2.2238687585 -2.471832 2.953980 0.346504 0.442979 -0.455447
427 2.2087737121 -2.348314 3.088902 0.451275 0.338963 -0.255599
452 1.8574767615 -2.459395 3.112891 0.570788 0.248836 -0.405616
536 1.4776694812 -2.401949 2.782344 -0.252322 -0.270534 0.319285
566 0.7868565553 -3.108406 3.220156 1.061684 0.829427 0.056182
1460 0.6538113980 -2.939807 3.159701 0.765340 0.893478 0.073424
3693 0.6498824026 -2.299526 3.079893 -0.412305 0.658044 -0.162351
3995 0.6029153041 -2.477116 2.855846 -1.039172 0.802870 0.119402
4586 0.5971121647 -2.464247 3.206639 -0.965584 0.693895 0.236442
4758 0.4575062607 -2.470883 3.208717 -1.028065 0.693895 0.219109
4887 0.4052203666 -2.287966 2.932088 -0.761065 0.202258 0.254548
5926 0.3942890283 -2.568295 2.813335 -0.980665 0.923676 0.047946
9751 0.3763071330 -2.363756 2.932088 -1.167861 0.799278 0.262196
10000 3.2152848965 -2.200272 2.927389 -1.693457 0.533419 0.047946
