evaluations raw_y x0 x1 x2 x3 x4
1 10.6437151116 -4.291444 2.458809 -2.664854 -2.955919 3.465764
3 10.0948283497 4.111485 -3.327182 -0.148218 -1.177259 -0.807160
8 4.5475896194 -4.141523 0.946558 -0.389764 -0.559633 -1.704900
30 4.5271903636 -3.938239 0.661214 -1.254994 -1.076893 -1.866506
45 3.8370358767 2.468965 -2.678177 -5.000000 -1.046815 -3.853052
71 3.6988922890 -3.972538 2.323826 -0.871689 -3.162955 -1.385021
81 3.6773824353 3.226723 -1.388934 -5.000000 -3.951187 -3.095232
103 2.1704129117 2.103263 -0.627708 -3.916217 -2.449561 -4.267008
194 1.7289546663 -0.192495 1.115956 -2.673033 -3.944663 -1.883215
231 1.3636175616 1.629012 1.354431 -3.167991 -2.272964 -3.819809
441 0.9775335651 0.372039 2.646474 -2.936258 -4.356445 -2.235141
453 0.8239859997 0.485581 2.474130 -2.728175 -3.470629 -1.961509
524 0.6028050246 0.631712 2.085535 -2.966038 -2.350142 -2.605394
556 0.5364088098 0.352768 2.030092 -3.580252 -2.440651 -1.789604
601 0.4414626376 0.307558 2.038145 -3.552591 -2.548350 -1.688694
617 0.3934068941 0.214784 1.893201 -3.396388 -2.411410 -1.852622
716 0.3797712078 0.240868 2.155878 -3.009695 -3.302276 -1.752652
787 0.3657413760 0.400951 2.097852 -3.185914 -2.613388 -1.957790
869 0.3099833301 0.372803 2.153428 -2.964309 -2.938935 -2.131990
914 0.2170532824 0.359115 2.101012 -2.670822 -3.525712 -2.134816
1051 0.1776041586 0.321764 2.113427 -2.717019 -3.552588 -2.064788
1065 0.0902973504 0.380824 2.100461 -2.872230 -3.147286 -2.123668
1222 0.0776349151 0.305934 2.045046 -2.891735 -3.250823 -2.012584
1235 0.0573804943 0.297501 2.011207 -2.886271 -3.181106 -2.058548
1367 0.0527092164 0.349546 2.025315 -2.964859 -3.106788 -2.015054
1373 0.0474387180 0.363592 2.095644 -2.888471 -3.203453 -2.068243
1458 0.0331693991 0.366745 2.054138 -2.980229 -3.092183 -2.050438
1462 0.0317547579 0.333404 2.064406 -2.912922 -3.196319 -2.022852
1484 0.0311969682 0.349309 2.086306 -2.932114 -3.122456 -2.041800
1534 0.0283467952 0.348163 2.087776 -2.965931 -3.178665 -2.034417
1536 0.0221174726 0.349546 2.048310 -2.964859 -3.163218 -2.023637
1582 0.0102066024 0.362102 2.087776 -2.965931 -3.124615 -2.024076
1657 0.0041272944 0.353234 2.087475 -2.947543 -3.149672 -2.034142
1712 0.0037975523 0.353673 2.086418 -2.951131 -3.151518 -2.035629
1760 0.0034734078 0.359754 2.087475 -2.947543 -3.149672 -2.034142
1761 0.0013222014 0.350926 2.081426 -2.947834 -3.157565 -2.031703
1867 0.0010687411 0.351888 2.082674 -2.948908 -3.158447 -2.029149
1961 0.0009534786 0.350926 2.081426 -2.947834 -3.157102 -2.030269
2013 0.0005514958 0.354358 2.081932 -2.947832 -3.151352 -2.027364
2163 0.0005513898 0.351270 2.083667 -2.949165 -3.152106 -2.027880
2164 0.0004756838 0.353471 2.084100 -2.951746 -3.152600 -2.028204
2167 0.0004451820 0.349439 2.078383 -2.947995 -3.150150 -2.028500
2168 0.0002253851 0.351745 2.082217 -2.951627 -3.151636 -2.028113
2186 0.0001086286 0.351569 2.081648 -2.951084 -3.151155 -2.028013
2329 0.0001057233 0.351314 2.081415 -2.950703 -3.151228 -2.027714
2362 0.0000825326 0.351065 2.080900 -2.950347 -3.151836 -2.028318
2434 0.0000634064 0.351334 2.080979 -2.950663 -3.151451 -2.027986
2501 0.0000497830 0.351335 2.080811 -2.950149 -3.151433 -2.028685
2509 0.0000414398 0.351356 2.080760 -2.949966 -3.151374 -2.028658
2535 0.0000305691 0.351336 2.080611 -2.949881 -3.151256 -2.028658
2560 0.0000195495 0.351233 2.080424 -2.950202 -3.150605 -2.028405
2567 0.0000093672 0.351379 2.080837 -2.950469 -3.151096 -2.028312
2606 0.0000083593 0.351572 2.080931 -2.950474 -3.150925 -2.028153
2660 0.0000051889 0.351595 2.080929 -2.950474 -3.150884 -2.028199
2685 0.0000048385 0.351595 2.080920 -2.950474 -3.150889 -2.028202
2720 0.0000040716 0.351397 2.080588 -2.950343 -3.150783 -2.028265
2742 0.0000037568 0.351521 2.080637 -2.950294 -3.150981 -2.028265
2811 0.0000033848 0.351521 2.080660 -2.950330 -3.150995 -2.028265
2911 0.0000031164 0.351521 2.080663 -2.950343 -3.150959 -2.028289
2966 0.0000030910 0.351442 2.080730 -2.950340 -3.150860 -2.028303
2986 0.0000028170 0.351447 2.080745 -2.950349 -3.150891 -2.028319
3010 0.0000005115 0.351415 2.080673 -2.950308 -3.150901 -2.028248
3114 0.0000004450 0.351445 2.080666 -2.950254 -3.150951 -2.028267
3211 0.0000003327 0.351460 2.080692 -2.950254 -3.150939 -2.028245
3286 0.0000003256 0.351446 2.080678 -2.950262 -3.150924 -2.028247
3314 0.0000002504 0.351437 2.080686 -2.950271 -3.150917 -2.028248
3340 0.0000001862 0.351442 2.080694 -2.950245 -3.150964 -2.028279
3411 0.0000001277 0.351442 2.080694 -2.950252 -3.150954 -2.028275
3413 0.0000000810 0.351434 2.080694 -2.950260 -3.150948 -2.028259
3461 0.0000000477 0.351448 2.080706 -2.950255 -3.150962 -2.028266
3622 0.0000000243 0.351447 2.080705 -2.950270 -3.150942 -2.028265
3686 0.0000000227 0.351447 2.080704 -2.950270 -3.150942 -2.028267
3700 0.0000000145 0.351449 2.080705 -2.950269 -3.150952 -2.028260
3725 0.0000000065 0.351443 2.080705 -2.950267 -3.150950 -2.028265
3747 0.0000000025 0.351446 2.080703 -2.950268 -3.150950 -2.028262
3861 0.0000000012 0.351445 2.080703 -2.950268 -3.150949 -2.028262
3888 0.0000000009 0.351443 2.080700 -2.950266 -3.150949 -2.028263
3915 0.0000000007 0.351444 2.080705 -2.950270 -3.150950 -2.028263
3990 0.0000000006 0.351445 2.080704 -2.950268 -3.150951 -2.028262
4014 0.0000000005 0.351445 2.080705 -2.950268 -3.150950 -2.028263
4066 0.0000000003 0.351442 2.080702 -2.950268 -3.150950 -2.028262
4072 0.0000000002 0.351443 2.080704 -2.950267 -3.150951 -2.028263
4311 0.0000000001 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
