evaluations raw_y x0 x1 x2 x3 x4
1 1.1244976902 2.764460 4.594299 0.233434 3.726605 -4.437835
13 0.9944082225 2.272465 2.320373 -2.066194 3.001653 -4.599686
26 0.3639599519 3.616038 1.654096 -0.262907 0.297395 -4.506533
154 0.2548556762 4.899105 3.254644 -4.001238 -0.230354 -4.619808
184 0.2429822849 2.267012 3.254083 -3.941658 -0.210302 -4.593941
192 0.2170041734 5.000000 3.430748 -4.169131 0.041218 -4.549819
201 0.2154954504 4.832238 3.358628 -4.169131 -0.141958 -4.619727
230 0.2129787107 4.564951 3.557141 -5.000000 -0.638759 -4.599798
258 0.1894942515 4.280970 2.001198 -4.343852 -0.650189 -4.606872
313 0.0986191345 5.000000 3.360022 -2.447043 -0.563704 -4.458568
330 0.0609384174 3.533908 3.557141 -3.659766 -0.638759 -4.508874
345 0.0438240440 3.448276 4.022330 -3.800074 -0.652633 -4.466555
496 0.0243864545 4.632288 3.784493 -3.355965 -0.692283 -4.487647
551 0.0133868054 5.000000 4.342718 -3.411804 -0.688993 -4.479036
702 0.0067497669 4.956041 4.360052 -3.438778 -0.683549 -4.481958
716 0.0055991658 4.944868 4.328738 -3.477670 -0.680505 -4.482194
1007 0.0051116096 4.857371 4.342469 -3.491082 -0.672941 -4.481828
1103 0.0047473404 5.000000 4.484138 -3.493552 -0.676286 -4.483566
1130 0.0046018366 4.856474 4.624323 -3.528448 -0.672331 -4.482016
1135 0.0039364903 4.744566 4.639787 -3.503249 -0.673852 -4.481907
1182 0.0018041222 4.736697 4.532005 -3.504587 -0.675602 -4.482058
1330 0.0017368052 4.747246 4.531676 -3.505895 -0.676289 -4.482166
1346 0.0015986771 4.747602 4.525431 -3.504452 -0.675922 -4.482250
1425 0.0015915507 4.799801 4.464042 -3.502894 -0.675472 -4.482118
1456 0.0012319353 4.856998 4.483049 -3.501190 -0.675919 -4.482172
1548 0.0006616597 4.866182 4.499552 -3.506660 -0.675078 -4.482256
1583 0.0005678674 4.909002 4.499044 -3.506505 -0.674832 -4.482158
1625 0.0005526547 4.911001 4.498209 -3.506462 -0.674818 -4.482162
1666 0.0004010480 4.958978 4.489033 -3.508280 -0.675790 -4.482356
1697 0.0001247033 4.959010 4.496946 -3.507741 -0.675345 -4.482196
1908 0.0001003006 4.943319 4.496090 -3.508135 -0.675501 -4.482184
1969 0.0000870264 4.947411 4.495048 -3.508801 -0.675445 -4.482184
2030 0.0000845728 4.951674 4.494541 -3.507655 -0.675234 -4.482248
2039 0.0000506265 4.951798 4.497553 -3.506985 -0.675382 -4.482229
2049 0.0000478268 4.950413 4.497601 -3.506979 -0.675365 -4.482230
2103 0.0000431768 4.951092 4.493437 -3.506993 -0.675419 -4.482214
2154 0.0000360985 4.945030 4.496968 -3.506440 -0.675516 -4.482219
2214 0.0000356260 4.949520 4.496708 -3.506998 -0.675597 -4.482212
2231 0.0000142197 4.948254 4.495355 -3.507118 -0.675493 -4.482205
2303 0.0000118300 4.947394 4.495520 -3.507081 -0.675466 -4.482210
2331 0.0000116158 4.948882 4.495628 -3.506902 -0.675493 -4.482210
2355 0.0000085281 4.949043 4.495242 -3.507115 -0.675467 -4.482221
2369 0.0000056297 4.948012 4.495856 -3.506893 -0.675475 -4.482209
2448 0.0000052259 4.948312 4.495949 -3.506932 -0.675462 -4.482215
2478 0.0000035478 4.948210 4.495888 -3.506859 -0.675449 -4.482217
2511 0.0000031809 4.948168 4.495877 -3.506877 -0.675452 -4.482216
2517 0.0000014661 4.948084 4.495724 -3.506914 -0.675474 -4.482221
2614 0.0000009857 4.948247 4.495902 -3.506965 -0.675478 -4.482221
2642 0.0000009032 4.948228 4.495897 -3.506950 -0.675483 -4.482221
2680 0.0000008868 4.948101 4.495892 -3.506977 -0.675481 -4.482221
2743 0.0000008458 4.948257 4.495733 -3.506959 -0.675486 -4.482221
2754 0.0000005044 4.947927 4.495743 -3.506956 -0.675481 -4.482222
2779 0.0000004491 4.947961 4.495786 -3.506954 -0.675479 -4.482222
2858 0.0000003469 4.948041 4.495761 -3.506965 -0.675481 -4.482222
2897 0.0000002890 4.948128 4.495789 -3.506959 -0.675478 -4.482221
2909 0.0000001823 4.948136 4.495776 -3.506964 -0.675478 -4.482221
2940 0.0000001813 4.948143 4.495755 -3.506961 -0.675479 -4.482221
2959 0.0000000982 4.948136 4.495776 -3.506966 -0.675479 -4.482222
2999 0.0000000771 4.948170 4.495759 -3.506961 -0.675478 -4.482222
3038 0.0000000709 4.948146 4.495769 -3.506960 -0.675478 -4.482222
3075 0.0000000447 4.948153 4.495769 -3.506959 -0.675480 -4.482221
3117 0.0000000212 4.948159 4.495766 -3.506962 -0.675480 -4.482222
3186 0.0000000149 4.948156 4.495760 -3.506962 -0.675480 -4.482222
3358 0.0000000097 4.948156 4.495763 -3.506963 -0.675480 -4.482222
3393 0.0000000088 4.948153 4.495760 -3.506963 -0.675480 -4.482222
3443 0.0000000086 4.948154 4.495761 -3.506963 -0.675480 -4.482222
3486 0.0000000061 4.948156 4.495762 -3.506962 -0.675480 -4.482222
3490 0.0000000058 4.948157 4.495763 -3.506963 -0.675480 -4.482222
3527 0.0000000054 4.948157 4.495763 -3.506963 -0.675480 -4.482222
3541 0.0000000038 4.948156 4.495763 -3.506962 -0.675480 -4.482222
3580 0.0000000015 4.948152 4.495763 -3.506962 -0.675480 -4.482222
3647 0.0000000014 4.948152 4.495763 -3.506962 -0.675480 -4.482222
3671 0.0000000010 4.948153 4.495763 -3.506963 -0.675480 -4.482222
3702 0.0000000008 4.948152 4.495763 -3.506963 -0.675480 -4.482222
3777 0.0000000005 4.948153 4.495763 -3.506962 -0.675480 -4.482222
3816 0.0000000003 4.948152 4.495763 -3.506962 -0.675480 -4.482222
3877 0.0000000001 4.948152 4.495763 -3.506962 -0.675480 -4.482222
10000 0.0000000000 4.948152 4.495763 -3.506962 -0.675480 -4.482222
