evaluations raw_y x0 x1 x2 x3 x4
1 20.8396951746 4.379015 -4.623421 2.527013 -2.929273 3.048580
4 17.4541390698 1.207357 1.010983 2.465624 3.891297 1.882434
7 13.7390007603 2.787139 -1.247367 -0.519436 1.025609 3.045330
8 6.5391487910 -1.243404 -2.587327 -4.246237 0.174298 -4.528590
20 4.9064510767 -1.730261 -3.275365 -4.426249 0.492298 -0.929960
35 4.7835006784 3.704893 1.402306 -1.918900 -4.534427 -4.395377
48 4.5276403580 4.715420 3.542552 -3.544157 0.420983 -3.916355
71 2.8970365231 0.582290 4.229050 -5.000000 -1.219401 -2.270430
73 2.3349481151 -1.046984 2.897016 -5.000000 -2.906953 1.503280
196 2.2034929420 -1.177695 2.622339 -5.000000 -1.038909 1.071645
275 1.8942263755 0.641511 0.966528 -5.000000 -1.319195 -1.409752
418 1.7180866681 0.857842 -0.575484 -4.747882 -2.128572 -2.023649
490 1.5148051936 0.349663 2.499438 -3.951821 -2.393065 -1.363768
541 1.2849471963 0.274882 3.422000 -3.145644 -2.319462 -1.464503
590 0.8210879563 0.507339 1.977534 -3.283305 -2.455832 -1.876940
766 0.7559140553 0.453560 2.008455 -3.250297 -2.492805 -1.852778
905 0.7044296847 0.402539 1.853502 -3.560158 -2.478059 -1.766385
937 0.6950361632 0.277988 2.213708 -3.507080 -2.536926 -1.592609
964 0.6650053419 0.296658 1.840517 -3.501117 -1.814945 -2.009704
969 0.6451684748 0.141586 1.997520 -3.824621 -1.996402 -1.465913
1075 0.4812780987 0.458493 2.036346 -3.314047 -2.917058 -1.870087
1119 0.4537635238 0.545348 1.997520 -2.956250 -3.151356 -2.024320
1128 0.3964512087 0.441609 2.160662 -3.215312 -2.719498 -1.799536
1136 0.3699197552 0.346201 2.083527 -3.406725 -2.547901 -1.869306
1185 0.3686221055 0.293197 2.116058 -3.277333 -2.687832 -1.841948
1221 0.3058626792 0.389583 2.003564 -3.139390 -2.839380 -1.984113
1286 0.2704950028 0.304872 2.030301 -2.944215 -2.869273 -2.069419
1326 0.1355805344 0.288340 2.047255 -2.905366 -3.254729 -2.058444
1359 0.1035680598 0.291245 2.026342 -2.893978 -3.211981 -2.006765
1391 0.0741421786 0.316466 1.991132 -2.951223 -3.170687 -2.035834
1425 0.0212903433 0.355498 2.076283 -2.966941 -3.092286 -2.046106
