evaluations raw_y x0 x1 x2 x3 x4
1 22.0693246178 -1.263300 -2.539895 -1.579218 -3.958629 4.656396
2 16.0276246933 0.106083 -0.053818 0.703059 3.199224 4.593550
3 14.7980696335 4.803969 1.032992 4.794205 -0.503546 -1.420148
4 4.8502498048 -1.471672 -1.803087 -1.840981 0.162032 1.084659
24 3.7896018745 -3.734133 -2.047400 -1.840981 0.162032 1.084659
35 2.6156183382 0.670010 -1.417397 3.343095 0.356907 1.165042
61 2.2509114277 -2.404594 -3.682025 1.766869 -1.337824 5.000000
105 1.4151192642 2.435550 -3.168465 0.027184 1.773324 2.388995
150 1.0875180119 1.225212 -2.022913 0.312227 -0.164424 -0.692289
217 0.8779633739 5.000000 -0.894628 5.000000 1.250737 0.414398
250 0.8494600079 1.225212 -2.022913 0.312227 -0.053807 -0.692289
286 0.2724267328 2.240610 -2.247388 0.601542 1.275838 0.194858
394 0.1976302122 3.012419 -1.515411 1.219940 1.269369 -0.983641
472 0.1918977588 2.151420 -2.643229 0.237699 0.724484 0.317016
686 0.1670231413 1.853830 -2.061032 0.785076 1.078693 0.195269
694 0.1380450946 3.689613 -1.930162 0.677758 1.472908 -0.983641
845 0.1101663452 3.102472 -1.650007 1.651605 1.034105 -0.520832
846 0.0780022063 2.744453 -2.039685 0.890842 1.093755 -0.281119
875 0.0658730604 3.907292 -2.037235 1.517617 1.409643 -0.087214
948 0.0594750008 2.781529 -1.566009 1.248292 1.446682 -0.601864
992 0.0539382572 3.228525 -1.706505 1.715544 1.331212 -0.203668
1052 0.0459085796 3.228525 -1.758531 1.695755 1.363550 -0.090309
1263 0.0447977807 3.224719 -1.928172 1.671991 1.336640 0.199839
1336 0.0444225390 3.356133 -1.974137 1.471099 1.333354 0.007738
1347 0.0437651214 3.187785 -1.762503 1.599425 1.375799 -0.148556
1348 0.0377422385 3.478640 -2.024097 1.581057 1.437412 0.226343
1432 0.0358547678 3.466263 -1.910434 1.648813 1.437147 0.079183
1472 0.0358464865 3.465766 -1.910463 1.648537 1.437348 0.079402
1500 0.0352905011 3.524151 -1.929763 1.707870 1.464251 0.163573
1508 0.0352024322 3.447111 -1.937669 1.644967 1.451743 0.151864
