evaluations raw_y x0 x1 x2 x3 x4
1 21.5400809088 -2.606094 -2.950253 4.780747 -0.555484 3.266967
2 10.5090612930 -2.380146 -2.821668 -2.158646 4.597836 -1.732766
5 6.0509908417 -2.707445 -2.694324 -4.132997 -0.588802 0.758171
15 3.6689644963 -3.953488 0.491919 -1.067624 -2.962324 -0.223860
77 3.5304845154 -2.946706 1.266545 -4.626032 -1.014721 -0.943241
86 3.1955845419 -2.680548 -1.273599 -2.886916 -3.060802 -2.087881
99 3.0174383598 -2.723746 0.059726 -4.340756 -3.033956 -0.402325
179 2.9120848566 -2.723746 0.462612 -4.032959 -3.033956 -0.321461
188 2.7084879237 -1.508258 -1.056524 -3.931054 -5.000000 -1.397065
201 2.3604410457 -2.193203 -0.834540 -3.855457 -1.903017 -0.050077
208 2.1861850050 -1.287989 -1.056524 -3.649369 -5.000000 -1.397065
222 1.7501436194 0.078817 0.007129 -4.366673 -4.476112 -1.102582
230 1.5417940165 -0.539020 0.363565 -3.082304 -5.000000 -1.289750
240 1.3869115367 0.873615 -0.462878 -5.000000 -3.615414 -1.452493
340 1.3868438942 0.873615 -0.460658 -5.000000 -3.615414 -1.438840
374 1.3460830695 -0.677817 -0.381394 -4.453627 -3.337249 -0.963361
551 1.2959495195 -0.503860 -0.226491 -4.283911 -3.393782 -0.823232
557 1.1558055142 -0.355108 0.013813 -4.264486 -3.942472 -0.622383
724 0.8607465122 -0.474518 -0.141091 -4.355611 -3.881490 -0.603838
1124 0.7731129468 -0.474518 -0.141091 -4.515194 -3.699428 -0.588408
1284 0.7499498517 -0.474518 -0.141091 -4.493985 -3.644739 -0.588408
1304 0.6849629375 -0.544700 -0.203803 -4.493985 -3.644739 -0.588408
1319 0.6150221894 -0.595069 -0.271240 -4.434478 -3.547383 -0.631658
1539 0.5894745222 -0.589063 -0.261894 -4.434478 -3.560129 -0.633438
1779 0.5690722584 -0.587352 -0.261894 -4.432083 -3.560129 -0.633438
2239 0.5550770023 -0.587352 -0.261894 -4.438809 -3.560129 -0.633438
3091 0.5419872720 -0.632919 -0.287924 -4.458353 -3.584963 -0.657987
3171 0.5399444657 -0.633078 -0.287924 -4.458961 -3.584963 -0.658585
3351 0.5215407693 -0.633078 -0.287924 -4.458961 -3.579163 -0.660008
3560 0.5054962712 -0.626928 -0.284347 -4.497496 -3.517498 -0.636982
3660 0.4988059576 -0.626918 -0.284347 -4.497353 -3.517577 -0.637273
3778 0.4977366768 -0.568302 -0.189970 -4.511349 -3.590669 -0.640527
