evaluations raw_y x0 x1 x2 x3 x4
1 36.0412800112 -1.939654 0.453406 4.179632 -4.325731 -3.685976
4 7.5479538225 -2.774572 1.881017 0.836379 4.060331 -2.771534
101 6.7984005205 -5.000000 0.487598 1.657041 3.391728 -5.000000
106 5.2361447905 -5.000000 0.050585 -0.184380 3.477571 -4.441235
126 4.7486461332 -5.000000 0.487598 1.352478 3.810210 -5.000000
151 1.7542666218 -4.788330 0.958359 0.702835 3.810210 -5.000000
279 1.3236780551 -4.349141 0.284887 1.086424 3.964526 -3.563340
288 1.1873428701 -5.000000 1.532343 1.120670 2.906727 -3.467470
349 1.0060046380 -4.673224 1.270345 1.362234 3.412256 -3.966562
389 0.5639873363 -4.920262 0.528864 0.660723 3.995668 -4.508432
441 0.5527456091 -4.468913 0.687935 1.168166 3.757324 -3.835372
456 0.5208508633 -4.869142 0.800884 0.766513 3.696169 -4.270572
462 0.4328883266 -5.000000 0.841315 1.002935 3.612559 -3.954319
489 0.3714280971 -4.704559 0.887954 0.910689 3.995668 -4.612242
542 0.3468044986 -4.465411 1.055392 0.981774 3.842696 -4.367473
556 0.2861528842 -4.869142 0.938616 0.847705 3.696169 -4.270572
557 0.2761286038 -4.898060 0.845291 0.882925 3.933485 -4.615061
587 0.2423047353 -5.000000 0.841315 0.857473 3.678318 -4.023985
589 0.1807283714 -4.704559 0.746625 0.910689 3.995668 -4.526182
592 0.1143202161 -4.918868 0.804074 0.895875 3.776277 -4.279285
734 0.1015404574 -4.597252 0.892055 0.976717 3.848089 -4.338098
742 0.0804316302 -4.752161 0.721530 0.895875 3.883068 -4.267592
751 0.0717913600 -4.685756 0.892092 1.005360 3.708741 -4.098658
780 0.0706391059 -4.720734 0.788716 1.002511 3.850100 -4.303723
800 0.0414999403 -4.617200 0.842464 0.957093 3.820407 -4.221333
825 0.0377147288 -4.624669 0.843235 0.954782 3.817994 -4.223055
946 0.0085978754 -4.656816 0.849356 0.991781 3.802148 -4.205117
1133 0.0078362566 -4.642249 0.796872 0.967993 3.847782 -4.251770
1150 0.0065040839 -4.621461 0.789145 0.996091 3.846956 -4.213831
1282 0.0041533125 -4.636938 0.806138 0.976685 3.849771 -4.233443
1320 0.0035071633 -4.644099 0.799016 0.979120 3.848381 -4.245251
1341 0.0032629286 -4.653748 0.805887 0.980717 3.834576 -4.219847
1352 0.0027529443 -4.633760 0.789855 0.981710 3.860062 -4.243333
1357 0.0024639420 -4.636938 0.806138 0.976685 3.848763 -4.241158
1363 0.0023389962 -4.628302 0.800833 0.985336 3.844737 -4.226232
1433 0.0017921661 -4.647246 0.805751 0.975817 3.851170 -4.251963
1491 0.0013031421 -4.650596 0.807875 0.977112 3.837960 -4.234208
1510 0.0011672132 -4.642703 0.801127 0.979664 3.843967 -4.228558
1548 0.0005998293 -4.649761 0.811014 0.981621 3.839556 -4.237606
1554 0.0004738619 -4.653699 0.801131 0.976448 3.847218 -4.241240
1607 0.0003383570 -4.657356 0.809384 0.974387 3.841997 -4.241118
1688 0.0002749262 -4.656167 0.810045 0.975036 3.840902 -4.239010
1701 0.0002074497 -4.660764 0.810074 0.974803 3.840267 -4.241227
1703 0.0001956127 -4.651239 0.805849 0.977430 3.843055 -4.237014
1765 0.0000816699 -4.658772 0.811481 0.977422 3.838596 -4.238872
1890 0.0000759505 -4.659731 0.811425 0.976364 3.838389 -4.238706
