evaluations raw_y x0 x1 x2 x3 x4
1 12.2064718932 3.772803 3.821994 2.345700 -3.443315 0.347379
2 9.6791232929 1.582885 0.602318 -2.075012 3.922697 -3.273183
9 7.7429288058 4.630367 2.046836 -1.600716 -3.662180 -0.627823
12 7.6012721822 3.692347 4.005603 1.319458 -4.808324 -2.138055
14 7.3187276081 3.277058 -2.810047 -3.853035 -2.132092 -3.123333
22 3.7879556466 0.723583 -2.868020 -2.798225 -2.853746 -4.385093
78 3.2547086919 1.901635 -0.937108 -1.787612 -2.752571 -5.000000
100 3.0491815738 -2.291469 1.040751 -3.564066 -2.697322 -0.391357
118 2.8572613574 3.435296 -0.374170 -3.264292 -4.923094 -5.000000
148 1.9625590300 2.159311 0.182527 -1.915044 -4.331500 -5.000000
278 1.7971637194 1.901635 1.785363 -1.557219 -2.865936 -5.000000
279 1.7343764041 0.034740 3.606538 -1.305340 -3.423975 -2.524183
341 1.5897802695 1.876389 -0.322115 -1.883964 -4.350021 -4.725859
389 1.5135343723 1.469090 0.597697 -3.218132 -2.665667 -3.744140
428 1.3256105576 1.901635 1.396314 -2.459969 -2.768621 -4.344399
466 1.1323580186 1.812637 0.076349 -2.256480 -4.350021 -4.601004
679 0.8155135732 0.487910 2.265786 -2.277925 -3.423975 -2.524183
979 0.5271072800 0.414635 2.024918 -2.414961 -3.715451 -2.299511
1303 0.3664082708 0.230010 2.100107 -2.735746 -4.051974 -1.715344
1400 0.2085466864 0.310016 2.126691 -2.816289 -3.550582 -2.029294
1617 0.2011668274 0.431496 2.106235 -2.950719 -2.666509 -2.299739
1648 0.1679502550 0.416371 2.077758 -2.900142 -3.149108 -2.069018
1720 0.1463735658 0.372926 2.098670 -2.791532 -3.329376 -2.095916
1775 0.1356995512 0.447924 2.171114 -2.900686 -3.258975 -2.068854
1797 0.1318846789 0.261158 2.014976 -2.996883 -3.103534 -1.980717
1823 0.1163364213 0.380019 2.077758 -2.916104 -3.087656 -2.009360
1870 0.1117787652 0.295302 2.027585 -2.917256 -3.236518 -1.989328
1909 0.0870399486 0.315253 2.112511 -2.940535 -3.180883 -2.066430
1954 0.0810558746 0.334996 2.083954 -2.965160 -3.117813 -2.080700
1989 0.0569174059 0.378095 2.115056 -3.017788 -3.098027 -2.017367
2016 0.0177619612 0.358661 2.068389 -2.970315 -3.123542 -2.013180
2152 0.0168059833 0.357961 2.080575 -2.959474 -3.142366 -2.006787
2222 0.0142920776 0.361522 2.068959 -2.956867 -3.143404 -2.021413
2255 0.0110139716 0.355723 2.092904 -2.966098 -3.166031 -2.008040
2274 0.0103029799 0.353485 2.086672 -2.938786 -3.146209 -2.026389
2319 0.0059706061 0.346765 2.082047 -2.938872 -3.182628 -2.020904
2480 0.0050377694 0.348127 2.084208 -2.967058 -3.144788 -2.027614
2500 0.0038954726 0.357961 2.080575 -2.959474 -3.142366 -2.023164
2507 0.0036627685 0.344454 2.070349 -2.950222 -3.138257 -2.025164
2508 0.0017263671 0.354267 2.075995 -2.952196 -3.152967 -2.030980
2703 0.0008275565 0.352740 2.081287 -2.952693 -3.146344 -2.025528
2713 0.0006516756 0.352230 2.083714 -2.951317 -3.153529 -2.030011
2745 0.0006275427 0.352148 2.080741 -2.953314 -3.144769 -2.027570
2804 0.0002048142 0.352370 2.080036 -2.950005 -3.151491 -2.028545
2909 0.0001601096 0.351686 2.080293 -2.949609 -3.152846 -2.028231
2935 0.0001541535 0.351330 2.080229 -2.950810 -3.150602 -2.028671
3056 0.0001529073 0.351680 2.081154 -2.951201 -3.148936 -2.028460
3060 0.0001402831 0.351831 2.080229 -2.949536 -3.152037 -2.028975
3062 0.0001059781 0.352076 2.081160 -2.950962 -3.151638 -2.027611
3064 0.0000731947 0.350890 2.080827 -2.950250 -3.151361 -2.028285
3134 0.0000155982 0.351315 2.080523 -2.950452 -3.150444 -2.028231
3315 0.0000134275 0.351550 2.080792 -2.950145 -3.151412 -2.028253
3471 0.0000110525 0.351396 2.080613 -2.950076 -3.151342 -2.028235
3477 0.0000087750 0.351589 2.080634 -2.950304 -3.150922 -2.028319
3478 0.0000071054 0.351339 2.080545 -2.950049 -3.151043 -2.028431
3501 0.0000039322 0.351439 2.080707 -2.950471 -3.150769 -2.028188
3606 0.0000038322 0.351375 2.080796 -2.950210 -3.150957 -2.028228
3627 0.0000027582 0.351472 2.080699 -2.950304 -3.150922 -2.028180
3633 0.0000019902 0.351469 2.080730 -2.950204 -3.150931 -2.028304
3738 0.0000006939 0.351442 2.080673 -2.950279 -3.150967 -2.028242
3878 0.0000006639 0.351449 2.080679 -2.950310 -3.150942 -2.028243
3927 0.0000006331 0.351443 2.080743 -2.950271 -3.150981 -2.028265
4029 0.0000005052 0.351434 2.080732 -2.950287 -3.150946 -2.028252
4103 0.0000004936 0.351453 2.080723 -2.950269 -3.151019 -2.028243
4105 0.0000002930 0.351464 2.080715 -2.950255 -3.150979 -2.028272
4127 0.0000001485 0.351436 2.080687 -2.950259 -3.150950 -2.028257
4132 0.0000001237 0.351442 2.080696 -2.950252 -3.150964 -2.028261
4247 0.0000001109 0.351438 2.080698 -2.950255 -3.150946 -2.028274
4264 0.0000001088 0.351443 2.080707 -2.950269 -3.150938 -2.028256
4303 0.0000000193 0.351441 2.080696 -2.950263 -3.150953 -2.028265
4474 0.0000000117 0.351443 2.080704 -2.950270 -3.150949 -2.028259
4483 0.0000000042 0.351446 2.080706 -2.950264 -3.150956 -2.028265
4558 0.0000000034 0.351443 2.080702 -2.950263 -3.150954 -2.028263
4609 0.0000000015 0.351443 2.080701 -2.950267 -3.150950 -2.028263
4642 0.0000000013 0.351445 2.080703 -2.950266 -3.150952 -2.028263
4742 0.0000000012 0.351445 2.080702 -2.950267 -3.150949 -2.028262
4808 0.0000000006 0.351443 2.080702 -2.950268 -3.150949 -2.028262
4951 0.0000000004 0.351443 2.080703 -2.950267 -3.150952 -2.028263
4993 0.0000000002 0.351442 2.080702 -2.950267 -3.150951 -2.028263
5228 0.0000000001 0.351443 2.080702 -2.950268 -3.150951 -2.028263
6003 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
