evaluations raw_y x0 x1 x2 x3 x4
1 60.8180774948 -0.061471 -0.616128 -0.530095 1.341255 -3.232765
2 58.2619225240 2.662563 4.645189 1.173178 -3.417642 -1.288291
3 35.8135445529 -2.146613 2.314996 1.241617 -4.564982 -3.701904
7 17.8131288516 -2.198436 2.410467 -0.889604 -2.989900 0.331737
12 16.1310203295 -1.228431 -2.611474 -0.931117 -3.375894 2.152635
23 6.4448679481 -2.146613 -1.974829 -5.000000 -4.564982 3.005431
29 5.9455915464 -5.000000 -1.515749 -3.021766 -2.757205 5.000000
51 5.3628522731 -4.228517 -0.197913 -1.890464 -2.447210 3.830313
86 2.7148859155 -3.407371 -1.270632 -3.072415 -4.575783 3.188012
186 1.0599250617 -3.384756 -1.030429 -4.205580 -4.700224 3.763254
215 0.7368244777 -3.097556 -1.316586 -4.358797 -4.669714 3.608811
298 0.6656365699 -3.279029 -1.217947 -3.877183 -4.394251 3.483290
391 0.6281623136 -3.239943 -1.228472 -4.333256 -4.598039 3.754440
406 0.4342549803 -3.387227 -1.413364 -3.355135 -4.633419 3.670696
526 0.4007775648 -3.325021 -1.325085 -3.355135 -4.689223 3.720299
688 0.3728100967 -3.498314 -1.398810 -3.226141 -4.618670 3.629712
719 0.3700331562 -3.280928 -1.421576 -3.756351 -4.743287 3.619857
759 0.3385125677 -3.272604 -1.370124 -3.550005 -4.597840 3.580112
806 0.3007416595 -3.510823 -1.450886 -3.367803 -4.630528 3.598844
1267 0.2941296047 -3.981797 -1.514485 -3.157420 -4.566909 3.532109
1272 0.2377718715 -4.033949 -1.406960 -3.197471 -4.425633 3.280195
1344 0.2306743420 -4.034422 -1.407134 -3.197056 -4.425842 3.280253
1352 0.1860267712 -4.033949 -1.419086 -3.197471 -4.425633 3.280195
1385 0.1658651575 -4.147818 -1.401353 -2.990419 -4.357316 3.307730
1649 0.1492453538 -4.148292 -1.389402 -2.990005 -4.357524 3.307789
1810 0.1410358282 -4.145859 -1.387791 -2.990327 -4.357657 3.309547
1846 0.1327942218 -4.148765 -1.377451 -2.989590 -4.357733 3.307847
1975 0.1286675281 -4.147301 -1.379902 -2.987280 -4.357755 3.310996
2007 0.1266521663 -4.171171 -1.370349 -2.966941 -4.324657 3.272242
2054 0.1229751150 -4.167206 -1.377396 -2.964223 -4.323225 3.276912
2065 0.1110883317 -4.168794 -1.382858 -2.966632 -4.324208 3.274056
2067 0.1074618129 -4.167944 -1.382916 -2.964740 -4.324299 3.276411
2125 0.1024005541 -4.162771 -1.396379 -2.966624 -4.322850 3.284179
2183 0.0995729095 -4.174341 -1.403729 -2.963386 -4.322544 3.275779
2197 0.0989778197 -4.172521 -1.394785 -2.952462 -4.318661 3.291166
2214 0.0963047903 -4.167212 -1.417753 -2.963440 -4.321554 3.283525
2241 0.0856316890 -4.178316 -1.407749 -2.959168 -4.322372 3.277624
2244 0.0856038832 -4.175073 -1.406364 -2.967656 -4.323766 3.286785
2293 0.0853268206 -4.166893 -1.425873 -2.959388 -4.318913 3.297942
2332 0.0835269748 -4.170911 -1.428554 -2.953504 -4.318230 3.288135
2372 0.0833692882 -4.170944 -1.428585 -2.953504 -4.318230 3.288041
2385 0.0783513394 -4.164318 -1.430880 -2.942173 -4.317670 3.303224
2393 0.0682124825 -4.158714 -1.425873 -2.935832 -4.314060 3.309073
2406 0.0672529279 -4.159459 -1.423178 -2.939627 -4.316233 3.311074
2427 0.0667405479 -4.147293 -1.452022 -2.933536 -4.309807 3.324357
2453 0.0603829612 -4.153792 -1.429366 -2.923090 -4.313141 3.317679
2460 0.0596178488 -4.146590 -1.443195 -2.929250 -4.310696 3.329355
2514 0.0581366561 -4.150307 -1.438663 -2.931876 -4.311634 3.324638
2540 0.0574487420 -4.148335 -1.439573 -2.929851 -4.310871 3.326589
2629 0.0536137253 -4.147668 -1.441352 -2.928796 -4.311508 3.325106
2664 0.0534829696 -4.147792 -1.441699 -2.927429 -4.311189 3.324750
2665 0.0523558728 -4.149725 -1.433761 -2.920779 -4.313260 3.319461
2682 0.0509752504 -4.141688 -1.450341 -2.930678 -4.312244 3.332459
2705 0.0499672057 -4.144157 -1.445618 -2.921865 -4.312841 3.326080
2725 0.0494989701 -4.137884 -1.453371 -2.927491 -4.312740 3.335941
2747 0.0492482601 -4.143530 -1.445982 -2.930713 -4.313693 3.330334
2782 0.0481412455 -4.141688 -1.450341 -2.930678 -4.313321 3.330879
2785 0.0466793968 -4.140300 -1.450135 -2.926711 -4.312773 3.332735
2842 0.0462922504 -4.140397 -1.450149 -2.926987 -4.312811 3.332606
2890 0.0452207059 -4.142105 -1.447549 -2.927415 -4.313148 3.330475
2936 0.0450468047 -4.142190 -1.447583 -2.926473 -4.312923 3.330141
2986 0.0448948784 -4.140714 -1.450720 -2.925495 -4.312561 3.331736
3024 0.0447713608 -4.142372 -1.447708 -2.926598 -4.312888 3.329817
3028 0.0445508151 -4.143662 -1.445241 -2.927582 -4.313235 3.328407
3047 0.0444836971 -4.142916 -1.446436 -2.930191 -4.313588 3.329634
3065 0.0444115569 -4.143590 -1.445215 -2.929873 -4.313622 3.328814
3150 0.0442653154 -4.141416 -1.448955 -2.929069 -4.313345 3.331295
3179 0.0436208012 -4.140917 -1.450030 -2.927569 -4.313030 3.331666
3225 0.0433645177 -4.141201 -1.449519 -2.927814 -4.313093 3.331364
3367 0.0433150049 -4.141252 -1.449402 -2.928226 -4.313156 3.331339
3382 0.0432956144 -4.141147 -1.449601 -2.927623 -4.313046 3.331406
