evaluations raw_y x0 x1 x2 x3 x4
1 32.5805985329 4.642959 -2.170115 -4.724534 4.384189 4.923865
2 25.6470739727 1.289046 -4.800765 -2.302606 1.023751 4.324035
3 13.7588667397 -1.678253 2.277141 0.645341 1.655611 2.851097
4 9.8436992449 -2.957045 3.811300 -2.783545 4.802631 -1.988852
6 7.8586327560 1.768563 -4.408050 -0.760686 -3.764730 -2.517092
9 7.1547836900 3.189432 -0.050556 -4.938275 0.221778 -4.010004
11 6.6656592860 -4.883543 4.116142 -4.184578 1.948427 0.038467
26 5.1242986328 5.000000 1.541156 -5.000000 -0.287224 -4.151925
32 4.8650628566 5.000000 5.000000 -5.000000 -0.462346 -2.895924
37 3.6928896131 2.003232 0.157975 -3.761811 1.227949 -5.000000
44 3.0106769029 0.997540 5.000000 -2.783545 -0.519207 -2.771991
55 2.9146163859 2.789212 -2.080103 -4.463694 -2.160750 -5.000000
69 1.7583966936 2.610235 -2.442158 -3.890247 -3.517647 -5.000000
208 1.6410534632 2.538377 -2.201535 -4.935730 -3.034848 -5.000000
414 1.2874418125 2.086411 0.545559 -4.436675 -1.516104 -3.599385
632 0.8513981291 2.871706 -2.039030 -4.042484 -3.707683 -5.000000
1246 0.8109472599 2.879707 -2.019235 -4.046182 -3.737075 -5.000000
1335 0.8023857786 2.879798 -2.019852 -4.045425 -3.736289 -4.999371
1436 0.7633431074 2.930382 -1.961609 -4.024356 -3.857280 -5.000000
1506 0.7364446649 2.845994 -2.019235 -4.046182 -3.801848 -5.000000
1666 0.7305765125 2.846590 -2.020862 -4.045377 -3.798391 -5.000000
1676 0.7229248082 2.888770 -1.988567 -4.004459 -3.843920 -5.000000
1766 0.7197834230 2.896719 -1.985646 -3.998999 -3.829886 -4.998220
1796 0.7127675385 2.888309 -1.999337 -3.997771 -3.820729 -4.995067
1855 0.6904223310 2.858110 -2.045167 -4.012662 -3.771923 -4.986502
1951 0.6574691458 2.855438 -2.040877 -4.017123 -3.770202 -4.987012
2131 0.6524450971 2.850994 -2.050201 -4.019747 -3.750403 -4.987012
2279 0.6503128519 2.858352 -2.045013 -4.011843 -3.760302 -4.984896
2308 0.6430252912 2.850955 -2.048715 -4.019224 -3.752919 -4.987183
2337 0.6396302074 2.850863 -2.048368 -4.018707 -3.753589 -4.987429
2472 0.6373863068 2.850740 -2.047648 -4.018450 -3.754643 -4.987370
2545 0.6372899514 2.850335 -2.047587 -4.018782 -3.754555 -4.988065
2587 0.6372076502 2.849953 -2.046700 -4.017778 -3.756122 -4.988382
2590 0.6353698205 2.850072 -2.047977 -4.020124 -3.753552 -4.987429
2674 0.6332584427 2.850172 -2.047742 -4.018534 -3.754761 -4.987983
2680 0.6321968820 2.850291 -2.047882 -4.019148 -3.754221 -4.987536
2721 0.6315755961 2.850338 -2.047418 -4.019329 -3.754315 -4.987812
2738 0.6312776957 2.849952 -2.047520 -4.019233 -3.754860 -4.987887
2784 0.6304624123 2.850091 -2.047693 -4.019275 -3.754479 -4.987649
2801 0.6294943424 2.850155 -2.047460 -4.019251 -3.754602 -4.987935
2855 0.6291341487 2.849976 -2.047585 -4.019368 -3.754437 -4.987801
