evaluations raw_y x0 x1 x2 x3 x4
1 4.9464085912 2.101830 1.231113 4.769704 -1.629338 4.387504
2 3.6754183928 -0.483911 -1.907598 -2.929675 0.624284 1.746633
4 3.3264949691 1.166072 -0.687740 1.193383 1.358168 -1.847733
41 3.1546359770 2.519621 1.781526 0.040234 0.462334 4.632083
42 2.5698737948 0.909496 -0.843528 -2.732072 0.547071 1.651725
54 2.2478136594 1.190403 -0.830967 -1.925716 0.731095 1.327690
64 2.1093805531 -1.123557 0.234309 -1.632879 0.317169 1.152949
71 1.7702290122 3.551863 1.607643 -2.200722 0.709708 2.503170
80 1.7039086909 3.241189 1.505360 -2.750350 1.292026 2.937401
84 1.4069895601 1.990429 -0.021901 -1.413123 1.187032 1.719696
88 1.3887300976 0.252803 0.558462 -1.810722 0.447223 1.157368
90 1.3432912888 2.636325 0.960255 -1.960256 0.483544 2.245144
104 1.2479419163 2.662039 0.599256 -1.442841 1.024206 1.924608
113 1.1611660418 2.046206 0.587254 -1.562550 1.612229 1.930058
114 0.7502415404 1.824974 0.601174 -1.579676 0.713505 1.918252
121 0.3357262757 1.476007 3.628954 -1.198818 0.712122 2.112904
144 0.3195888071 1.577464 3.750542 -1.303559 0.803445 2.223567
151 0.3194844637 1.454384 3.714839 -1.136267 0.810331 2.148209
214 0.2720731673 1.805294 3.967902 -1.466288 0.816933 2.178407
230 0.2687309907 1.984856 3.750504 -1.055764 1.196481 2.076415
238 0.2494819466 1.705604 3.771335 -1.779350 0.915914 1.517614
254 0.2476958883 1.770153 4.102061 -1.685407 0.776918 1.965246
263 0.0574032732 1.762001 4.415645 -1.546966 1.054987 2.033368
313 0.0495013330 1.743643 4.417726 -1.545892 1.124705 1.974753
392 0.0373914923 1.736818 4.435239 -1.362417 1.301139 1.869658
484 0.0371660631 1.648161 4.310521 -1.536939 1.212211 1.883258
485 0.0359843313 1.814039 4.348626 -1.560017 1.238245 1.817731
487 0.0344970087 1.751076 4.378656 -1.513924 1.353908 1.804569
532 0.0329472490 1.649078 4.257928 -1.501766 1.328555 1.821987
564 0.0273773252 1.648187 4.281031 -1.437155 1.256979 1.774733
