evaluations raw_y x0 x1 x2 x3 x4
1 16.4483620532 3.926593 1.111789 1.412147 3.073341 0.763756
4 6.8426764658 -4.202525 4.959566 -3.360886 -2.380590 -2.210284
8 6.3931404253 4.368840 0.037148 -2.543183 -4.565743 -1.111324
10 3.2320045606 1.364587 -0.210924 -1.832883 -3.862723 -3.407903
38 2.9737377733 2.766011 -0.026895 -4.619002 -4.580453 -3.388405
76 2.7818792154 -2.424473 3.821447 -2.025967 -3.390380 0.646057
90 1.7765328342 -0.435297 1.618244 -2.073785 -3.815306 -2.366838
110 1.7455254685 -0.470328 1.667275 -2.040960 -3.879148 -2.387305
130 1.6153708514 -0.452328 1.490021 -2.102492 -3.890426 -2.404086
140 1.4618025039 -0.441504 1.451866 -2.280416 -3.818959 -2.381968
150 1.3597058405 -0.473047 1.263547 -2.178250 -3.697048 -2.439047
478 1.2657108095 0.854964 0.962582 -3.200868 -3.742139 -2.491365
503 1.1467592940 1.228077 1.314631 -2.695517 -3.930035 -3.274355
716 1.1163914398 0.291998 1.716429 -2.455509 -4.170270 -2.067135
744 0.9453699220 0.722968 2.328047 -2.878421 -3.399423 -2.280070
764 0.9165959666 0.655582 2.427395 -2.790311 -3.321228 -2.361714
780 0.5788227622 0.478519 2.361322 -2.839588 -3.524546 -2.202663
834 0.4328431260 0.504344 2.323126 -2.794770 -3.400792 -2.107577
881 0.3927793337 0.596255 2.366481 -2.809046 -3.518833 -2.141054
1034 0.3695038272 0.406070 2.291430 -2.715388 -3.568330 -2.016239
1049 0.1984697546 0.430938 2.175901 -2.802811 -3.152208 -2.213182
1150 0.1857653687 0.290902 2.061962 -2.819788 -3.241399 -2.109898
1215 0.1463519685 0.385387 2.061759 -2.859041 -3.318096 -2.076753
1301 0.1079628029 0.364498 2.078334 -2.838998 -3.228278 -2.105892
1480 0.0985427594 0.330650 2.061025 -2.911745 -3.228584 -2.081943
1511 0.0944569677 0.355723 2.131941 -2.928048 -3.058371 -2.071107
1590 0.0705026058 0.337644 2.044196 -2.892547 -3.108913 -2.095743
1667 0.0540233874 0.392722 2.065616 -2.923671 -3.133953 -2.107059
1721 0.0347170825 0.353636 2.075924 -2.927979 -3.112772 -2.061458
1847 0.0158243100 0.354148 2.073493 -2.924002 -3.153072 -2.033869
1946 0.0094474959 0.349228 2.077339 -2.936398 -3.139151 -2.041646
2067 0.0055625105 0.355242 2.079661 -2.942920 -3.143505 -2.035507
2149 0.0038546669 0.350388 2.080162 -2.949858 -3.153029 -2.035312
2152 0.0028931144 0.349562 2.073731 -2.947286 -3.147392 -2.033662
2239 0.0003230962 0.350843 2.080068 -2.950743 -3.151766 -2.029154
2540 0.0001723059 0.350939 2.080407 -2.949671 -3.152894 -2.027534
2787 0.0001147646 0.350595 2.080440 -2.950223 -3.151327 -2.027857
2798 0.0001144056 0.350741 2.080266 -2.949133 -3.151331 -2.028762
2842 0.0000896295 0.350913 2.080908 -2.950153 -3.151469 -2.028683
2858 0.0000844594 0.350763 2.080239 -2.949222 -3.151742 -2.028716
2902 0.0000752136 0.350853 2.080694 -2.950197 -3.151539 -2.028677
2978 0.0000746978 0.350755 2.080287 -2.949438 -3.151699 -2.028721
2989 0.0000715708 0.350881 2.079828 -2.949257 -3.151158 -2.028583
3021 0.0000552911 0.351148 2.080265 -2.949780 -3.150552 -2.028736
3113 0.0000530150 0.351101 2.080225 -2.949766 -3.150643 -2.028831
3147 0.0000269549 0.351037 2.080432 -2.950448 -3.150893 -2.028165
