evaluations raw_y x0 x1 x2 x3 x4
1 3.6661889593 0.592300 -2.488614 -4.249181 -4.306211 -2.367492
3 2.3531203147 3.107819 -2.244436 0.414340 -0.483154 0.140504
16 2.0065982653 3.550490 -1.202783 0.711412 -1.672493 -0.892263
46 1.2345532201 1.863621 -1.744001 1.063093 -3.115925 -0.505129
93 1.0552286913 2.541905 -2.234639 0.913799 -1.827997 1.146635
100 0.7529577927 3.793475 -2.704773 -0.156489 -3.374308 0.041983
153 0.4537380511 3.677999 -2.871162 0.315421 -2.501672 0.960374
185 0.3350526276 3.236766 -2.399448 -0.741557 -3.142566 0.781129
386 0.0930154417 3.155358 -2.599699 -0.325884 -2.821629 0.779801
1189 0.0600864657 3.089477 -2.663712 -0.297490 -2.847334 0.830398
1696 0.0493139988 3.086583 -2.654793 -0.148857 -2.812806 0.918638
1836 0.0414761337 2.988490 -2.754147 -0.108494 -2.675402 0.923776
1850 0.0274842129 3.025755 -2.710536 -0.214782 -2.777914 0.927573
2065 0.0230038967 2.934817 -2.762152 -0.237497 -2.788710 0.845072
2111 0.0135686411 2.955519 -2.684835 -0.204826 -2.791771 0.834144
2267 0.0131247947 2.934459 -2.697777 -0.161650 -2.735582 0.860635
2278 0.0104761288 2.953068 -2.705120 -0.191244 -2.798713 0.845395
2342 0.0086918632 2.972685 -2.699041 -0.192355 -2.792710 0.841711
2420 0.0045943009 2.978155 -2.718513 -0.176309 -2.770395 0.863884
2735 0.0031955225 2.979208 -2.714794 -0.184940 -2.768031 0.877047
2796 0.0027635920 2.996676 -2.705429 -0.176596 -2.777057 0.873923
3033 0.0025861024 2.976383 -2.714419 -0.177916 -2.776007 0.874888
3073 0.0023692683 2.970278 -2.714685 -0.180291 -2.767690 0.878389
3172 0.0021721790 2.976425 -2.713953 -0.181438 -2.772114 0.875853
3202 0.0020770164 2.966267 -2.715327 -0.182499 -2.766756 0.875835
3221 0.0013603078 2.974565 -2.721454 -0.180921 -2.777374 0.871750
3234 0.0011705716 2.967044 -2.720343 -0.179476 -2.769182 0.872527
3325 0.0010514199 2.969808 -2.720115 -0.181444 -2.766666 0.877667
3354 0.0009168648 2.968411 -2.718433 -0.179569 -2.767887 0.875097
3386 0.0008706223 2.970220 -2.713386 -0.180822 -2.771842 0.869383
3461 0.0008382405 2.968660 -2.716712 -0.182115 -2.771123 0.870983
3476 0.0005188051 2.969693 -2.715813 -0.180623 -2.771640 0.871186
3551 0.0004694695 2.970303 -2.716123 -0.179959 -2.771486 0.871108
3714 0.0004522151 2.970854 -2.715308 -0.180205 -2.771050 0.871929
3735 0.0003860214 2.969983 -2.716932 -0.179644 -2.771736 0.871505
3799 0.0002779981 2.969805 -2.716071 -0.178593 -2.771496 0.871023
3936 0.0002374451 2.971385 -2.716255 -0.178294 -2.771402 0.871353
4026 0.0002219313 2.971019 -2.716523 -0.178497 -2.771784 0.871367
4150 0.0001807524 2.970620 -2.716378 -0.178458 -2.771639 0.871163
4167 0.0001025185 2.971107 -2.715871 -0.177610 -2.770790 0.871556
4184 0.0000845824 2.971360 -2.715659 -0.176121 -2.771373 0.870717
4505 0.0000600503 2.971208 -2.715530 -0.177234 -2.771089 0.871185
4520 0.0000362653 2.971604 -2.715733 -0.176917 -2.770948 0.871479
4970 0.0000344815 2.971599 -2.715800 -0.176792 -2.771089 0.871363
5128 0.0000153643 2.971283 -2.716136 -0.176911 -2.771061 0.871419
5274 0.0000125904 2.971261 -2.716101 -0.176893 -2.771003 0.871438
5593 0.0000056010 2.971249 -2.716013 -0.177033 -2.770922 0.871490
6517 0.0000053834 2.971261 -2.716039 -0.176981 -2.771042 0.871390
6699 0.0000039996 2.971239 -2.716092 -0.176986 -2.771006 0.871436
7439 0.0000036491 2.971208 -2.716126 -0.176952 -2.771017 0.871418
8141 0.0000024026 2.971168 -2.716108 -0.176958 -2.771002 0.871404
9568 0.0000021853 2.971208 -2.716069 -0.176955 -2.770982 0.871424
9936 0.0000019009 2.971204 -2.716051 -0.176972 -2.770988 0.871412
10000 0.0000198753 2.971218 -2.716164 -0.177003 -2.771006 0.871432
