evaluations raw_y x0 x1 x2 x3 x4
1 13.7351427073 1.228912 -4.436609 -0.416786 2.805887 -4.338049
2 10.4810544915 0.248238 0.234787 -4.491089 -4.710213 3.661064
6 9.3212685123 4.333457 4.284117 -4.127266 -3.700278 0.852782
7 6.8062585431 -0.036554 2.960819 -4.988330 4.106564 -3.675062
12 4.5723764960 0.329022 -2.990057 -2.687551 -3.015956 -4.155554
45 4.0674092685 -1.203099 -1.469914 -2.862318 -1.839511 -1.329473
57 2.8676127432 -0.329572 -0.929908 -2.245222 -1.732273 -4.148225
61 2.5180180950 -0.676503 -0.500340 -1.827199 -2.674987 -3.635120
63 2.4483849254 -0.829358 0.263624 -1.544664 -2.783372 -3.870868
169 2.1374782752 -1.343178 -1.284298 -4.266236 -1.924808 -1.908049
282 1.1878284856 0.424183 1.388312 -2.951763 -2.700772 -2.570488
752 1.1022080450 0.411542 1.623115 -2.990148 -2.826745 -2.028437
758 1.0971863497 0.657302 2.644801 -2.634152 -3.515673 -2.089666
969 0.8599815897 0.683211 2.211093 -2.949310 -3.008698 -2.273881
1002 0.7205541002 0.457833 2.259230 -2.967445 -3.413305 -2.234543
1093 0.6829314425 0.338472 2.016805 -2.670969 -3.133210 -2.438210
1439 0.6770445016 0.300976 2.271409 -2.822460 -4.054126 -1.844659
1476 0.5382989508 0.347462 2.149931 -2.453975 -3.856179 -2.342930
1492 0.4034099972 0.404564 2.234164 -3.011167 -3.713470 -1.752540
1591 0.2180582002 0.337661 2.196207 -2.631253 -3.551365 -2.103544
1885 0.1870063893 0.324439 2.117676 -2.819110 -3.428184 -2.056328
1932 0.1752133423 0.310984 2.096395 -2.953468 -3.319289 -1.923766
1933 0.1618404526 0.302530 2.063489 -2.863554 -3.384954 -2.005089
1962 0.1123395729 0.339337 2.070140 -2.814508 -3.419587 -2.052129
2129 0.1066243702 0.371267 2.150264 -2.778830 -3.376930 -2.085511
2426 0.0854940794 0.355315 2.147794 -2.884771 -3.169067 -2.047674
2558 0.0747133133 0.366409 2.018206 -2.926606 -3.176711 -2.045297
2570 0.0336208695 0.374743 2.096389 -2.912784 -3.199952 -2.054133
2588 0.0178499625 0.362420 2.098955 -2.912397 -3.191876 -2.047017
2862 0.0167756502 0.362173 2.103432 -2.913821 -3.189332 -2.047084
2938 0.0145048981 0.364435 2.105995 -2.968622 -3.154985 -2.018225
2944 0.0139113629 0.362151 2.108376 -2.963086 -3.139105 -2.021883
2952 0.0111063999 0.361998 2.097846 -2.932210 -3.184286 -2.038479
2995 0.0080359219 0.364115 2.078420 -2.952588 -3.153941 -2.034026
3012 0.0067719459 0.362524 2.082312 -2.954150 -3.161947 -2.032194
3047 0.0038732727 0.350972 2.077665 -2.955220 -3.154831 -2.027237
3130 0.0033788958 0.353308 2.086475 -2.952662 -3.153662 -2.034691
3200 0.0031803834 0.356334 2.091292 -2.955647 -3.159342 -2.029742
3259 0.0020141652 0.348465 2.083996 -2.945855 -3.148541 -2.029214
3354 0.0014771629 0.351532 2.087461 -2.946770 -3.151472 -2.028910
3398 0.0007535847 0.354807 2.082657 -2.954178 -3.148965 -2.027691
3644 0.0007314088 0.352597 2.083243 -2.955588 -3.145585 -2.025561
3797 0.0004987059 0.351985 2.081025 -2.953119 -3.145946 -2.027241
3802 0.0004671668 0.353027 2.082511 -2.954307 -3.146308 -2.026031
3816 0.0004553307 0.351659 2.081247 -2.954134 -3.147321 -2.025927
3932 0.0004428596 0.352843 2.081531 -2.952605 -3.147723 -2.028448
3980 0.0003864037 0.352583 2.081338 -2.950818 -3.148407 -2.028291
4012 0.0002078195 0.351180 2.082247 -2.949644 -3.149590 -2.028302
4100 0.0001441807 0.351442 2.081949 -2.950481 -3.151284 -2.028463
4290 0.0001323883 0.352212 2.081259 -2.951233 -3.151407 -2.028520
4346 0.0000733440 0.352011 2.081397 -2.950884 -3.151258 -2.028484
4454 0.0000655736 0.351746 2.081042 -2.951000 -3.149572 -2.028245
4557 0.0000478366 0.351634 2.080591 -2.950744 -3.150479 -2.027752
4758 0.0000202791 0.351685 2.080768 -2.950594 -3.150673 -2.028075
5058 0.0000170152 0.351701 2.080746 -2.950634 -3.150679 -2.028151
5314 0.0000167166 0.351485 2.080978 -2.950525 -3.150719 -2.028157
5354 0.0000150800 0.351413 2.080798 -2.950543 -3.151044 -2.028102
5368 0.0000105123 0.351576 2.080724 -2.950328 -3.151123 -2.028193
5443 0.0000082438 0.351580 2.080804 -2.950175 -3.151176 -2.028217
5472 0.0000033248 0.351463 2.080693 -2.950227 -3.151107 -2.028295
5806 0.0000023174 0.351412 2.080629 -2.950179 -3.151061 -2.028284
5950 0.0000020322 0.351391 2.080641 -2.950193 -3.150991 -2.028252
5970 0.0000016431 0.351461 2.080652 -2.950257 -3.150934 -2.028294
6334 0.0000009140 0.351439 2.080714 -2.950318 -3.150913 -2.028233
6461 0.0000004948 0.351429 2.080688 -2.950239 -3.150938 -2.028261
6905 0.0000004580 0.351454 2.080729 -2.950245 -3.150955 -2.028269
7301 0.0000001726 0.351450 2.080695 -2.950242 -3.150952 -2.028266
8111 0.0000000968 0.351445 2.080714 -2.950274 -3.150968 -2.028260
8264 0.0000000726 0.351451 2.080702 -2.950248 -3.150953 -2.028264
9409 0.0000000662 0.351443 2.080699 -2.950278 -3.150937 -2.028264
9830 0.0000000609 0.351440 2.080696 -2.950267 -3.150930 -2.028267
9844 0.0000000385 0.351440 2.080707 -2.950263 -3.150950 -2.028266
10000 0.0000013374 0.351445 2.080770 -2.950281 -3.150960 -2.028263
