evaluations raw_y x0 x1 x2 x3 x4
1 4.8734738176 0.126083 -1.765600 1.640373 -3.388920 -0.942014
6 4.2931881410 -2.340091 -2.100374 -2.423864 -4.862128 0.411801
14 3.1607315960 3.597020 1.905141 0.486585 -1.437319 -3.614544
22 2.8443163935 -2.180617 -0.911272 -3.107697 -4.064920 -1.173354
40 1.3245058158 -0.933455 2.970708 0.074134 -3.055130 -3.199727
61 1.2060642552 -1.735183 -0.068533 0.564914 -4.510438 -5.000000
64 0.0000000774 -0.445765 2.112758 0.299380 -4.764404 -4.142792
105 0.0000000724 0.872648 3.074170 0.036944 -5.000000 -4.235189
155 0.0000000615 0.872648 3.074170 -1.900846 -5.000000 -5.000000
161 0.0000000535 -0.324456 3.234305 -0.496931 -4.628765 -4.489137
331 0.0000000455 -0.679592 2.030230 -2.195992 -4.862128 -4.022001
512 0.0000000406 -0.450397 2.194136 -1.877218 -4.734239 -4.167738
545 0.0000000393 -0.370505 1.968925 -1.935089 -4.541159 -3.735563
732 0.0000000365 -0.617847 1.979054 -2.083018 -4.281213 -3.057468
805 0.0000000357 -0.725123 1.769358 -2.149664 -4.551331 -3.796135
817 0.0000000353 -0.729624 2.365695 -2.002786 -4.418484 -3.029995
1033 0.0000000308 -0.728806 1.764295 -2.214428 -4.266146 -3.635761
1115 0.0000000285 -0.532609 1.906906 -2.197394 -4.453262 -3.064880
1167 0.0000000282 -0.722615 1.867438 -2.188817 -4.320235 -3.410816
1514 0.0000000272 -0.797201 1.729774 -2.063414 -4.393491 -3.316425
1717 0.0000000259 -0.754500 1.853508 -2.188817 -4.311354 -3.416616
2042 0.0000000256 -0.797159 1.853508 -2.188817 -4.320849 -3.416616
2051 0.0000000247 -0.787787 1.796923 -2.112131 -4.311703 -3.223878
2249 0.0000000222 -0.809305 1.738587 -2.115913 -4.285571 -3.146139
2428 0.0000000204 -0.790943 1.744224 -2.149731 -4.307819 -3.075575
2547 0.0000000180 -0.807879 1.716980 -2.221282 -4.249394 -3.106036
2597 0.0000000171 -0.802937 1.732827 -2.211156 -4.249945 -3.019438
2947 0.0000000164 -0.809507 1.732827 -2.211156 -4.249945 -3.019438
2959 0.0000000152 -0.814915 1.739646 -2.213298 -4.230144 -3.025904
3140 0.0000000150 -0.819592 1.726587 -2.212029 -4.239823 -3.038007
3240 0.0000000144 -0.824519 1.728043 -2.223882 -4.238450 -3.082752
3272 0.0000000134 -0.815026 1.715645 -2.194897 -4.249656 -3.019438
3292 0.0000000132 -0.812675 1.708970 -2.228713 -4.240571 -3.034017
3599 0.0000000129 -0.824456 1.732899 -2.228603 -4.225581 -3.056610
3617 0.0000000123 -0.815406 1.726828 -2.228713 -4.227218 -3.033832
3670 0.0000000111 -0.822134 1.719828 -2.227688 -4.225449 -3.042271
3862 0.0000000102 -0.822597 1.714436 -2.220347 -4.221803 -3.025143
3863 0.0000000094 -0.825825 1.715348 -2.226893 -4.222969 -3.019537
3887 0.0000000090 -0.826546 1.715366 -2.220347 -4.221878 -3.025143
3937 0.0000000081 -0.825577 1.713815 -2.227579 -4.222310 -3.017593
4522 0.0000000080 -0.825834 1.712258 -2.224639 -4.223137 -3.024023
4527 0.0000000075 -0.826254 1.711138 -2.229267 -4.221513 -3.023257
4652 0.0000000069 -0.826254 1.711002 -2.228867 -4.221255 -3.023122
4841 0.0000000068 -0.826461 1.710521 -2.228671 -4.223418 -3.018715
4880 0.0000000061 -0.826940 1.709471 -2.229671 -4.222983 -3.018848
4924 0.0000000059 -0.827091 1.709800 -2.227848 -4.221891 -3.019128
5005 0.0000000057 -0.827095 1.709852 -2.228827 -4.221655 -3.018942
5197 0.0000000054 -0.827023 1.709350 -2.228776 -4.222151 -3.017284
5379 0.0000000053 -0.826673 1.709228 -2.229088 -4.221643 -3.019348
5387 0.0000000050 -0.826898 1.709306 -2.229110 -4.221418 -3.017303
5550 0.0000000045 -0.827036 1.709284 -2.229646 -4.221190 -3.018716
5699 0.0000000044 -0.827046 1.709232 -2.229098 -4.221409 -3.017042
5712 0.0000000042 -0.826917 1.709261 -2.229276 -4.221389 -3.017393
5762 0.0000000039 -0.826983 1.709200 -2.229752 -4.221139 -3.017098
5812 0.0000000036 -0.826978 1.709204 -2.229807 -4.221196 -3.017339
6104 0.0000000035 -0.826989 1.709160 -2.229871 -4.221223 -3.017552
6221 0.0000000031 -0.827129 1.709217 -2.229816 -4.221093 -3.017614
6660 0.0000000028 -0.827119 1.709099 -2.229963 -4.220912 -3.016999
6861 0.0000000027 -0.827143 1.709110 -2.229813 -4.220949 -3.016933
6960 0.0000000025 -0.827115 1.709093 -2.229962 -4.220917 -3.016948
7172 0.0000000021 -0.827112 1.709012 -2.229914 -4.220944 -3.016671
7648 0.0000000019 -0.827118 1.709001 -2.229962 -4.220909 -3.016686
7820 0.0000000018 -0.827110 1.708981 -2.229952 -4.220902 -3.016647
7900 0.0000000015 -0.827146 1.708963 -2.229967 -4.220927 -3.016664
7975 0.0000000014 -0.827146 1.708960 -2.229940 -4.220923 -3.016604
8286 0.0000000012 -0.827145 1.708968 -2.229965 -4.220906 -3.016608
8586 0.0000000009 -0.827144 1.708961 -2.229966 -4.220904 -3.016599
9150 0.0000000007 -0.827146 1.708960 -2.229963 -4.220903 -3.016604
9753 0.0000000006 -0.827147 1.708959 -2.229962 -4.220903 -3.016600
10000 0.0000000006 -0.827147 1.708959 -2.229962 -4.220903 -3.016601
