evaluations raw_y x0 x1 x2 x3 x4
1 9.5580586685 -0.626879 -1.386467 -4.868678 -4.928967 1.908343
2 9.3417643054 -4.297261 -0.129253 -2.086137 3.177712 -1.194212
4 3.1607221325 -1.352914 -3.591118 -1.752919 -3.597237 -2.814134
54 2.5995818041 -1.784943 -0.408155 -3.764252 -3.895794 -2.720675
99 2.2957018986 1.252123 3.106405 -2.778062 -1.373934 -2.996576
132 2.1482984141 0.102423 2.727539 -2.662455 -1.700939 -2.275015
141 2.0618147021 0.985223 5.000000 -2.854613 -2.698263 -2.798088
150 1.8971511544 1.273589 3.078011 -1.313520 -1.111533 -5.000000
214 1.5967577300 -0.514205 2.760569 -2.855009 -2.483746 -1.643201
364 1.4602048761 -0.833563 2.760569 -2.855009 -2.483746 -0.929476
464 1.2376700671 -0.600893 3.568753 -1.920793 -2.410152 -1.623019
553 1.1339368194 -0.011521 1.396067 -3.282040 -1.836368 -2.098524
579 0.8671737096 0.559470 2.153747 -3.093867 -2.460143 -2.045163
654 0.5584850327 0.559470 2.138766 -2.993511 -2.808503 -2.045163
730 0.5203764777 0.430547 2.150025 -3.119470 -2.701738 -2.198415
940 0.4511941660 0.463510 2.171081 -2.797833 -3.186733 -2.306938
993 0.3491542128 0.433042 2.082017 -3.322026 -2.011272 -2.173150
1090 0.3243428330 0.215450 1.985921 -3.053007 -3.128170 -1.991971
1115 0.2433230712 0.194983 1.912515 -2.926799 -3.128170 -1.991015
1242 0.1739048819 0.387889 1.996542 -3.062089 -2.985693 -2.064071
1277 0.1397170140 0.276116 2.046230 -2.950463 -3.221001 -1.962622
1302 0.0693982647 0.296984 2.046230 -2.928913 -3.199863 -1.998808
1399 0.0451257904 0.363329 2.048039 -2.979515 -3.125416 -2.017754
1540 0.0158290457 0.347914 2.063680 -2.954717 -3.131316 -2.012188
1640 0.0142370351 0.358212 2.070275 -2.953330 -3.116812 -2.018366
1654 0.0115734836 0.365105 2.094322 -2.960478 -3.163743 -2.015956
1715 0.0084138433 0.351416 2.070333 -2.945214 -3.135124 -2.018366
1719 0.0066049311 0.343554 2.077131 -2.956312 -3.146944 -2.015772
1740 0.0032862043 0.351555 2.077627 -2.953105 -3.147001 -2.021295
1869 0.0027206856 0.348459 2.074165 -2.953120 -3.153142 -2.023546
1873 0.0012040954 0.352044 2.084475 -2.948354 -3.157415 -2.027241
1968 0.0007658468 0.352245 2.084573 -2.950809 -3.153114 -2.026260
1994 0.0006762237 0.348347 2.077731 -2.948871 -3.151011 -2.027248
2000 0.0004369651 0.353301 2.084020 -2.952120 -3.151019 -2.027675
2088 0.0001375827 0.352006 2.081694 -2.951228 -3.150084 -2.028248
2200 0.0000775424 0.351888 2.080151 -2.950866 -3.150532 -2.028487
2238 0.0000307324 0.351328 2.080658 -2.950229 -3.151060 -2.028584
2386 0.0000287427 0.351358 2.080856 -2.950221 -3.150742 -2.028047
2441 0.0000261104 0.351325 2.080666 -2.949957 -3.151247 -2.028586
2446 0.0000228364 0.351127 2.080474 -2.950314 -3.150778 -2.028084
2461 0.0000112762 0.351600 2.080856 -2.950216 -3.150836 -2.028247
2486 0.0000047402 0.351543 2.080761 -2.950266 -3.150836 -2.028264
2544 0.0000041657 0.351405 2.080645 -2.950420 -3.150849 -2.028191
2564 0.0000039503 0.351445 2.080635 -2.950398 -3.150883 -2.028172
2612 0.0000026775 0.351459 2.080655 -2.950216 -3.150876 -2.028288
2634 0.0000017389 0.351362 2.080636 -2.950220 -3.150965 -2.028269
2736 0.0000010414 0.351467 2.080733 -2.950321 -3.150875 -2.028264
2753 0.0000009609 0.351470 2.080686 -2.950259 -3.150924 -2.028287
2791 0.0000008008 0.351421 2.080677 -2.950287 -3.150909 -2.028235
2815 0.0000004681 0.351457 2.080715 -2.950260 -3.150975 -2.028283
2819 0.0000003936 0.351453 2.080726 -2.950251 -3.151004 -2.028272
2820 0.0000003022 0.351453 2.080685 -2.950276 -3.150935 -2.028276
2856 0.0000001928 0.351446 2.080710 -2.950255 -3.150953 -2.028280
2928 0.0000001464 0.351424 2.080679 -2.950257 -3.150945 -2.028264
2965 0.0000001302 0.351443 2.080685 -2.950279 -3.150941 -2.028263
3031 0.0000000585 0.351449 2.080699 -2.950272 -3.150934 -2.028255
3087 0.0000000158 0.351445 2.080701 -2.950272 -3.150940 -2.028264
3137 0.0000000078 0.351445 2.080704 -2.950271 -3.150946 -2.028264
3153 0.0000000020 0.351444 2.080702 -2.950268 -3.150949 -2.028264
3229 0.0000000009 0.351444 2.080702 -2.950266 -3.150950 -2.028262
3278 0.0000000006 0.351445 2.080704 -2.950268 -3.150950 -2.028264
3412 0.0000000005 0.351444 2.080702 -2.950269 -3.150949 -2.028263
3461 0.0000000004 0.351443 2.080702 -2.950267 -3.150951 -2.028264
3528 0.0000000002 0.351443 2.080703 -2.950267 -3.150952 -2.028263
3605 0.0000000001 0.351444 2.080703 -2.950268 -3.150950 -2.028263
3922 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0014746824 0.347787 2.080594 -2.950268 -3.146134 -2.028263
