evaluations raw_y x0 x1 x2 x3 x4
1 5.2865878946 -4.438361 1.811154 3.801119 -4.724248 -2.707800
7 5.2547370123 0.465004 1.568665 2.105867 -3.055026 -0.983007
9 2.9923617614 1.118841 3.414585 4.779274 0.055907 -2.384031
31 2.6265860855 2.360934 -0.580085 2.778856 0.101482 -2.084721
45 2.3444105535 0.439802 0.738288 4.930929 1.717695 -0.917386
59 2.2921020305 2.295074 -4.256194 1.547249 1.562736 -3.143953
65 1.8235009576 1.822971 -1.688850 3.712183 1.186457 -1.652826
78 1.2397049766 -1.896561 -2.654448 5.000000 0.209050 -5.000000
79 1.2182213669 -0.081747 -2.327884 1.627185 2.285830 -2.626758
104 0.7796090874 -2.810484 -1.093981 2.962444 1.672016 -4.388114
116 0.7518381981 -2.489015 -2.294788 2.667413 2.364485 -4.105454
150 0.4525616993 -1.474445 -0.614947 4.787276 3.547455 -5.000000
188 0.4012786391 -1.073066 0.033612 5.000000 5.000000 -5.000000
239 0.3396269037 -0.632644 -0.865277 5.000000 3.021630 -4.586196
258 0.3278293757 0.443638 -0.051497 2.770752 4.117529 -4.797234
296 0.2898263567 -0.293888 -0.839878 2.876195 5.000000 -4.492832
323 0.2678134725 -0.001558 -0.233781 3.733065 3.232963 -4.436180
342 0.2062173239 -0.567150 -0.801533 3.912282 4.854660 -4.434182
367 0.1739882469 0.316734 -0.310813 4.201950 4.097874 -4.328848
427 0.1694401753 0.180293 -0.383060 3.554437 4.136093 -4.521548
461 0.1184583158 -0.186744 -0.396167 4.094058 3.832983 -4.338010
481 0.1160565921 0.115572 -0.233585 4.052126 4.359415 -4.596808
492 0.1048425505 -0.265380 -0.330309 3.917525 3.872203 -4.222323
505 0.0971584917 -0.411477 -0.364217 3.828180 4.193266 -4.418881
532 0.0933334117 -0.302232 -0.202039 4.050874 4.200753 -4.378324
535 0.0564833154 -0.279850 -0.383574 3.898310 4.072872 -4.285347
592 0.0377542106 -0.074141 -0.213022 3.971942 4.584705 -4.329268
696 0.0357131891 -0.052986 -0.218440 3.972656 4.606759 -4.336765
711 0.0349485410 -0.014576 -0.280380 3.988379 4.612827 -4.380912
729 0.0296624626 0.061865 -0.125602 3.948141 4.737166 -4.302467
752 0.0278835854 0.118709 -0.125602 3.950359 4.809384 -4.284582
768 0.0226041386 0.219791 -0.094168 3.924568 4.933089 -4.282233
929 0.0211969730 0.080909 -0.220261 3.883647 4.721870 -4.350045
965 0.0180010526 0.125793 -0.176659 3.935891 4.831963 -4.346917
1000 0.0068621849 0.066317 -0.190528 3.892629 4.738916 -4.349732
1203 0.0061185376 0.044851 -0.204649 3.902095 4.700746 -4.357945
1326 0.0060799715 0.161153 -0.115028 3.882693 4.924391 -4.362247
1388 0.0047915277 0.048588 -0.202657 3.898360 4.705136 -4.354571
1401 0.0045162900 0.161309 -0.122499 3.868296 4.923373 -4.377813
1430 0.0029126502 0.149257 -0.124133 3.873769 4.889308 -4.386692
1528 0.0017593262 0.168957 -0.116234 3.873605 4.920486 -4.386333
1618 0.0015862489 0.160931 -0.120558 3.873240 4.905738 -4.386821
1885 0.0014701660 0.163280 -0.117275 3.875587 4.896967 -4.385303
1912 0.0013329062 0.166728 -0.115343 3.874735 4.912923 -4.385068
1920 0.0012673321 0.170065 -0.115343 3.871517 4.915408 -4.390485
1928 0.0010300421 0.173816 -0.115343 3.871517 4.915408 -4.389599
2012 0.0007791319 0.166296 -0.120214 3.873806 4.907184 -4.385579
2044 0.0007537650 0.167644 -0.117275 3.871185 4.908071 -4.389000
2086 0.0003756081 0.169178 -0.117156 3.873392 4.908038 -4.386325
2316 0.0002975048 0.167777 -0.117025 3.872806 4.907462 -4.386478
2372 0.0001888939 0.167777 -0.117941 3.872806 4.907462 -4.386286
2457 0.0001785965 0.167865 -0.118183 3.873384 4.908192 -4.386134
2578 0.0001164820 0.167798 -0.118002 3.873373 4.907955 -4.386283
2660 0.0000878689 0.167468 -0.118002 3.873373 4.907196 -4.386283
2883 0.0000859660 0.167388 -0.118248 3.873765 4.906769 -4.386254
2906 0.0000619741 0.167961 -0.118002 3.873367 4.907792 -4.386558
2957 0.0000595777 0.167321 -0.118225 3.873651 4.906754 -4.386307
3022 0.0000576267 0.168124 -0.117692 3.873353 4.908316 -4.386559
3068 0.0000325491 0.167790 -0.117901 3.873464 4.907617 -4.386416
3242 0.0000276011 0.167711 -0.117952 3.873406 4.907549 -4.386485
3326 0.0000269431 0.167601 -0.118042 3.873544 4.907281 -4.386366
3363 0.0000208100 0.167723 -0.118000 3.873502 4.907372 -4.386501
3398 0.0000200253 0.167723 -0.118038 3.873504 4.907360 -4.386479
3425 0.0000170674 0.167723 -0.118028 3.873490 4.907360 -4.386453
3504 0.0000165713 0.167750 -0.118074 3.873488 4.907380 -4.386396
3548 0.0000123295 0.167695 -0.118092 3.873472 4.907389 -4.386437
3549 0.0000112976 0.167738 -0.118036 3.873460 4.907448 -4.386429
