evaluations raw_y x0 x1 x2 x3 x4
1 18.2516906538 -4.326000 0.942568 -1.699600 4.339466 1.557208
3 15.0580510265 1.198047 -0.161524 -0.595950 -1.019259 3.068582
4 4.1885082735 -2.463755 0.477928 -1.060997 -4.875215 -2.361581
5 3.9971308552 -3.898345 -2.812600 -0.707749 -1.526952 -2.349995
36 2.2443006314 1.090080 -1.178148 -5.000000 -2.436098 -2.356887
104 1.4144438722 0.299678 2.084249 -2.309861 -1.985234 -2.894266
429 1.3674645362 1.194396 0.840248 -3.571616 -1.664666 -3.616107
513 1.3476385807 0.696625 2.317360 -2.424099 -2.276480 -2.890567
532 1.2901448923 1.410206 1.251786 -3.046580 -2.781416 -3.356243
537 1.1772405646 0.404611 2.009245 -2.507354 -1.963662 -2.856420
538 1.1645435391 0.664301 2.839938 -3.194724 -3.024696 -1.752623
581 0.6835786313 0.513749 1.900304 -3.491218 -1.679837 -2.297876
982 0.3129294414 0.360129 1.975298 -2.995481 -2.678972 -2.285608
1102 0.2415583811 0.452109 2.200253 -2.900926 -3.124659 -2.109517
1138 0.1772571626 0.371405 2.058978 -3.156708 -2.775825 -1.989354
1616 0.1647190111 0.415684 2.144686 -2.992019 -3.037408 -1.989859
1813 0.1612738002 0.350526 2.084024 -3.064649 -2.859192 -2.063484
1844 0.1265726201 0.349292 2.060539 -3.151001 -2.810945 -1.960379
1972 0.1019819463 0.398392 2.117016 -3.052528 -2.983298 -2.005740
2000 0.0961029808 0.360319 2.068702 -3.105514 -2.761386 -2.041866
2024 0.0801878343 0.302326 2.062203 -2.956034 -3.195864 -1.979645
2053 0.0716086932 0.325828 2.041185 -2.972589 -3.014213 -2.049746
2061 0.0638531537 0.341015 2.024189 -2.986747 -3.144352 -2.027950
2070 0.0515695538 0.377971 2.125090 -3.016905 -3.072012 -1.990033
2086 0.0329039096 0.325061 2.034854 -2.948113 -3.149742 -2.017775
2162 0.0154692386 0.343106 2.079742 -2.952533 -3.149022 -2.012034
2254 0.0121880881 0.349079 2.089246 -2.959308 -3.157136 -2.009139
2404 0.0086506223 0.352837 2.091129 -2.966258 -3.134828 -2.016861
2428 0.0064957826 0.346431 2.071264 -2.940844 -3.140605 -2.035505
2433 0.0046698671 0.345340 2.073052 -2.955809 -3.148323 -2.031717
2476 0.0045000244 0.347038 2.077181 -2.955570 -3.151999 -2.031717
2495 0.0024452768 0.345369 2.078010 -2.953021 -3.144613 -2.028550
2542 0.0005787494 0.353889 2.084112 -2.949159 -3.153768 -2.028347
2705 0.0004405907 0.353888 2.082190 -2.952726 -3.149275 -2.027794
2756 0.0003854388 0.350459 2.082574 -2.950044 -3.151275 -2.027845
2798 0.0003824472 0.352736 2.081426 -2.949562 -3.149419 -2.028397
2864 0.0001911034 0.350992 2.081262 -2.950009 -3.152665 -2.028204
2872 0.0001895367 0.351924 2.081513 -2.949828 -3.149955 -2.028540
2928 0.0001079480 0.352434 2.081587 -2.950025 -3.151599 -2.028191
2955 0.0001034271 0.351810 2.081233 -2.950670 -3.149621 -2.028309
2981 0.0000940993 0.352434 2.081448 -2.950071 -3.151333 -2.028127
3046 0.0000752904 0.351507 2.081183 -2.950049 -3.152206 -2.028511
3048 0.0000503788 0.350755 2.080104 -2.949829 -3.150862 -2.028298
3095 0.0000301810 0.351609 2.080912 -2.949863 -3.151112 -2.028222
3154 0.0000112662 0.351597 2.080912 -2.950276 -3.151143 -2.028142
3277 0.0000056528 0.351586 2.080803 -2.950209 -3.151096 -2.028306
3466 0.0000054196 0.351428 2.080845 -2.950213 -3.150934 -2.028215
3631 0.0000026744 0.351529 2.080742 -2.950213 -3.150934 -2.028215
3673 0.0000019320 0.351485 2.080691 -2.950262 -3.150974 -2.028316
