evaluations raw_y x0 x1 x2 x3 x4
1 7.6588841647 -3.483901 -4.438307 1.870989 -2.976367 3.838799
2 5.6367464926 -4.477078 3.854618 4.467609 -4.486673 -0.050706
3 1.6694305685 -4.326339 -3.471895 3.304130 2.256519 -0.572098
24 0.8651098500 -1.909260 2.508877 -2.730727 -0.531636 -2.540498
29 0.2239779270 -2.721522 3.319107 -1.402319 1.258795 -3.702045
127 0.2052107405 -3.627537 4.501935 -1.223391 2.001237 -3.896525
151 0.1207333982 -3.399285 2.836648 -0.450815 1.238215 -2.110111
228 0.1125758038 -2.450387 5.000000 -1.363698 2.927416 -1.651621
280 0.0964733677 -3.808016 2.433740 -0.195184 2.081299 -3.103170
285 0.0871047056 -4.456363 4.267368 -1.029259 2.836453 -2.090789
292 0.0840412400 -2.524237 4.300105 -0.655007 2.470914 -1.494133
313 0.0603732707 -3.356791 5.000000 -0.766398 1.980723 -1.488733
421 0.0471295402 -4.453635 4.265063 -0.509646 2.171514 -1.717728
479 0.0394251303 -4.412824 4.106492 -0.629362 1.961846 -1.564763
486 0.0370255249 -3.832286 5.000000 -0.527718 1.820370 -1.508994
504 0.0337001982 -4.203001 4.106492 -0.562681 1.961846 -1.564763
548 0.0237910255 -3.832814 4.768767 -0.379481 1.817305 -1.586726
642 0.0222184253 -4.393077 4.232907 -0.192276 1.789189 -1.603874
652 0.0156030458 -4.182430 5.000000 -0.282006 1.669693 -1.600463
728 0.0137715395 -4.262650 5.000000 -0.139800 1.606829 -1.611950
749 0.0131985943 -4.293754 5.000000 -0.135798 1.798000 -1.594909
775 0.0090886623 -4.353328 5.000000 -0.074157 1.680890 -1.578811
842 0.0082567472 -4.377629 5.000000 -0.032326 1.605500 -1.593829
903 0.0082268045 -4.457471 4.912238 -0.053053 1.606829 -1.594899
907 0.0079845546 -4.439395 4.902995 -0.037122 1.646170 -1.578249
950 0.0075287542 -4.465134 4.891327 -0.007947 1.622505 -1.587572
1000 0.0074279530 -4.443198 4.911450 -0.007920 1.619217 -1.591339
1035 0.0074235556 -4.436889 4.918300 -0.030073 1.611097 -1.585733
1067 0.0074070884 -4.450022 4.910034 -0.019232 1.610602 -1.585970
1090 0.0074000885 -4.433786 4.938228 -0.020120 1.607635 -1.583363
1095 0.0073956417 -4.433649 4.937693 -0.026224 1.619809 -1.590811
1105 0.0073388927 -4.447947 4.928749 -0.006025 1.602648 -1.590348
1155 0.0073319919 -4.448620 4.924120 -0.006016 1.602648 -1.590348
1202 0.0073301152 -4.444709 4.928401 -0.012663 1.600738 -1.587514
1242 0.0073236013 -4.444991 4.926600 -0.012418 1.603379 -1.588756
1267 0.0073222236 -4.444461 4.930977 -0.012205 1.599165 -1.589727
1281 0.0073188737 -4.443601 4.927268 -0.013086 1.602580 -1.590102
